,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
228,228,8041383,1.53e-05,1.05e-07,14.2922481,8.44613,3.4193922,LTBP1,latent transforming growth factor beta binding protein 1
233,233,8118324,1.54e-05,1.09e-07,14.2419641,8.41326,3.4700498,C2,complement component 2
234,234,8004510,1.54e-05,1.09e-07,14.2372011,8.41014,2.1439781,CD68,CD68 molecule
236,236,8079237,1.56e-05,1.11e-07,14.2041056,8.38843,2.731834,KIF15,kinesin family member 15
240,240,8166730,1.71e-05,1.24e-07,14.0284689,8.27233,2.7481214,CYBB,cytochrome b-245 beta chain
241,241,7948455,1.71e-05,1.25e-07,14.0252101,8.27016,2.4179551,MS4A6A,membrane spanning 4-domains A6A
246,246,8152617,1.87e-05,1.39e-07,13.8622049,8.16105,2.4868006,HAS2,hyaluronan synthase 2
247,247,8054580,1.89e-05,1.41e-07,13.8362723,8.14357,3.7370206,BUB1,BUB1 mitotic checkpoint serine/threonine kinase
248,248,8168749,1.89e-05,1.41e-07,13.8338555,8.14194,3.9922183,SRPX2,"sushi repeat containing protein, X-linked 2"
255,255,8066619,2.1e-05,1.62e-07,13.6258599,8.00049,2.6735005,PLTP,phospholipid transfer protein
259,259,8007071,2.23e-05,1.74e-07,13.5131838,7.92294,3.4261078,CDC6,cell division cycle 6
265,265,8124440,2.36e-05,1.89e-07,13.3966292,7.84203,4.1595704,HIST1H3G,"histone cluster 1, H3g"
268,268,7921873,2.38e-05,1.93e-07,13.3603084,7.81667,3.3097604,FCGR3B///FCGR3A,Fc fragment of IgG receptor IIIb///Fc fragment of IgG receptor IIIa
269,269,7906757,2.38e-05,1.94e-07,13.3577992,7.81492,3.2678268,FCGR2A,Fc fragment of IgG receptor IIa
270,270,8021470,2.42e-05,1.97e-07,13.3309378,7.79612,4.1672232,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
272,272,7979824,2.43e-05,1.99e-07,13.3132763,7.78373,1.9121902,ACTN1,actinin alpha 1
275,275,8170420,2.51e-05,2.08e-07,13.2493783,7.73879,1.7846229,MAMLD1,mastermind like domain containing 1
291,291,7961829,3.04e-05,2.67e-07,12.8894991,7.48156,3.2812903,BCAT1,branched chain amino acid transaminase 1
292,292,7906767,3.16e-05,2.78e-07,12.8274174,7.43647,2.5290826,FCGR2C///FCGR2B,Fc fragment of IgG receptor IIc (gene/pseudogene)///Fc fragment of IgG receptor IIb
294,294,8074168,3.22e-05,2.86e-07,12.7891176,7.40854,1.8395727,LINC01296,long intergenic non-protein coding RNA 1296
299,299,8014974,3.24e-05,2.93e-07,12.7535872,7.38255,3.8834924,TOP2A,topoisomerase (DNA) II alpha
302,302,7991406,3.29e-05,3e-07,12.7222278,7.35956,3.2945405,PRC1,protein regulator of cytokinesis 1
305,305,7983969,3.31e-05,3.07e-07,12.6886993,7.33491,3.239054,CCNB2,cyclin B2
307,307,8048139,3.31e-05,3.07e-07,12.6873711,7.33393,3.3325418,DNAPTP3,histone demethylase UTY-like
309,309,8109350,3.31e-05,3.09e-07,12.6808316,7.32912,1.7079295,SLC36A1,solute carrier family 36 member 1
310,310,7971866,3.31e-05,3.09e-07,12.6782621,7.32723,2.9541202,DIAPH3,diaphanous related formin 3
317,317,8124798,3.46e-05,3.31e-07,12.5816677,7.2558,2.2538376,LOC107987457///PPP1R18,phostensin-like///protein phosphatase 1 regulatory subunit 18
321,321,8067167,3.47e-05,3.38e-07,12.5534503,7.23484,3.1755332,AURKA,aurora kinase A
323,323,7966135,3.47e-05,3.39e-07,12.5479061,7.23071,1.5245828,CORO1C,coronin 1C
326,326,8050007,3.47e-05,3.41e-07,12.5397285,7.22462,3.108828,PXDN,peroxidasin
327,327,8037835,3.52e-05,3.47e-07,12.5162311,7.20711,2.9932525,SLC1A5,solute carrier family 1 member 5
332,332,8037005,3.56e-05,3.58e-07,12.4739037,7.17548,2.6290898,TGFB1,transforming growth factor beta 1
337,337,8114612,3.69e-05,3.75e-07,12.4082584,7.12622,2.1970121,CD14,CD14 molecule
338,338,7957260,3.76e-05,3.84e-07,12.3734912,7.10002,2.4532495,GLIPR1,GLI pathogenesis related 1
342,342,8120043,3.83e-05,3.96e-07,12.3337545,7.07,2.8360674,RUNX2,runt related transcription factor 2
343,343,8072876,3.85e-05,3.98e-07,12.3257627,7.06395,2.013554,LGALS1,galectin 1
346,346,8115076,3.88e-05,4.07e-07,12.2953254,7.04087,2.0529479,CSF1R,colony stimulating factor 1 receptor
348,348,7984540,3.88e-05,4.09e-07,12.2889801,7.03605,3.0574655,KIF23,kinesin family member 23
350,350,7898793,3.94e-05,4.18e-07,12.2564778,7.01133,2.7430772,C1QA,complement C1q A chain
352,352,8034772,3.94e-05,4.19e-07,12.2546104,7.00991,2.6362848,ASF1B,anti-silencing function 1B histone chaperone
355,355,8093500,3.96e-05,4.24e-07,12.2383258,6.9975,3.1144635,TACC3,transforming acidic coiled-coil containing protein 3
358,358,7906720,4.03e-05,4.36e-07,12.2015065,6.96938,3.4690581,FCER1G,Fc fragment of IgE receptor Ig
360,360,8117535,4.08e-05,4.43e-07,12.1780239,6.9514,2.4760992,HIST1H2AG,"histone cluster 1, H2ag"
362,362,7900699,4.11e-05,4.49e-07,12.1596994,6.93735,3.5355304,CDC20,cell division cycle 20
365,365,8124388,4.23e-05,4.65e-07,12.1116248,6.90039,4.3403103,HIST1H3B,"histone cluster 1, H3b"
366,366,7952341,4.36e-05,4.81e-07,12.0665021,6.86557,2.9525299,CLMP,CXADR like membrane protein
369,369,7994659,4.39e-05,4.88e-07,12.0460711,6.84976,1.7340463,MVP,major vault protein
371,371,8062766,4.43e-05,4.96e-07,12.0247582,6.83324,3.3201191,MYBL2,MYB proto-oncogene like 2
377,377,7923086,4.58e-05,5.21e-07,11.9580488,6.78135,4.4264132,ASPM,abnormal spindle microtubule assembly
380,380,8003503,4.71e-05,5.4e-07,11.9097843,6.74364,1.7500877,FANCA,Fanconi anemia complementation group A
382,382,7987230,4.76e-05,5.48e-07,11.8913431,6.72919,1.3066778,LPCAT4,lysophosphatidylcholine acyltransferase 4
385,385,8149774,4.82e-05,5.59e-07,11.8631842,6.70708,3.1374009,LOXL2,lysyl oxidase like 2
388,388,8117583,4.86e-05,5.69e-07,11.8415045,6.69003,2.254225,HIST1H3H///HIST1H2AI,"histone cluster 1, H3h///histone cluster 1, H2ai"
393,393,8143663,4.86e-05,5.76e-07,11.8233366,6.67572,2.49524,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
395,395,8175039,5.06e-05,6.02e-07,11.7646857,6.62937,2.4806402,ELF4,E74 like ETS transcription factor 4
401,401,8149955,5.23e-05,6.32e-07,11.7006217,6.57848,4.1702798,PBK,PDZ binding kinase
402,402,8112376,5.27e-05,6.38e-07,11.6885266,6.56884,3.2577064,CENPK,centromere protein K
403,403,8077731,5.28e-05,6.43e-07,11.6783563,6.56073,1.8252535,FANCD2,Fanconi anemia complementation group D2
405,405,8117589,5.3e-05,6.47e-07,11.6704823,6.55445,2.2485952,HIST1H3H,"histone cluster 1, H3h"
407,407,8167449,5.41e-05,6.63e-07,11.6375674,6.52814,1.7869626,PLP2,proteolipid protein 2
408,408,7940259,5.44e-05,6.69e-07,11.627346,6.51995,2.2628821,MS4A14///MS4A7,membrane spanning 4-domains A14///membrane spanning 4-domains A7
415,415,7905116,5.68e-05,7.13e-07,11.5426161,6.45184,2.3323227,PLEKHO1,pleckstrin homology domain containing O1
417,417,7973024,5.68e-05,7.15e-07,11.5389612,6.44889,2.5366004,OR4K17,olfactory receptor family 4 subfamily K member 17
418,418,7994109,5.68e-05,7.16e-07,11.5383691,6.44841,3.6323574,PLK1,polo like kinase 1
423,423,8156290,5.69e-05,7.27e-07,11.5182602,6.43217,3.1016625,CKS2,CDC28 protein kinase regulatory subunit 2
426,426,8092418,5.8e-05,7.45e-07,11.4855235,6.40567,1.2489171,ABCC5,ATP binding cassette subfamily C member 5
430,430,7926037,6.03e-05,7.81e-07,11.4249587,6.35646,2.2278664,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
439,439,8180349,6.16e-05,8.15e-07,11.3704477,6.31195,1.5852963,TPM4,tropomyosin 4
440,440,7974404,6.26e-05,8.3e-07,11.346797,6.29258,4.8850031,CDKN3,cyclin dependent kinase inhibitor 3
442,442,8045688,6.35e-05,8.46e-07,11.3215596,6.27186,3.761667,TNFAIP6,TNF alpha induced protein 6
443,443,7906486,6.42e-05,8.58e-07,11.3045049,6.25784,3.2980221,SLAMF8,SLAM family member 8
444,444,8146934,6.47e-05,8.65e-07,11.2933034,6.24862,2.723834,LY96,lymphocyte antigen 96
449,449,7977452,6.77e-05,9.16e-07,11.2203434,6.18835,1.6649268,LINC01296,long intergenic non-protein coding RNA 1296
453,453,8059854,6.88e-05,9.4e-07,11.1878244,6.16137,3.4737139,ARL4C,ADP ribosylation factor like GTPase 4C
455,455,7958253,6.99e-05,9.58e-07,11.1639547,6.14152,2.5124727,C12orf75,chromosome 12 open reading frame 75
458,458,7929334,7.22e-05,9.96e-07,11.1147882,6.1005,3.6707787,CEP55,centrosomal protein 55
462,462,8054702,7.46e-05,1.04e-06,11.0563764,6.05155,3.3478421,CKAP2L,cytoskeleton associated protein 2 like
468,468,7983306,7.77e-05,1.1e-06,10.9940651,5.99907,1.4473931,WDR76,WD repeat domain 76
469,469,8066260,7.79e-05,1.1e-06,10.9891282,5.9949,2.7157363,SNORA71C,"small nucleolar RNA, H/ACA box 71C"
470,470,8142452,7.97e-05,1.13e-06,10.9576262,5.96825,2.9109746,TFEC,transcription factor EC
471,471,7982663,8.07e-05,1.15e-06,10.9370641,5.95081,2.7371463,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B
474,474,8030383,8.17e-05,1.17e-06,10.9170342,5.9338,2.68445,RCN3,reticulocalbin 3
477,477,8017262,8.37e-05,1.2e-06,10.8788051,5.90125,3.6529161,BRIP1,BRCA1 interacting protein C-terminal helicase 1
478,478,7921033,8.54e-05,1.23e-06,10.8512722,5.87775,3.1187367,IQGAP3,IQ motif containing GTPase activating protein 3
483,483,7991335,8.81e-05,1.28e-06,10.7996275,5.8335,3.033244,ANPEP,"alanyl aminopeptidase, membrane"
484,484,8072678,8.96e-05,1.31e-06,10.7735671,5.8111,2.5699258,HMOX1,heme oxygenase 1
485,485,8175169,8.96e-05,1.31e-06,10.7706326,5.80858,1.2997706,RAP2C,"RAP2C, member of RAS oncogene family"
486,486,8118571,8.96e-05,1.32e-06,10.7654044,5.80408,1.9267195,PSMB9,proteasome subunit beta 9
487,487,8178211,8.96e-05,1.32e-06,10.7654044,5.80408,1.9267195,PSMB9,proteasome subunit beta 9
488,488,8179495,8.96e-05,1.32e-06,10.7654044,5.80408,1.9267195,PSMB9,proteasome subunit beta 9
490,490,8123637,9.05e-05,1.34e-06,10.7498578,5.79068,1.9516248,HTATSF1P2,HIV-1 Tat specific factor 1 pseudogene 2
493,493,8112409,9.36e-05,1.39e-06,10.6986365,5.74642,1.2149311,SGTB,small glutamine rich tetratricopeptide repeat containing beta
494,494,8062571,9.36e-05,1.4e-06,10.6965723,5.74463,2.9729214,FAM83D,family with sequence similarity 83 member D
495,495,8173287,9.36e-05,1.4e-06,10.6960229,5.74415,3.1555894,VSIG4,V-set and immunoglobulin domain containing 4
496,496,7909708,9.49e-05,1.42e-06,10.6752043,5.7261,3.966275,CENPF,centromere protein F
499,499,8085754,9.63e-05,1.45e-06,10.6514183,5.70544,3.4846109,SGO1,shugoshin 1
501,501,8064716,9.83e-05,1.48e-06,10.6219762,5.67981,2.3731685,SIGLEC1,sialic acid binding Ig like lectin 1
502,502,8132318,9.92e-05,1.5e-06,10.6084325,5.66799,4.5322458,ANLN,anillin actin binding protein
503,503,8019912,0.000101,1.52e-06,10.5890765,5.65108,2.2884374,EMILIN2,elastin microfibril interfacer 2
504,504,8166059,0.000101,1.53e-06,10.5845445,5.64712,2.3314724,TLR7,toll like receptor 7
510,510,7945539,0.000104,1.6e-06,10.5301017,5.59939,1.2243837,SLC25A22,solute carrier family 25 member 22
513,513,8108217,0.000108,1.66e-06,10.4837617,5.55859,2.3716665,TGFBI,transforming growth factor beta induced
514,514,8041225,0.000108,1.68e-06,10.4738312,5.54983,1.3160122,EHD3,EH domain containing 3
516,516,7905047,0.00011,1.71e-06,10.4510054,5.52965,2.6352368,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
518,518,7989647,0.00011,1.72e-06,10.4437981,5.52327,3.5322966,KIAA0101,KIAA0101
523,523,8018305,0.000112,1.76e-06,10.4168288,5.49937,2.3387672,HN1,hematological and neurological expressed 1
525,525,8092251,0.000115,1.82e-06,10.3791693,5.46589,1.7772306,GNB4,G protein subunit beta 4
527,527,8019857,0.000115,1.83e-06,10.3708486,5.45848,2.965045,NDC80,"NDC80, kinetochore complex component"
531,531,7942832,0.000117,1.87e-06,10.3418752,5.43264,2.8174644,DDIAS,DNA damage induced apoptosis suppressor
535,535,8135069,0.00012,1.94e-06,10.3027563,5.39763,4.354779,SERPINE1,serpin family E member 1
537,537,8124527,0.000122,1.97e-06,10.2843535,5.38113,2.6053098,HIST1H1B,"histone cluster 1, H1b"
539,539,7921637,0.000124,2.01e-06,10.2606685,5.35984,2.7434751,CD84,CD84 molecule
540,540,8176026,0.000124,2.02e-06,10.2532307,5.35315,1.4111981,FLNA,filamin A
541,541,8056257,0.000126,2.05e-06,10.2346816,5.33644,3.5157294,FAP,fibroblast activation protein alpha
544,544,8033912,0.00013,2.13e-06,10.1914867,5.29742,1.5003219,DNMT1,DNA (cytosine-5-)-methyltransferase 1
546,546,8121588,0.00013,2.13e-06,10.190319,5.29636,2.0463567,DSE,dermatan sulfate epimerase
547,547,8151871,0.00013,2.14e-06,10.1867305,5.29311,3.0981989,CCNE2,cyclin E2
548,548,8125766,0.000132,2.18e-06,10.1618434,5.27055,1.2240574,BAK1,BCL2 antagonist/killer 1
552,552,8112428,0.000137,2.27e-06,10.115075,5.22802,2.7616675,CD180,CD180 molecule
558,558,8070826,0.000139,2.34e-06,10.0829608,5.19872,2.8216772,ITGB2,integrin subunit beta 2
559,559,8156826,0.000139,2.35e-06,10.0786002,5.19473,1.2414513,TGFBR1,transforming growth factor beta receptor 1
561,561,8159142,0.000139,2.36e-06,10.0725922,5.18924,3.1531374,COL5A1,collagen type V alpha 1 chain
564,564,7926259,0.00014,2.38e-06,10.0617288,5.1793,2.1764197,MCM10,minichromosome maintenance 10 replication initiation factor
566,566,8115490,0.000142,2.42e-06,10.0417381,5.16098,2.7312141,ADAM19,ADAM metallopeptidase domain 19
567,567,8016646,0.000144,2.45e-06,10.0271622,5.1476,2.5888015,COL1A1,collagen type I alpha 1 chain
568,568,8124437,0.000146,2.5e-06,10.0072008,5.12925,3.4011986,HIST1H3F,"histone cluster 1, H3f"
569,569,7927631,0.000146,2.51e-06,10.002941,5.12533,5.0251266,DKK1,dickkopf WNT signaling pathway inhibitor 1
571,571,8116734,0.000148,2.54e-06,9.988461,5.112,2.9060408,LY86,lymphocyte antigen 86
572,572,7973336,0.000148,2.56e-06,9.9803587,5.10453,2.593377,MMP14,matrix metallopeptidase 14
574,574,8032608,0.000149,2.58e-06,9.9681685,5.09328,1.7646948,MFSD12,major facilitator superfamily domain containing 12
577,577,8059838,0.00015,2.62e-06,9.9535345,5.07976,2.9089825,HJURP,Holliday junction recognition protein
581,581,7973101,0.000151,2.64e-06,9.9437915,5.07075,2.4934439,RNASE6,ribonuclease A family member k6
585,585,8125512,0.000152,2.69e-06,9.9217097,5.0503,2.0430927,TAP1,"transporter 1, ATP binding cassette subfamily B member"
586,586,8178867,0.000152,2.69e-06,9.9217097,5.0503,2.0430927,TAP1,"transporter 1, ATP binding cassette subfamily B member"
587,587,8180061,0.000152,2.69e-06,9.9217097,5.0503,2.0430927,TAP1,"transporter 1, ATP binding cassette subfamily B member"
589,589,7919133,0.000155,2.75e-06,9.8984123,5.02868,2.5459108,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
591,591,8131179,0.000156,2.78e-06,9.8841669,5.01544,1.9751498,TTYH3,tweety family member 3
595,595,8117339,0.000158,2.83e-06,9.8641352,4.99679,3.2920594,HIST1H3C,"histone cluster 1, H3c"
596,596,8012403,0.000159,2.85e-06,9.8541278,4.98746,2.1731046,AURKB,aurora kinase B
598,598,8062782,0.00016,2.89e-06,9.8403611,4.97461,2.2645282,TOX2,TOX high mobility group box family member 2
601,601,8175977,0.000165,2.98e-06,9.8033738,4.94002,1.8864821,IRAK1,interleukin 1 receptor associated kinase 1
603,603,7963786,0.000166,3.02e-06,9.7912808,4.92868,2.0379985,ITGA5,integrin subunit alpha 5
604,604,8047161,0.000166,3.03e-06,9.787964,4.92557,2.7130786,NABP1,nucleic acid binding protein 1
605,605,8018731,0.000168,3.06e-06,9.7763295,4.91465,1.5315333,RHBDF2,rhomboid 5 homolog 2
606,606,8103508,0.000168,3.06e-06,9.773536,4.91202,2.5387075,MARCH1,membrane associated ring-CH-type finger 1
613,613,8032365,0.000171,3.15e-06,9.7415135,4.8819,1.6190396,KLF16,Kruppel like factor 16
614,614,8050089,0.000171,3.17e-06,9.7370014,4.87765,1.5903208,TMSB4XP2,"thymosin beta 4, X-linked pseudogene 2"
615,615,7995492,0.000171,3.17e-06,9.7369947,4.87764,2.0423993,ADCY7,adenylate cyclase 7
620,620,8125500,0.000175,3.27e-06,9.698889,4.84166,1.5610402,PSMB8,proteasome subunit beta 8
621,621,8178855,0.000175,3.27e-06,9.698889,4.84166,1.5610402,PSMB8,proteasome subunit beta 8
622,622,8180049,0.000175,3.27e-06,9.698889,4.84166,1.5610402,PSMB8,proteasome subunit beta 8
625,625,8020955,0.000175,3.3e-06,9.6910914,4.83429,1.8604524,MOCOS,molybdenum cofactor sulfurase
626,626,8117395,0.000176,3.32e-06,9.6838206,4.8274,1.7011885,HIST1H2BF,"histone cluster 1, H2bf"
629,629,7959251,0.000177,3.36e-06,9.6711625,4.81541,1.6676021,P2RX7,purinergic receptor P2X 7
631,631,7949532,0.000182,3.47e-06,9.6332779,4.77942,3.3539556,FOSL1,"FOS like 1, AP-1 transcription factor subunit"
634,634,8101260,0.000183,3.5e-06,9.6250022,4.77155,1.9272539,ANTXR2,anthrax toxin receptor 2
636,636,8115734,0.000183,3.52e-06,9.6186254,4.76547,2.5752655,LCP2,lymphocyte cytosolic protein 2
638,638,7960340,0.000186,3.57e-06,9.6023102,4.74992,3.5249152,FOXM1,forkhead box M1
639,639,7960794,0.000186,3.58e-06,9.5987486,4.74652,3.4603689,CD163,CD163 molecule
640,640,8014066,0.000187,3.6e-06,9.5927641,4.74081,3.3343832,EVI2A,ecotropic viral integration site 2A
645,645,8069301,0.000195,3.79e-06,9.5364457,4.68689,1.8702943,COL6A2,collagen type VI alpha 2 chain
648,648,8075910,0.000199,3.89e-06,9.5082616,4.65981,2.8174393,RAC2,"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"
649,649,8166906,0.000199,3.9e-06,9.5051671,4.65683,2.2127268,GPR34,G protein-coupled receptor 34
650,650,7945014,0.0002,3.91e-06,9.5007899,4.65261,2.8314428,CHEK1,checkpoint kinase 1
651,651,8090591,0.0002,3.93e-06,9.495625,4.64764,1.2026306,PLXND1,plexin D1
654,654,8077103,0.000201,3.96e-06,9.4874014,4.63971,2.1463697,TYMP,thymidine phosphorylase
657,657,8179564,0.000201,3.97e-06,9.4838341,4.63627,2.6077541,KIFC1,kinesin family member C1
658,658,8116418,0.000201,3.98e-06,9.4807788,4.63333,2.6249493,GFPT2,glutamine-fructose-6-phosphate transaminase 2
659,659,8107706,0.000202,4e-06,9.4761459,4.62886,2.1778082,LMNB1,lamin B1
664,664,7989277,0.000205,4.1e-06,9.44962,4.60322,1.3663127,MYO1E,myosin IE
668,668,8031238,0.000206,4.14e-06,9.4374894,4.59148,2.9580412,LILRB4,leukocyte immunoglobulin like receptor B4
669,669,7905060,0.000206,4.17e-06,9.4315688,4.58575,2.5732806,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
670,670,8116070,0.000206,4.17e-06,9.4300608,4.58428,1.9446116,PDLIM7,PDZ and LIM domain 7
671,671,7947338,0.000206,4.17e-06,9.4299126,4.58414,4.478198,PAX6,paired box 6
674,674,7959408,0.000208,4.22e-06,9.4179886,4.57258,1.5439527,KNTC1,kinetochore associated 1
677,677,8082314,0.000209,4.25e-06,9.4089638,4.56382,1.8702876,PLXNA1,plexin A1
678,678,7980720,0.000209,4.26e-06,9.4071972,4.5621,1.0102256,TTC7B,tetratricopeptide repeat domain 7B
680,680,8118669,0.000212,4.35e-06,9.3849713,4.54049,2.5504979,KIFC1,kinesin family member C1
681,681,8172268,0.000212,4.35e-06,9.3848304,4.54036,1.5220984,MIR222,microRNA 222
685,685,7924150,0.000213,4.39e-06,9.3734653,4.52929,1.4227971,TMEM206,transmembrane protein 206
686,686,8012958,0.000216,4.46e-06,9.3573917,4.51362,2.289211,UBE2S,ubiquitin conjugating enzyme E2 S
687,687,8007569,0.000217,4.49e-06,9.3506142,4.507,1.8590726,C17orf53,chromosome 17 open reading frame 53
688,688,7899153,0.000219,4.54e-06,9.3373893,4.49409,1.1731197,SH3BGRL3,SH3 domain binding glutamate rich protein like 3
699,699,8149638,0.000223,4.72e-06,9.2966124,4.45415,1.9944982,DOK2,docking protein 2
701,701,7898799,0.000223,4.73e-06,9.2936168,4.45121,2.4567659,C1QC,complement C1q C chain
703,703,7896961,0.000223,4.74e-06,9.2906736,4.44832,1.0818358,ATAD3C///ATAD3B///ATAD3A,"ATPase family, AAA domain containing 3C///ATPase family, AAA domain containing 3B///ATPase family, AAA domain containing 3A"
704,704,8116649,0.000223,4.75e-06,9.2891186,4.4468,1.4441781,TUBB2A,tubulin beta 2A class IIa
705,705,8116653,0.000223,4.75e-06,9.2891186,4.4468,1.4441781,TUBB2A,tubulin beta 2A class IIa
706,706,7973002,0.000223,4.75e-06,9.2889818,4.44666,2.12323,LINC01296,long intergenic non-protein coding RNA 1296
707,707,7982358,0.000223,4.75e-06,9.2880157,4.44571,3.2122712,ARHGAP11A,Rho GTPase activating protein 11A
709,709,8117608,0.000224,4.78e-06,9.2823193,4.44012,2.3908058,HIST1H2AL///HIST1H2AL,"histone cluster 1, H2al///histone cluster 1, H2al"
710,710,8044499,0.000224,4.79e-06,9.2807638,4.43859,2.8075174,SLC20A1,solute carrier family 20 member 1
712,712,8039491,0.00023,4.92e-06,9.2505192,4.40883,2.2578106,UBE2S,ubiquitin conjugating enzyme E2 S
720,720,8151756,0.000232,5.02e-06,9.2281161,4.38673,1.5882509,TMEM55A,transmembrane protein 55A
721,721,7940237,0.000232,5.03e-06,9.2260961,4.38474,2.6891518,MS4A4A,membrane spanning 4-domains A4A
725,725,8066117,0.000237,5.18e-06,9.1962343,4.35521,1.5584558,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
729,729,8149448,0.000238,5.23e-06,9.1854516,4.34452,3.3862926,MSR1,macrophage scavenger receptor 1
732,732,8046695,0.000239,5.28e-06,9.1754341,4.33459,2.4788216,ITGA4,integrin subunit alpha 4
