,Unnamed: 0,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
34,34,8117547,1.48e-07,1.55e-10,-28.9764386,14.72688,-3.7523553,PRSS16,"protease, serine 16"
35,35,7945321,2.06e-07,2.28e-10,-27.8117833,14.39191,-3.9134256,GLB1L2,galactosidase beta 1 like 2
36,36,7965686,2.06e-07,2.3e-10,-27.7883939,14.38499,-4.0194301,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B
37,37,8142646,2.07e-07,2.36e-10,-27.7029022,14.35961,-3.4642236,IQUB,IQ motif and ubiquitin domain containing
38,38,8098439,2.09e-07,2.45e-10,-27.5957418,14.32764,-5.8087376,EPCAM,epithelial cell adhesion molecule
40,40,8101031,2.25e-07,2.9e-10,-27.1039777,14.17875,-3.4395435,CDKL2,cyclin dependent kinase like 2
41,41,7942332,2.25e-07,2.94e-10,-27.0653366,14.16689,-4.2015865,FOLR1,folate receptor 1
42,42,7936734,2.25e-07,2.94e-10,-27.0576506,14.16453,-4.2484468,FGFR2,fibroblast growth factor receptor 2
43,43,7934789,2.25e-07,2.98e-10,-27.0261287,14.15484,-3.0508081,GRID1,glutamate ionotropic receptor delta type subunit 1
44,44,8067185,2.5e-07,3.38e-10,-26.6556961,14.03979,-4.0630378,BMP7,bone morphogenetic protein 7
45,45,8133360,2.6e-07,3.59e-10,-26.4853813,13.98617,-4.5279515,CLDN4,claudin 4
46,46,8157300,2.71e-07,3.83e-10,-26.3064611,13.92934,-3.7556033,BSPRY,B-box and SPRY domain containing
47,47,8069795,2.91e-07,4.2e-10,-26.0464443,13.84582,-4.3532578,CLDN8,claudin 8
48,48,8150419,2.98e-07,4.39e-10,-25.9187618,13.8044,-4.1027699,ZMAT4,zinc finger matrin-type 4
49,49,8001547,2.99e-07,4.5e-10,-25.8502091,13.78205,-3.3011355,PLLP,plasmolipin
50,50,8105899,2.99e-07,4.72e-10,-25.7214448,13.73986,-4.1022883,MARVELD2,MARVEL domain containing 2
51,51,8177498,2.99e-07,4.72e-10,-25.7214448,13.73986,-4.1022883,MARVELD2,MARVEL domain containing 2
52,52,7901229,2.99e-07,4.84e-10,-25.6517667,13.71691,-2.7093901,FAAH,fatty acid amide hydrolase
53,53,8037103,2.99e-07,4.86e-10,-25.6378328,13.71231,-3.2462994,GRIK5,glutamate ionotropic receptor kainate type subunit 5
54,54,7961580,3.19e-07,5.28e-10,-25.4137975,13.63792,-5.7748338,LMO3,LIM domain only 3
55,55,8147891,3.21e-07,5.41e-10,-25.344792,13.61483,-5.9967946,PKHD1L1,polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
56,56,8019541,4.31e-07,7.51e-10,-24.4666107,13.31361,-4.2053421,ZNF750,zinc finger protein 750
57,57,8157193,4.31e-07,7.54e-10,-24.4577078,13.31048,-4.507456,ZNF483,zinc finger protein 483
58,58,8021199,4.31e-07,7.65e-10,-24.4189866,13.29687,-3.0381929,MAPK4,mitogen-activated protein kinase 4
59,59,7996185,4.84e-07,8.74e-10,-24.0713464,13.17343,-2.8824791,MMP15,matrix metallopeptidase 15
60,60,8155734,4.87e-07,8.93e-10,-24.0161785,13.15363,-4.1490382,FAM189A2,family with sequence similarity 189 member A2
61,61,8039144,5.76e-07,1.07e-09,-23.5435193,12.98157,-3.073608,TMC4,transmembrane channel like 4
62,62,7901765,5.76e-07,1.11e-09,-23.4695725,12.95425,-3.3292122,HOOK1,hook microtubule tethering protein 1
63,63,8034084,5.76e-07,1.11e-09,-23.4638045,12.95211,-3.3588853,AP1M2,adaptor related protein complex 1 mu 2 subunit
64,64,8070567,5.8e-07,1.16e-09,-23.3395461,12.90595,-3.8803523,TFF3,trefoil factor 3
65,65,8137485,5.8e-07,1.17e-09,-23.3298802,12.90235,-4.0355385,DPP6,dipeptidyl peptidase like 6
66,66,8117120,5.8e-07,1.17e-09,-23.3294898,12.9022,-4.9205972,ID4,"inhibitor of DNA binding 4, HLH protein"
67,67,7985159,6.14e-07,1.27e-09,-23.1260971,12.82593,-5.2119299,CRABP1,cellular retinoic acid binding protein 1
68,68,7915500,6.14e-07,1.27e-09,-23.1127365,12.82089,-3.3681915,C1orf210,chromosome 1 open reading frame 210
69,69,7968678,6.15e-07,1.31e-09,-23.0383299,12.79275,-4.8172649,FREM2,FRAS1 related extracellular matrix protein 2
71,71,8163548,7.14e-07,1.55e-09,-22.63443,12.63801,-2.5764293,KIF12,kinesin family member 12
72,72,7983393,7.25e-07,1.59e-09,-22.5651866,12.61114,-3.5973255,SORD,sorbitol dehydrogenase
73,73,7937709,7.35e-07,1.64e-09,-22.4989246,12.58533,-3.42247,KRTAP5-6,keratin associated protein 5-6
74,74,8152506,7.62e-07,1.72e-09,-22.3789923,12.53836,-3.8622616,SAMD12,sterile alpha motif domain containing 12
75,75,8144705,7.69e-07,1.76e-09,-22.3265071,12.51771,-4.3864086,KIAA1456,KIAA1456
76,76,8106827,8.03e-07,1.86e-09,-22.1843943,12.46149,-3.0971957,ADGRV1,adhesion G protein-coupled receptor V1
77,77,8058591,8.03e-07,1.88e-09,-22.1575192,12.45081,-4.3226006,ACADL,"acyl-CoA dehydrogenase, long chain"
78,78,7952426,8.07e-07,1.93e-09,-22.1038412,12.42943,-3.161099,VSIG2,V-set and immunoglobulin domain containing 2
79,79,8097920,8.07e-07,1.94e-09,-22.0862581,12.42241,-3.5381322,LRAT,lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
80,80,8009493,8.15e-07,1.99e-09,-22.0331219,12.40116,-5.8034476,KCNJ16,potassium voltage-gated channel subfamily J member 16
81,81,8158771,8.17e-07,2.01e-09,-21.9993244,12.38761,-4.6482392,AIF1L,allograft inflammatory factor 1 like
83,83,7902235,9.08e-07,2.29e-09,-21.6925681,12.26346,-3.7772263,LRRC7,leucine rich repeat containing 7
84,84,8113483,9.22e-07,2.36e-09,-21.6281427,12.23711,-2.9629134,TMEM232,transmembrane protein 232
85,85,7934334,9.23e-07,2.39e-09,-21.5937861,12.22302,-2.7414637,CFAP70,cilia and flagella associated protein 70
86,86,8099476,9.23e-07,2.41e-09,-21.573073,12.21451,-3.0193162,PROM1,prominin 1
87,87,7994074,9.55e-07,2.53e-09,-21.4666579,12.17064,-2.6471596,SCNN1B,sodium channel epithelial 1 beta subunit
88,88,7946340,9.71e-07,2.6e-09,-21.4026338,12.14412,-3.567403,RIC3,RIC3 acetylcholine receptor chaperone
89,89,7898623,9.71e-07,2.64e-09,-21.3624788,12.12743,-2.9230806,UBXN10,UBX domain protein 10
90,90,8161270,9.71e-07,2.66e-09,-21.3504663,12.12244,-3.4691267,ANKRD18A,ankyrin repeat domain 18A
91,91,8095819,9.8e-07,2.71e-09,-21.3039164,12.10303,-2.6693999,FAM47E-STBD1///FAM47E,FAM47E-STBD1 readthrough///family with sequence similarity 47 member E
92,92,7910792,9.95e-07,2.78e-09,-21.2450847,12.07844,-3.7038888,RYR2,ryanodine receptor 2
93,93,7997593,1.12e-06,3.16e-09,-20.9555506,11.95619,-2.7852547,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
94,94,8080511,1.15e-06,3.29e-09,-20.8599244,11.91537,-3.1254286,CACNA1D,calcium voltage-gated channel subunit alpha1 D
95,95,7965231,1.28e-06,3.71e-09,-20.5945276,11.80088,-5.1845705,MGAT4C,MGAT4 family member C
97,97,7958398,1.32e-06,3.93e-09,-20.4676358,11.74551,-3.0413211,WSCD2,WSC domain containing 2
98,98,7936201,1.32e-06,3.93e-09,-20.4648077,11.74428,-2.8792113,CFAP43,cilia and flagella associated protein 43
99,99,7899101,1.57e-06,4.72e-09,-20.0634481,11.5664,-2.8679725,CNKSR1,connector enhancer of kinase suppressor of Ras 1
101,101,8123929,1.68e-06,5.15e-09,-19.8734436,11.48071,-2.6901136,ERVFRD-1,endogenous retrovirus group FRD member 1
102,102,7901565,1.72e-06,5.38e-09,-19.7822717,11.43925,-5.9865895,DIO1,"deiodinase, iodothyronine type I"
103,103,8028266,1.72e-06,5.39e-09,-19.7756135,11.43622,-2.3636152,ZNF540,zinc finger protein 540
104,104,7950764,1.77e-06,5.6e-09,-19.695869,11.39976,-4.3839474,DLG2,discs large MAGUK scaffold protein 2
105,105,8126820,1.8e-06,5.72e-09,-19.6485359,11.37803,-4.4926669,ADGRF1,adhesion G protein-coupled receptor F1
107,107,8136095,1.84e-06,5.97e-09,-19.5580278,11.33632,-2.4174034,AHCYL2,adenosylhomocysteinase like 2
108,108,7924309,1.89e-06,6.19e-09,-19.4833257,11.30172,-3.8829573,ESRRG,estrogen related receptor gamma
109,109,8002218,1.97e-06,6.5e-09,-19.378506,11.25292,-2.6881365,ESRP2,epithelial splicing regulatory protein 2
110,110,8043071,2.11e-06,7.03e-09,-19.2151188,11.17622,-2.5856534,DNAH6,dynein axonemal heavy chain 6
111,111,8008588,2.13e-06,7.16e-09,-19.1778278,11.15861,-3.6737381,HLF,"HLF, PAR bZIP transcription factor"
112,112,7932721,2.25e-06,7.64e-09,-19.0434726,11.09483,-2.0934595,LRRC37A6P,"leucine rich repeat containing 37 member A6, pseudogene"
113,113,7970676,2.25e-06,7.71e-09,-19.0245942,11.08582,-3.3600504,SHISA2,shisa family member 2
114,114,8098549,2.28e-06,7.89e-09,-18.9753142,11.06227,-2.7523429,STOX2,storkhead box 2
115,115,7993453,2.35e-06,8.26e-09,-18.8833374,11.01812,-3.2084629,MPV17L,MPV17 mitochondrial inner membrane protein like
116,116,8058462,2.35e-06,8.29e-09,-18.8759888,11.01458,-3.1962296,MDH1B,malate dehydrogenase 1B
117,117,8027354,2.37e-06,8.43e-09,-18.8396259,10.99705,-2.9675494,RPSAP58,ribosomal protein SA pseudogene 58
118,118,7901272,2.37e-06,8.47e-09,-18.8314783,10.99312,-2.9262451,CYP4X1,cytochrome P450 family 4 subfamily X member 1
119,119,7942453,2.41e-06,8.7e-09,-18.775904,10.96624,-3.4574013,PLEKHB1,pleckstrin homology domain containing B1
121,121,7943319,2.49e-06,9.15e-09,-18.6744825,10.91695,-2.8259594,CNTN5,contactin 5
125,125,7975772,2.57e-06,9.75e-09,-18.5441138,10.85313,-2.3089313,ZC2HC1C,zinc finger C2HC-type containing 1C
126,126,7951040,2.71e-06,1.04e-08,-18.4220138,10.79289,-3.2838921,GPR83,G protein-coupled receptor 83
127,127,8149629,2.91e-06,1.12e-08,-18.2629583,10.71374,-3.5839858,GFRA2,GDNF family receptor alpha 2
128,128,8149725,2.91e-06,1.14e-08,-18.2328967,10.69869,-4.0581459,PEBP4,phosphatidylethanolamine binding protein 4
129,129,7985522,2.91e-06,1.15e-08,-18.2228356,10.69365,-2.218594,ADAMTSL3,ADAMTS like 3
131,131,7944955,2.91e-06,1.16e-08,-18.2040049,10.6842,-3.1388874,PKNOX2,PBX/knotted 1 homeobox 2
132,132,8088866,3.07e-06,1.23e-08,-18.0813138,10.62237,-2.6176928,CNTN3,contactin 3
133,133,7931977,3.07e-06,1.24e-08,-18.0733391,10.61834,-3.0050264,ITIH5,inter-alpha-trypsin inhibitor heavy chain family member 5
134,134,8054166,3.11e-06,1.26e-08,-18.0317825,10.59728,-3.6013496,TSGA10///TSGA10,testis specific 10///testis specific 10
136,136,7981283,3.3e-06,1.36e-08,-17.8826331,10.52124,-3.1011883,SLC25A29,solute carrier family 25 member 29
137,137,7960158,3.3e-06,1.37e-08,-17.8706662,10.51511,-2.3835936,ZNF10,zinc finger protein 10
138,138,8016387,3.42e-06,1.43e-08,-17.7881987,10.47273,-3.9153434,PRR15L,proline rich 15 like
139,139,8007454,3.59e-06,1.51e-08,-17.6825199,10.41809,-2.3281465,RND2,Rho family GTPase 2
140,140,8025382,3.82e-06,1.62e-08,-17.5464259,10.34719,-3.1186506,CERS4,ceramide synthase 4
141,141,8141066,3.84e-06,1.64e-08,-17.5264059,10.33671,-3.0996302,PON3,paraoxonase 3
142,142,8018220,4.01e-06,1.72e-08,-17.430178,10.28614,-3.1139257,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C
144,144,8134018,4.16e-06,1.81e-08,-17.3341674,10.23537,-4.4117143,ZNF804B,zinc finger protein 804B
145,145,8148385,4.3e-06,1.89e-08,-17.2572506,10.19447,-5.9792064,TG,thyroglobulin
147,147,7924058,4.46e-06,1.99e-08,-17.1602621,10.14261,-3.7251023,IRF6,interferon regulatory factor 6
148,148,7982070,4.46e-06,2e-08,-17.1457996,10.13485,-5.1278557,SNORD115-32,"small nucleolar RNA, C/D box 115-32"
150,150,8174201,4.46e-06,2.03e-08,-17.1255072,10.12394,-2.7082737,BEX1,brain expressed X-linked 1
152,152,8095907,4.64e-06,2.14e-08,-17.0258767,10.07021,-4.0177375,FRAS1,Fraser extracellular matrix complex subunit 1
154,154,7981460,4.71e-06,2.19e-08,-16.9769529,10.04369,-2.9127754,PPP1R13B,protein phosphatase 1 regulatory subunit 13B
155,155,8028311,4.86e-06,2.28e-08,-16.9056264,10.00488,-3.272924,SPINT2,"serine peptidase inhibitor, Kunitz type 2"
156,156,7905283,5.15e-06,2.43e-08,-16.7880827,9.94053,-2.3484957,ANXA9,annexin A9
159,159,8027793,5.43e-06,2.62e-08,-16.6493455,9.86394,-2.1993766,LSR,lipolysis stimulated lipoprotein receptor
160,160,8168058,5.43e-06,2.64e-08,-16.6336445,9.85523,-2.4033003,FAM155B,family with sequence similarity 155 member B
161,161,7999674,5.43e-06,2.65e-08,-16.6314356,9.854,-4.1663365,MYH11,myosin heavy chain 11
162,162,8027241,5.92e-06,2.9e-08,-16.4639354,9.76048,-1.9129693,ZNF253,zinc finger protein 253
163,163,8042079,5.94e-06,2.93e-08,-16.4492043,9.7522,-1.743125,CCDC85A,coiled-coil domain containing 85A
164,164,8143949,5.96e-06,2.96e-08,-16.4317102,9.74237,-2.352461,CRYGN,crystallin gamma N
165,165,8156743,6.17e-06,3.08e-08,-16.3555523,9.69941,-4.6711213,FOXE1,forkhead box E1
166,166,8166925,6.17e-06,3.11e-08,-16.3389378,9.69001,-4.5302158,MAOA,monoamine oxidase A
167,167,7982052,6.17e-06,3.12e-08,-16.3367404,9.68876,-4.6300247,SNORD115-23///PWAR4,"small nucleolar RNA, C/D box 115-23///Prader Willi/Angelman region RNA 4"
168,168,8055496,6.28e-06,3.19e-08,-16.2955509,9.66541,-3.6512098,LRP1B,LDL receptor related protein 1B
169,169,8125149,6.28e-06,3.25e-08,-16.262377,9.64655,-1.772574,SLC44A4,solute carrier family 44 member 4
170,170,8178653,6.28e-06,3.25e-08,-16.262377,9.64655,-1.772574,SLC44A4,solute carrier family 44 member 4
171,171,8179861,6.28e-06,3.25e-08,-16.262377,9.64655,-1.772574,SLC44A4,solute carrier family 44 member 4
172,172,8045882,6.29e-06,3.27e-08,-16.2505266,9.63981,-2.8285103,DAPL1,death associated protein like 1
173,173,7988876,6.48e-06,3.39e-08,-16.1864457,9.60323,-3.2937626,MYO5C,myosin VC
174,174,8063187,6.51e-06,3.43e-08,-16.1679523,9.59265,-2.8877642,EYA2,EYA transcriptional coactivator and phosphatase 2
175,175,8043059,6.74e-06,3.58e-08,-16.088676,9.54713,-2.4061152,DNAH6,dynein axonemal heavy chain 6
176,176,8166690,6.74e-06,3.59e-08,-16.0876209,9.54652,-2.5780244,CFAP47,cilia and flagella associated protein 47
177,177,7975238,6.76e-06,3.62e-08,-16.0728561,9.53802,-4.4002952,PLEKHH1,"pleckstrin homology, MyTH4 and FERM domain containing H1"
178,178,8169235,6.83e-06,3.68e-08,-16.0448274,9.52185,-2.8985617,FRMPD3,FERM and PDZ domain containing 3
180,180,8079931,7.04e-06,3.83e-08,-15.9707791,9.47899,-2.1910813,SLC38A3,solute carrier family 38 member 3
181,181,8134051,7.28e-06,3.99e-08,-15.902807,9.43945,-2.3856277,CFAP69,cilia and flagella associated protein 69
183,183,8067869,7.81e-06,4.32e-08,-15.7612349,9.35652,-2.6777779,RBM11,RNA binding motif protein 11
184,184,7901256,7.84e-06,4.36e-08,-15.7460979,9.3476,-1.8356216,CYP4B1,cytochrome P450 family 4 subfamily B member 1
186,186,8165934,8.22e-06,4.62e-08,-15.6467068,9.28884,-2.6505259,SHROOM2,shroom family member 2
187,187,7949570,8.59e-06,4.89e-08,-15.5493519,9.23089,-1.8663846,GAL3ST3,galactose-3-O-sulfotransferase 3
188,188,7968650,8.59e-06,4.91e-08,-15.5446016,9.22805,-4.2090762,SERTM1,serine rich and transmembrane domain containing 1
189,189,8035789,8.59e-06,4.92e-08,-15.5394055,9.22495,-3.5265257,ZNF826P,"zinc finger protein 826, pseudogene"
190,190,8082974,8.59e-06,4.94e-08,-15.5338068,9.2216,-2.3396632,ESYT3,extended synaptotagmin 3
191,191,8088142,9.05e-06,5.25e-08,-15.4293959,9.15895,-3.0093478,CHDH,choline dehydrogenase
192,192,8059955,9.05e-06,5.25e-08,-15.4280918,9.15817,-2.1978734,RAB17,"RAB17, member RAS oncogene family"
193,193,7905929,9.84e-06,5.76e-08,-15.2734301,9.06453,-2.2432426,EFNA1,ephrin A1
194,194,7947548,9.84e-06,5.77e-08,-15.2697983,9.06232,-4.0128715,RAG2,recombination activating gene 2
195,195,7980636,9.89e-06,5.83e-08,-15.252839,9.05198,-1.9873662,EML5,echinoderm microtubule associated protein like 5
196,196,7920082,1.01e-05,5.98e-08,-15.2092978,9.0254,-3.3736789,RORC,RAR related orphan receptor C
198,198,8054872,1.03e-05,6.22e-08,-15.1441137,8.98545,-3.9433688,TFCP2L1,transcription factor CP2-like 1
199,199,7936050,1.03e-05,6.24e-08,-15.1400187,8.98294,-2.7203077,CYP17A1,cytochrome P450 family 17 subfamily A member 1
201,201,8159501,1.03e-05,6.27e-08,-15.1319663,8.97799,-2.2159776,LCN12,lipocalin 12
202,202,8095110,1.06e-05,6.5e-08,-15.0708985,8.94037,-4.0513226,KIT,KIT proto-oncogene receptor tyrosine kinase
203,203,8127370,1.11e-05,6.8e-08,-14.9962716,8.89417,-3.3538496,KHDRBS2,"KH RNA binding domain containing, signal transduction associated 2"
207,207,7996837,1.21e-05,7.59e-08,-14.8162653,8.78174,-5.8824998,CDH1,cadherin 1
212,212,8123303,1.29e-05,8.34e-08,-14.6630971,8.68494,-2.0574912,PACRG,PARK2 coregulated
213,213,8063000,1.29e-05,8.39e-08,-14.6530423,8.67855,-3.8589594,WFDC2,WAP four-disulfide core domain 2
214,214,7961595,1.29e-05,8.42e-08,-14.6477078,8.67516,-4.089606,RERGL,RERG like
215,215,7980485,1.29e-05,8.45e-08,-14.6423109,8.67172,-4.6283094,DIO2,"deiodinase, iodothyronine, type II"
216,216,8056022,1.29e-05,8.45e-08,-14.6413193,8.67109,-3.3422519,CCDC148,coiled-coil domain containing 148
217,217,8056184,1.31e-05,8.61e-08,-14.6118556,8.65232,-2.9508193,ITGB6///ITGB6,integrin subunit beta 6///integrin subunit beta 6
219,219,7913385,1.49e-05,9.89e-08,-14.3892233,8.5092,-4.5028728,RAP1GAP,RAP1 GTPase activating protein
220,220,8129783,1.5e-05,9.97e-08,-14.3769086,8.50121,-2.6667593,MAP7,microtubule associated protein 7
221,221,7923578,1.5e-05,1e-07,-14.3717997,8.4979,-3.9870048,FMOD,fibromodulin
227,227,8007949,1.53e-05,1.05e-07,-14.2924075,8.44624,-3.4363601,EFCAB13,EF-hand calcium binding domain 13
229,229,8018264,1.53e-05,1.06e-07,-14.2829729,8.44008,-2.0201009,HID1,HID1 domain containing
230,230,8169603,1.53e-05,1.06e-07,-14.2756177,8.43527,-3.4204643,LONRF3,LON peptidase N-terminal domain and ring finger 3
231,231,7945045,1.53e-05,1.07e-07,-14.2689992,8.43095,-2.4287115,DDX25,DEAD-box helicase 25
232,232,8061564,1.54e-05,1.08e-07,-14.2553097,8.422,-3.6211064,ID1,"inhibitor of DNA binding 1, HLH protein"
235,235,7898967,1.55e-05,1.1e-07,-14.2223563,8.40041,-2.3242669,NCMAP,non-compact myelin associated protein
237,237,8043835,1.62e-05,1.16e-07,-14.1426817,8.348,-3.1701362,C2orf15,chromosome 2 open reading frame 15
238,238,8167930,1.66e-05,1.19e-07,-14.0925991,8.31489,-1.8578947,FAAH2,fatty acid amide hydrolase 2
239,239,7909285,1.71e-05,1.23e-07,-14.0412159,8.28081,-2.0530337,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
242,242,7900340,1.75e-05,1.28e-07,-13.9892204,8.24618,-3.854651,BMP8A,bone morphogenetic protein 8a
243,243,7906552,1.75e-05,1.29e-07,-13.9760496,8.23739,-3.5998184,CASQ1,calsequestrin 1
244,244,8140686,1.87e-05,1.38e-07,-13.8742877,8.16918,-4.9557211,SEMA3D,semaphorin 3D
245,245,8142524,1.87e-05,1.38e-07,-13.8660247,8.16362,-3.2985576,TSPAN12,tetraspanin 12
249,249,7939620,1.99e-05,1.5e-07,-13.7427854,8.08027,-1.8309588,LARGE2,LARGE xylosyl- and glucuronyltransferase 2
250,250,7947322,2.02e-05,1.52e-07,-13.7163944,8.06232,-2.23372,DCDC1,doublecortin domain containing 1
251,251,8044225,2.02e-05,1.53e-07,-13.7132833,8.06021,-3.1849392,SULT1C4,sulfotransferase family 1C member 4
252,252,7922301,2.07e-05,1.58e-07,-13.6668364,8.02853,-3.2935968,MYOC,myocilin
253,253,8150002,2.09e-05,1.59e-07,-13.6491811,8.01646,-3.6118678,FBXO16,F-box protein 16
254,254,7903414,2.1e-05,1.61e-07,-13.6343455,8.0063,-4.0357401,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A,"amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)"
256,256,8139622,2.12e-05,1.64e-07,-13.6101791,7.98973,-2.7684058,ZPBP,zona pellucida binding protein
257,257,7990138,2.21e-05,1.71e-07,-13.5385857,7.94048,-1.8484296,GRAMD2,GRAM domain containing 2
258,258,7989073,2.21e-05,1.72e-07,-13.5342407,7.93748,-3.8381813,PRTG,protogenin
260,260,8052940,2.23e-05,1.75e-07,-13.5046716,7.91705,-2.7009147,PAIP2B///VPS36,poly(A) binding protein interacting protein 2B///vacuolar protein sorting 36 homolog
261,261,7909866,2.29e-05,1.8e-07,-13.4633123,7.88841,-3.6791576,MARC2///MARC2,mitochondrial amidoxime reducing component 2///mitochondrial amidoxime reducing component 2
262,262,8005064,2.31e-05,1.82e-07,-13.4459011,7.87632,-2.8754769,ARHGAP44,Rho GTPase activating protein 44
263,263,7982206,2.32e-05,1.84e-07,-13.4312308,7.86613,-1.9512997,GOLGA8R///GOLGA8DP///GOLGA8CP///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP///GOLGA8IP,"golgin A8 family member R///golgin A8 family member D, pseudogene///golgin A8 family member C, pseudogene///golgin A8 family member O///golgin A8 family member M///golgin A8 family member K///golgin A8 family member T///golgin A8 family member J///golgin A8 family member S///golgin A8 family member N///golgin A8 family member E, pseudogene///golgin A8 family member I, pseudogene"
264,264,8018006,2.36e-05,1.88e-07,-13.3989807,7.84367,-3.2241342,ABCA10,ATP binding cassette subfamily A member 10
266,266,7900159,2.36e-05,1.9e-07,-13.3858695,7.83453,-3.3022169,DNALI1,dynein axonemal light intermediate chain 1
267,267,7994058,2.36e-05,1.91e-07,-13.3809869,7.83112,-2.6975481,SCNN1G,sodium channel epithelial 1 gamma subunit
271,271,7946641,2.42e-05,1.98e-07,-13.3243871,7.79153,-2.2985944,GALNT18,polypeptide N-acetylgalactosaminyltransferase 18
273,273,8148070,2.47e-05,2.03e-07,-13.2856573,7.76434,-3.4650981,COL14A1,collagen type XIV alpha 1 chain
