,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
11,221974_at,9.88e-05,5.55e-08,-16.9,8.9227,-1.14,LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW,"uncharacterized LOC101930404///small nucleolar RNA, C/D box 116-28///small nucleolar RNA, C/D box 115-26///small nucleolar RNA, C/D box 115-13///small nucleolar RNA, C/D box 115-7///small nucleolar RNA, C/D box 116-22///small nucleolar RNA, C/D box 116-4///Prader Willi/Angelman region RNA, SNRPN neighbor///small nucleolar RNA, C/D box 107///small nuclear ribonucleoprotein polypeptide N///imprinted in Prader-Willi syndrome (non-protein coding)"
12,206457_s_at,9.88e-05,5.76e-08,-16.8,8.89027,-1.73,DIO1,"deiodinase, iodothyronine type I"
13,206893_at,9.969e-05,6.26e-08,-16.6,8.81945,-1.08,SALL1,spalt like transcription factor 1
14,215692_s_at,0.00010578,7.12e-08,-16.4,8.70957,-0.998,MPPED2,metallophosphoesterase domain containing 2
15,214307_at,0.00010681,7.67e-08,-16.2,8.64565,-0.882,HGD,"homogentisate 1,2-dioxygenase"
16,211276_at,0.00013378,1.02e-07,-15.7,8.39738,-1.27,TCEAL2,transcription elongation factor A like 2
17,203639_s_at,0.0001371,1.15e-07,-15.5,8.2964,-1.4,FGFR2,fibroblast growth factor receptor 2
18,213900_at,0.0001371,1.17e-07,-15.5,8.27832,-1.03,FAM189A2,family with sequence similarity 189 member A2
19,210342_s_at,0.00014427,1.36e-07,-15.2,8.14774,-2.1,TPO,thyroid peroxidase
20,204085_s_at,0.00014427,1.45e-07,-15.1,8.08833,-0.851,CLN5,"ceroid-lipofuscinosis, neuronal 5"
21,213095_x_at,0.00014427,1.48e-07,15.0,8.0671,1.7,AIF1,allograft inflammatory factor 1
22,201522_x_at,0.00014427,1.49e-07,-15.0,8.06402,-0.831,SNURF///SNRPN,SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
23,204933_s_at,0.00015014,1.62e-07,-14.9,7.99054,-1.21,TNFRSF11B,TNF receptor superfamily member 11b
24,201562_s_at,0.00015104,1.76e-07,-14.7,7.91591,-1.21,SORD,sorbitol dehydrogenase
25,203980_at,0.00015104,1.76e-07,-14.7,7.91355,-1.45,FABP4,fatty acid binding protein 4
26,201088_at,0.00017821,2.16e-07,14.4,7.73061,0.837,KPNA2,karyopherin subunit alpha 2
27,219949_at,0.00025667,3.23e-07,-13.7,7.3649,-0.863,LRRC2,leucine rich repeat containing 2
28,206042_x_at,0.00025933,3.42e-07,-13.6,7.31025,-0.993,SNURF///SNRPN,SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
29,203923_s_at,0.00025933,3.51e-07,13.6,7.28798,0.892,CYBB,cytochrome b-245 beta chain
30,206068_s_at,0.00025933,3.61e-07,-13.5,7.26168,-0.841,ACADL,"acyl-CoA dehydrogenase, long chain"
31,211762_s_at,0.00026439,3.85e-07,13.4,7.202,0.877,KPNA2,karyopherin subunit alpha 2
32,205710_at,0.00026439,4.01e-07,-13.4,7.16296,-1.14,LRP2,LDL receptor related protein 2
33,216442_x_at,0.00026439,4.03e-07,13.3,7.15841,1.15,FN1,fibronectin 1
34,214157_at,0.00027665,4.37e-07,-13.2,7.08413,-0.955,GNAS,GNAS complex locus
35,213737_x_at,0.00027665,4.63e-07,-13.1,7.03075,-0.961,GOLGA8N,golgin A8 family member N
36,219727_at,0.00027665,4.69e-07,-13.1,7.01808,-1.63,DUOX2,dual oxidase 2
37,201136_at,0.00027665,4.73e-07,13.1,7.00986,0.986,PLP2,proteolipid protein 2
38,212464_s_at,0.00027665,4.84e-07,13.1,6.98875,1.27,FN1,fibronectin 1
39,218332_at,0.00029542,5.39e-07,-12.9,6.88872,-1.19,BEX1,brain expressed X-linked 1
40,210495_x_at,0.00029542,5.51e-07,12.9,6.86854,1.13,FN1,fibronectin 1
41,214252_s_at,0.00029542,5.57e-07,-12.8,6.8581,-0.855,CLN5,"ceroid-lipofuscinosis, neuronal 5"
42,219918_s_at,0.00029577,5.71e-07,12.8,6.83494,1.32,ASPM,abnormal spindle microtubule assembly
43,202464_s_at,0.00030004,5.97e-07,12.7,6.79211,0.815,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
44,214308_s_at,0.00030004,6.14e-07,-12.7,6.76706,-0.982,HGD,"homogentisate 1,2-dioxygenase"
45,220751_s_at,0.00030004,6.26e-07,-12.7,6.74748,-0.87,FAXDC2,fatty acid hydroxylase domain containing 2
46,220108_at,0.00030004,6.33e-07,-12.6,6.73793,-0.733,GNA14,G protein subunit alpha 14
47,219527_at,0.00030555,6.62e-07,-12.6,6.69558,-0.767,MARC2,mitochondrial amidoxime reducing component 2
48,209901_x_at,0.00030555,6.72e-07,12.6,6.68154,1.56,AIF1,allograft inflammatory factor 1
49,217232_x_at,0.00030944,6.94e-07,-12.5,6.65053,-1.35,HBB,hemoglobin subunit beta
50,203561_at,0.00031455,7.31e-07,12.4,6.60189,0.961,FCGR2A,Fc fragment of IgG receptor IIa
51,201291_s_at,0.00031455,7.34e-07,12.4,6.59801,1.02,TOP2A,topoisomerase (DNA) II alpha
52,203939_at,0.00031598,7.59e-07,12.4,6.5667,0.842,NT5E,5'-nucleotidase ecto
53,221636_s_at,0.00031598,7.78e-07,-12.3,6.54267,-0.814,MARC2,mitochondrial amidoxime reducing component 2
54,212230_at,0.00031598,7.8e-07,-12.3,6.54062,-1.08,PLPP3,phospholipid phosphatase 3
55,219277_s_at,0.00032291,8.12e-07,-12.3,6.50299,-1.12,OGDHL,oxoglutarate dehydrogenase-like
56,219181_at,0.00034123,8.73e-07,-12.2,6.43375,-1.43,LIPG,"lipase G, endothelial type"
57,210992_x_at,0.00036352,9.48e-07,12.0,6.35536,0.871,FCGR2C,Fc fragment of IgG receptor IIc (gene/pseudogene)
58,221676_s_at,0.00036352,9.94e-07,12.0,6.30977,0.803,CORO1C,coronin 1C
59,204641_at,0.00036352,1.01e-06,12.0,6.29421,1.04,NEK2,NIMA related kinase 2
60,204288_s_at,0.00036352,1.02e-06,-11.9,6.28666,-1.48,SORBS2,sorbin and SH3 domain containing 2
61,204719_at,0.00036352,1.03e-06,-11.9,6.27269,-1.08,ABCA8,ATP binding cassette subfamily A member 8
62,221729_at,0.00036352,1.05e-06,11.9,6.25992,0.876,COL5A2,collagen type V alpha 2 chain
63,209368_at,0.00036352,1.05e-06,-11.9,6.2582,-0.764,EPHX2,epoxide hydrolase 2
64,209458_x_at,0.00036352,1.06e-06,-11.9,6.24468,-1.45,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
65,211719_x_at,0.00036352,1.08e-06,11.9,6.23358,1.17,FN1,fibronectin 1
66,214044_at,0.00037325,1.12e-06,-11.8,6.19388,-0.644,RYR2,ryanodine receptor 2
67,219274_at,0.0003746,1.14e-06,-11.8,6.17622,-0.832,TSPAN12,tetraspanin 12
68,203474_at,0.00037808,1.17e-06,-11.7,6.15336,-0.68,IQGAP2,IQ motif containing GTPase activating protein 2
69,214735_at,0.00038558,1.21e-06,-11.7,6.1207,-0.816,IPCEF1,interaction protein for cytohesin exchange factors 1
70,214414_x_at,0.0004204,1.36e-06,-11.5,6.01087,-1.3,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
71,206069_s_at,0.0004204,1.36e-06,-11.5,6.01047,-0.761,ACADL,"acyl-CoA dehydrogenase, long chain"
72,206043_s_at,0.00042248,1.38e-06,-11.5,5.99241,-0.622,ATP2C2,ATPase secretory pathway Ca2+ transporting 2
73,211696_x_at,0.00042918,1.43e-06,-11.5,5.96412,-1.19,HBB,hemoglobin subunit beta
74,204285_s_at,0.00043048,1.45e-06,11.4,5.94826,1.27,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
75,218546_at,0.00043681,1.49e-06,-11.4,5.92138,-1.13,C1orf115,chromosome 1 open reading frame 115
76,201563_at,0.00044564,1.55e-06,-11.3,5.88018,-1.14,SORD,sorbitol dehydrogenase
77,217897_at,0.00044564,1.58e-06,-11.3,5.86763,-0.784,FXYD6,FXYD domain containing ion transport regulator 6
78,202238_s_at,0.00044564,1.58e-06,11.3,5.86462,1.23,LOC101928916///NNMT,uncharacterized LOC101928916///nicotinamide N-methyltransferase
79,206513_at,0.00044754,1.63e-06,11.3,5.83537,0.829,AIM2,absent in melanoma 2
80,204755_x_at,0.00044754,1.64e-06,-11.3,5.83078,-0.871,HLF,"HLF, PAR bZIP transcription factor"
81,207828_s_at,0.00044754,1.65e-06,11.3,5.82181,1.32,CENPF,centromere protein F
82,206529_x_at,0.00044754,1.67e-06,-11.3,5.81268,-1.53,SLC26A4,solute carrier family 26 member 4
83,208228_s_at,0.00047491,1.79e-06,-11.2,5.74205,-1.11,FGFR2,fibroblast growth factor receptor 2
84,211745_x_at,0.00047491,1.81e-06,-11.1,5.73203,-1.42,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
85,209949_at,0.0004882,1.92e-06,11.1,5.67441,0.721,NCF2,neutrophil cytosolic factor 2
87,206208_at,0.0004882,1.93e-06,-11.1,5.67151,-1.11,CA4,carbonic anhydrase 4
88,213224_s_at,0.00050684,2.02e-06,-11.0,5.62406,-0.669,BBIP1,BBSome interacting protein 1
89,209360_s_at,0.00052785,2.16e-06,10.9,5.55907,1.16,LOC101928269///LOC100506403///RUNX1,uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
90,222073_at,0.00052785,2.18e-06,-10.9,5.55221,-1.05,COL4A3,collagen type IV alpha 3 chain
91,214977_at,0.00052785,2.18e-06,-10.9,5.55217,-1.67,,
92,206332_s_at,0.00053857,2.25e-06,10.8,5.522,0.757,IFI16,interferon gamma inducible protein 16
93,220161_s_at,0.0005661,2.43e-06,-10.7,5.44707,-1.15,EPB41L4B,erythrocyte membrane protein band 4.1 like 4B
94,202404_s_at,0.0005661,2.43e-06,10.7,5.4444,1.2,COL1A2,collagen type I alpha 2 chain
95,210052_s_at,0.0005661,2.44e-06,10.7,5.44224,1.01,TPX2,"TPX2, microtubule nucleation factor"
96,206407_s_at,0.00058316,2.54e-06,10.7,5.40306,1.28,CCL13,C-C motif chemokine ligand 13
97,202237_at,0.00059907,2.66e-06,10.6,5.35564,1.01,LOC101928916///NNMT,uncharacterized LOC101928916///nicotinamide N-methyltransferase
98,204018_x_at,0.00059907,2.68e-06,-10.6,5.35166,-1.39,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
99,201890_at,0.00059907,2.69e-06,10.6,5.34682,1.49,RRM2,ribonucleotide reductase regulatory subunit M2
100,201761_at,0.00063188,2.87e-06,10.5,5.28284,1.05,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
101,222149_x_at,0.00063188,2.96e-06,-10.5,5.25123,-0.734,GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8EP///GOLGA8G,"golgin A8 family member D, pseudogene///golgin A8 family member F///golgin A8 family member C, pseudogene///golgin A8 family member E, pseudogene///golgin A8 family member G"
102,201105_at,0.00063188,3.01e-06,10.5,5.23687,0.792,LGALS1,galectin 1
103,222077_s_at,0.00063188,3.01e-06,10.5,5.23617,0.974,RACGAP1,Rac GTPase activating protein 1
104,221833_at,0.00063188,3.02e-06,-10.5,5.23211,-0.678,LOC100507577///LONP2///SIAH1,"uncharacterized LOC100507577///lon peptidase 2, peroxisomal///siah E3 ubiquitin protein ligase 1"
105,213283_s_at,0.00063188,3.02e-06,-10.5,5.23153,-0.593,SALL2,spalt like transcription factor 2
106,209494_s_at,0.00063188,3.04e-06,-10.5,5.22637,-0.602,PATZ1,POZ/BTB and AT hook containing zinc finger 1
107,201292_at,0.00063188,3.06e-06,10.4,5.21888,1.08,TOP2A,topoisomerase (DNA) II alpha
108,214323_s_at,0.00065216,3.19e-06,-10.4,5.17873,-0.536,UPF3A,UPF3 regulator of nonsense transcripts homolog A (yeast)
109,203645_s_at,0.00067874,3.35e-06,10.3,5.13039,1.05,CD163,CD163 molecule
110,206517_at,0.00069841,3.51e-06,-10.3,5.08507,-0.768,CDH16,cadherin 16
111,220858_at,0.00069841,3.51e-06,-10.3,5.08445,-0.837,SORBS2,sorbin and SH3 domain containing 2
112,202998_s_at,0.00070414,3.58e-06,10.2,5.06512,0.98,LOXL2,lysyl oxidase like 2
113,214598_at,0.00070414,3.6e-06,-10.2,5.05892,-1.06,CLDN8,claudin 8
114,203276_at,0.00071425,3.69e-06,10.2,5.03621,0.847,LMNB1,lamin B1
115,202085_at,0.00072215,3.76e-06,-10.2,5.01678,-0.586,TJP2,tight junction protein 2
116,207789_s_at,0.00073181,3.84e-06,-10.2,4.99518,-0.768,DPP6,dipeptidyl peptidase like 6
117,217820_s_at,0.00073273,3.88e-06,10.1,4.98551,0.683,ENAH,enabled homolog (Drosophila)
118,219440_at,0.00073602,3.93e-06,-10.1,4.97274,-0.816,RAI2,retinoic acid induced 2
119,214053_at,0.00074549,4.07e-06,-10.1,4.9385,-0.584,ERBB4,erb-b2 receptor tyrosine kinase 4
120,204044_at,0.00074549,4.08e-06,10.1,4.93686,0.625,QPRT,quinolinate phosphoribosyltransferase
121,209116_x_at,0.00074549,4.08e-06,-10.1,4.93544,-1.58,HBB,hemoglobin subunit beta
122,219978_s_at,0.00074954,4.17e-06,10.1,4.91403,1.27,NUSAP1,nucleolar and spindle associated protein 1
123,218352_at,0.00074954,4.17e-06,-10.1,4.91399,-0.534,RCBTB1,RCC1 and BTB domain containing protein 1
124,203766_s_at,0.00075346,4.23e-06,-10.0,4.90085,-1.05,LMOD1,leiomodin 1
125,202401_s_at,0.00076377,4.32e-06,-10.0,4.8795,-0.539,SRF,serum response factor
126,205221_at,0.00077494,4.42e-06,-9.99,4.85727,-1.27,HGD,"homogentisate 1,2-dioxygenase"
127,221868_at,0.00081335,4.67e-06,-9.92,4.80149,-0.526,PAIP2B,poly(A) binding protein interacting protein 2B
128,221698_s_at,0.00081879,4.74e-06,9.9,4.78713,0.857,CLEC7A,C-type lectin domain family 7 member A
129,200916_at,0.00082526,4.81e-06,9.88,4.77165,0.541,TAGLN2,transgelin 2
130,220150_s_at,0.00085618,5.03e-06,-9.83,4.72748,-0.551,FAM184A,family with sequence similarity 184 member A
131,218865_at,0.00088103,5.22e-06,-9.78,4.69112,-0.876,MARC1,mitochondrial amidoxime reducing component 1
132,210055_at,0.00088103,5.26e-06,-9.78,4.68394,-1.97,TSHR,thyroid stimulating hormone receptor
133,213451_x_at,0.00090179,5.42e-06,-9.74,4.65329,-1.15,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene)
135,203965_at,0.00092561,5.65e-06,-9.69,4.61256,-0.513,USP20,ubiquitin specific peptidase 20
136,209469_at,0.00093794,5.77e-06,-9.67,4.59207,-1.01,GPM6A,glycoprotein M6A
137,213537_at,0.00094139,5.83e-06,9.65,4.58115,0.757,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1"
138,215049_x_at,0.00095521,5.96e-06,9.63,4.55941,1.1,CD163,CD163 molecule
139,204042_at,0.00095586,6.01e-06,-9.62,4.55158,-0.797,WASF3,WAS protein family member 3
140,203908_at,0.00095686,6.13e-06,-9.59,4.53035,-1.05,SLC4A4,solute carrier family 4 member 4
141,203699_s_at,0.00095686,6.15e-06,-9.59,4.52839,-1.5,DIO2,"deiodinase, iodothyronine, type II"
142,213626_at,0.00095686,6.18e-06,-9.58,4.52249,-0.527,CBR4,carbonyl reductase 4
143,203362_s_at,0.00095686,6.18e-06,9.58,4.52242,1.02,MAD2L1,MAD2 mitotic arrest deficient-like 1 (yeast)
144,203501_at,0.00097168,6.32e-06,-9.56,4.50015,-0.808,CPQ,carboxypeptidase Q
145,213730_x_at,0.00099657,6.54e-06,9.52,4.46617,0.537,TCF3,transcription factor 3
146,202800_at,0.00099657,6.57e-06,9.51,4.46119,0.671,SLC1A3,solute carrier family 1 member 3
147,204084_s_at,0.00099995,6.64e-06,-9.5,4.45102,-0.556,CLN5,"ceroid-lipofuscinosis, neuronal 5"
148,214752_x_at,0.00100699,6.77e-06,9.47,4.43186,0.547,FLNA,filamin A
149,206498_at,0.00100699,6.78e-06,-9.47,4.43059,-0.849,OCA2,OCA2 melanosomal transmembrane protein
151,211161_s_at,0.00102612,7.04e-06,9.43,4.39303,0.822,COL3A1,collagen type III alpha 1 chain
152,204619_s_at,0.00102612,7.05e-06,9.43,4.39194,1.07,VCAN,versican
153,221755_at,0.00102867,7.11e-06,9.42,4.38293,0.726,EHBP1L1,EH domain binding protein 1 like 1
154,209841_s_at,0.00104623,7.28e-06,-9.39,4.35951,-0.901,LRRN3,leucine rich repeat neuronal 3
155,208740_at,0.0010538,7.42e-06,-9.37,4.33958,-0.626,SAP18,Sin3A associated protein 18
156,213129_s_at,0.0010538,7.42e-06,-9.37,4.33944,-0.694,LOC101060817///GCSH,"glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H"
157,208966_x_at,0.00107008,7.59e-06,9.34,4.31758,0.771,IFI16,interferon gamma inducible protein 16
158,63305_at,0.00107008,7.65e-06,-9.33,4.30918,-0.578,PKNOX2,PBX/knotted 1 homeobox 2
159,218084_x_at,0.00107008,7.69e-06,9.33,4.3037,0.631,FXYD5,FXYD domain containing ion transport regulator 5
160,202589_at,0.00107008,7.73e-06,9.32,4.29885,1.07,TYMS,thymidylate synthetase
161,209840_s_at,0.00107127,7.79e-06,-9.31,4.29153,-0.947,LRRN3,leucine rich repeat neuronal 3
162,200661_at,0.00107157,7.84e-06,9.3,4.28507,0.656,CTSA,cathepsin A
163,210471_s_at,0.00107547,7.92e-06,-9.29,4.2753,-0.705,KCNAB1,potassium voltage-gated channel subfamily A member regulatory beta subunit 1
164,219202_at,0.00107838,8.05e-06,9.27,4.25822,0.598,RHBDF2,rhomboid 5 homolog 2
165,212224_at,0.00107838,8.05e-06,-9.27,4.25818,-1.38,ALDH1A1,aldehyde dehydrogenase 1 family member A1
166,209815_at,0.00107838,8.08e-06,-9.27,4.2544,-0.688,PTCH1,patched 1
167,203054_s_at,0.00109235,8.24e-06,-9.25,4.23549,-0.543,TCTA,T-cell leukemia translocation altered
168,211395_x_at,0.00109883,8.33e-06,9.23,4.22359,0.732,FCGR2C,Fc fragment of IgG receptor IIc (gene/pseudogene)
169,206249_at,0.0011139,8.5e-06,-9.21,4.20398,-0.528,MAP3K13,mitogen-activated protein kinase kinase kinase 13
170,213133_s_at,0.00113517,8.71e-06,-9.18,4.17909,-0.652,LOC101060817///GCSH,"glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H"
171,202145_at,0.00114434,8.83e-06,9.17,4.16514,1.15,LY6E,"lymphocyte antigen 6 complex, locus E"
172,206167_s_at,0.00115992,9.01e-06,-9.14,4.14572,-0.716,ARHGAP6,Rho GTPase activating protein 6
173,215442_s_at,0.00117247,9.16e-06,-9.12,4.12829,-1.5,TSHR,thyroid stimulating hormone receptor
174,219643_at,0.00117247,9.21e-06,-9.12,4.12333,-0.587,LRP1B,LDL receptor related protein 1B
175,219597_s_at,0.00117559,9.29e-06,-9.11,4.11493,-1.41,DUOX1,dual oxidase 1
176,215184_at,0.00118209,9.39e-06,-9.1,4.10322,-1.12,DAPK2,death associated protein kinase 2
178,208454_s_at,0.0012303,9.96e-06,-9.03,4.04469,-0.776,CPQ,carboxypeptidase Q
179,211699_x_at,0.0012303,1e-05,-9.02,4.03792,-1.4,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
180,219317_at,0.0012303,1.01e-05,-9.02,4.03479,-0.707,POLI,DNA polymerase iota
181,221520_s_at,0.0012303,1.01e-05,9.02,4.03351,1.21,CDCA8,cell division cycle associated 8
182,202236_s_at,0.0012303,1.01e-05,9.01,4.02986,0.918,SLC16A1,solute carrier family 16 member 1
184,204754_at,0.00124816,1.06e-05,-8.96,3.98325,-0.67,HLF,"HLF, PAR bZIP transcription factor"
185,209803_s_at,0.00124816,1.06e-05,8.96,3.9814,0.711,PHLDA2,pleckstrin homology like domain family A member 2
186,219877_at,0.00124816,1.06e-05,-8.96,3.97906,-0.849,ZMAT4,zinc finger matrin-type 4
187,204438_at,0.00124816,1.06e-05,8.96,3.97903,0.937,MRC1,"mannose receptor, C type 1"
188,208873_s_at,0.00124816,1.07e-05,-8.95,3.9765,-0.619,REEP5,receptor accessory protein 5
189,201506_at,0.00124816,1.07e-05,8.95,3.97549,1.05,TGFBI,transforming growth factor beta induced
191,51158_at,0.00124816,1.08e-05,-8.94,3.96613,-0.766,FAM174B,family with sequence similarity 174 member B
192,215051_x_at,0.00124816,1.09e-05,8.93,3.95744,1.55,AIF1,allograft inflammatory factor 1
193,218856_at,0.00124816,1.09e-05,8.93,3.95493,1.15,TNFRSF21,TNF receptor superfamily member 21
194,206209_s_at,0.00124816,1.09e-05,-8.93,3.9513,-0.915,CA4,carbonic anhydrase 4
195,218711_s_at,0.00124988,1.1e-05,-8.92,3.9425,-0.71,SDPR,serum deprivation response
196,209242_at,0.00124988,1.1e-05,-8.91,3.93961,-0.723,PEG3,paternally expressed 3
197,205479_s_at,0.00126173,1.12e-05,8.89,3.92216,1.19,PLAU,"plasminogen activator, urokinase"
198,221731_x_at,0.00126173,1.13e-05,8.89,3.91549,1.12,VCAN,versican
199,201641_at,0.00126173,1.13e-05,8.89,3.91483,1.08,BST2,bone marrow stromal cell antigen 2
200,202887_s_at,0.0012621,1.15e-05,8.87,3.90339,1.1,DDIT4,DNA damage inducible transcript 4
201,214349_at,0.0012621,1.15e-05,-8.87,3.89824,-1.05,,
202,204061_at,0.0012621,1.15e-05,-8.87,3.89731,-0.626,PRKX,"protein kinase, X-linked"
203,221730_at,0.0012621,1.16e-05,8.86,3.89455,0.933,COL5A2,collagen type V alpha 2 chain
205,203365_s_at,0.00126909,1.18e-05,-8.84,3.87198,-1.18,MMP15,matrix metallopeptidase 15
206,204753_s_at,0.00126909,1.18e-05,-8.84,3.86983,-0.796,HLF,"HLF, PAR bZIP transcription factor"
207,212226_s_at,0.00126909,1.18e-05,-8.84,3.86935,-1.1,PLPP3,phospholipid phosphatase 3
208,204924_at,0.00127191,1.19e-05,8.83,3.86226,1.09,TLR2,toll like receptor 2
209,205204_at,0.00127545,1.2e-05,-8.82,3.85224,-0.537,NMB,neuromedin B
210,200859_x_at,0.00127545,1.22e-05,8.81,3.84377,0.577,FLNA,filamin A
212,209292_at,0.00127545,1.22e-05,-8.8,3.83674,-1.54,ID4,"inhibitor of DNA binding 4, HLH protein"
213,203760_s_at,0.00127545,1.22e-05,8.8,3.83557,0.766,SLA,Src-like-adaptor
214,214180_at,0.00127893,1.23e-05,-8.79,3.8281,-0.508,MAN1C1,mannosidase alpha class 1C member 1
215,207047_s_at,0.00128142,1.24e-05,-8.78,3.82144,-0.694,CLCNKB///CLCNKA,chloride voltage-gated channel Kb///chloride voltage-gated channel Ka
216,213566_at,0.00128536,1.25e-05,8.77,3.81367,1.26,RNASE6,ribonuclease A family member k6
217,209773_s_at,0.00129754,1.28e-05,8.75,3.79058,1.01,RRM2,ribonucleotide reductase regulatory subunit M2
218,203700_s_at,0.00129754,1.28e-05,-8.75,3.78781,-1.27,DIO2,"deiodinase, iodothyronine, type II"
219,219368_at,0.00129754,1.29e-05,-8.74,3.78629,-0.756,NAP1L2,nucleosome assembly protein 1 like 2
220,212148_at,0.00129754,1.29e-05,-8.74,3.78565,-0.863,PBX1,PBX homeobox 1
221,210038_at,0.00130569,1.3e-05,-8.73,3.7741,-0.844,PRKCQ,protein kinase C theta
222,202067_s_at,0.00130569,1.31e-05,8.73,3.77021,0.734,LDLR,low density lipoprotein receptor
223,214857_at,0.00131874,1.33e-05,-8.71,3.75562,-0.514,RPARP-AS1,RPARP antisense RNA 1
224,213416_at,0.00133216,1.35e-05,8.7,3.74086,0.682,ITGA4,integrin subunit alpha 4
225,217625_x_at,0.00133585,1.35e-05,-8.69,3.73357,-0.553,LINC00963,long intergenic non-protein coding RNA 963
226,209355_s_at,0.00134123,1.37e-05,-8.68,3.72503,-1.33,PLPP3,phospholipid phosphatase 3
227,121_at,0.00134292,1.37e-05,-8.67,3.7193,-0.825,PAX8,paired box 8
228,201663_s_at,0.00135904,1.4e-05,8.65,3.70278,0.721,SMC4,structural maintenance of chromosomes 4
230,206958_s_at,0.00136894,1.42e-05,-8.64,3.68662,-0.597,UPF3A,UPF3 regulator of nonsense transcripts homolog A (yeast)
231,204490_s_at,0.00140514,1.46e-05,8.6,3.65579,0.571,CD44,CD44 molecule (Indian blood group)
232,214433_s_at,0.00140819,1.47e-05,-8.6,3.64923,-1.1,SELENBP1,selenium binding protein 1
233,207761_s_at,0.00142107,1.49e-05,-8.58,3.63567,-0.975,METTL7A,methyltransferase like 7A
234,208965_s_at,0.00143182,1.51e-05,8.57,3.6237,0.95,IFI16,interferon gamma inducible protein 16
235,206453_s_at,0.00144102,1.53e-05,-8.56,3.61289,-0.608,NDRG2,NDRG family member 2
236,211534_x_at,0.00144296,1.54e-05,-8.55,3.60515,-0.656,PTPRN2,"protein tyrosine phosphatase, receptor type N2"
237,209933_s_at,0.00144296,1.55e-05,8.54,3.60044,0.639,CD300A,CD300a molecule
238,203812_at,0.00144296,1.55e-05,-8.54,3.59871,-0.678,SLIT3,slit guidance ligand 3
239,212141_at,0.00145013,1.57e-05,8.53,3.5862,0.776,MCM4,minichromosome maintenance complex component 4
240,221269_s_at,0.00145013,1.57e-05,8.53,3.58523,0.809,SH3BGRL3,SH3 domain binding glutamate rich protein like 3
241,214030_at,0.0014607,1.59e-05,-8.52,3.57366,-0.596,CRYBG3,crystallin beta-gamma domain containing 3
