Category,Term,Count,%,PValue,Genes,Fold Enrichment,FDR
BP,response to hypoxia,17,4.644808743,1.60E-07,"EGR1, RYR2, CITED2, ITPR1, ADM, ABAT, ATP1B1, THBS1, PGF, PML, LOXL2, VEGFA, MMP14, PLAU, CAT, CRYAB, TLR2",5.263257576,4.10E-04
BP,positive regulation of cell proliferation,30,8.196721311,3.08E-07,"CD86, CSF1R, FLT1, SHC1, IRS1, KIF14, ADM, TTK, TCIRG1, FOXM1, AIF1, THBS1, KDR, TIMP1, NTRK2, EDN3, FN1, TBX3, PBX1, PGF, CDC25B, VEGFA, HCK, PRC1, KIT, BCL2, HPSE, FGFR2, SHANK2, EZH2",2.999460335,4.10E-04
BP,cell division,24,6.557377049,6.90E-07,"UBE2C, KIF14, CDCA8, BUB1B, KIF11, SMC4, NDC80, NCAPH, CDC25B, AURKA, CCNA2, CENPE, CCNB2, TPX2, CENPF, UBE2S, PRC1, CKS2, TACC3, MCM5, NEK2, KIF2C, BUB1, MAD2L1",3.414529258,6.12E-04
CC,extracellular space,61,16.66666667,2.79E-05,"FCGBP, FLT1, ITGAM, COL14A1, SERPINE1, F13A1, ADM, ENO1, CTSS, LOXL2, GLIPR1, LGALS1, PLAU, CHEK1, TIMP1, CTSC, IL15RA, TLE2, CXADR, IGFBP5, EDN3, RNASE6, MMP9, PGF, VCAN, MMP14, MTHFD2, CAT, KIT, TFF3, CDH13, S100A9, CCL13, ASAH1, DPT, TNFRSF11B, THBS1, SELENBP1, C7, ALOX5, SPP1, SERPINH1, SLIT3, CKB, PLTP, S100A11, S100A10, LRRN3, FN1, LY86, GGH, BMP7, VEGFA, PPFIBP2, TG, COL5A1, COL5A3, CD9, TGFBI, HPSE, FMOD",1.729229481,0.001245184
MF,protein homodimerization activity,34,9.289617486,6.67E-06,"CSF1R, BCL2A1, SHMT2, XPA, TWIST1, ENO1, TYMS, THBS1, RAP1GAP, STK10, HHEX, KYNU, SEPHS1, ECT2, S100A11, S100A10, LHPP, NTRK2, FCER1G, RRM2, CHKA, PML, VEGFA, GALE, CENPF, TYROBP, CAT, KIT, BCL2, CDH13, GPD1L, CRYAB, FGFR2, MAD2L1",2.385000869,0.001527212
CC,lysosome,18,4.918032787,4.69E-05,"CTSA, ASAH1, RNASE6, ANK3, LRP2, CTSS, ASS1, CLN5, SULT1C2, HCK, NPC1, RRAGD, CAT, SLCO2A1, ACP5, HPSE, CRYAB, CTSC",3.244173257,0.001876281
CC,receptor complex,15,4.098360656,5.13E-05,"EPHB6, NTRK2, CSF1R, FLT1, TNFRSF11B, LRP2, GFRA2, LRP1B, TM7SF2, KIT, KDR, PLA2R1, GPRC5C, FGFR2, TLR2",3.760837887,0.001876281
CC,intercellular bridge,10,2.732240437,7.06E-05,"CENPE, EHD2, TPX2, TUBB6, PRC1, XPA, CDCA8, KIF23, NUPR1, CEP55",5.641256831,0.002366187
BP,response to xenobiotic stimulus,19,5.191256831,3.83E-06,"CBX7, JUN, SLC1A1, CYBB, ABAT, TNFRSF11B, FOS, TYMS, ADD3, THBS1, PGF, ASS1, CENPF, NPC1, CDH1, CAT, BCL2, FOSB, SHANK2",3.737594677,0.002549732
CC,focal adhesion,21,5.737704918,1.00E-04,"ACTR2, TLE2, FLT1, ITGA4, SHC1, ARPC1B, FHL1, PLAUR, KIF23, SORBS2, HCK, MMP14, MARCKS, PLAU, CAT, CD9, CDH13, CD44, PDLIM7, MAP4K4, TGM2",2.729640402,0.003099149
CC,endoplasmic reticulum lumen,17,4.644808743,1.46E-04,"IGFBP5, COL14A1, SDC2, PLAUR, FN1, THBS1, LTBP1, CKAP4, VCAN, LGALS1, COL5A1, COL5A3, SERPINH1, SPP1, CALU, TIMP1, CTSC",3.083645213,0.004195791
BP,mitotic spindle organization,9,2.459016393,1.00E-05,"CENPE, STMN1, EFHC1, TACC3, CDCA8, TTK, KIF11, NDC80, AURKA",8.455375254,0.005341012
CC,specific granule membrane,9,2.459016393,2.10E-04,"STK10, ITGAM, PLAU, PLAUR, C3AR1, CYBB, SLC2A3, CKAP4, LAIR1",5.579264997,0.005614758
CC,mitotic spindle,11,3.005464481,2.63E-04,"CENPE, TPX2, TUBB6, NUSAP1, EFHC1, TACC3, KIF23, KIF11, ECT2, MAD2L1, AURKA",4.279574147,0.006604558
BP,DNA replication,12,3.278688525,1.52E-05,"GINS2, FEN1, RRM2, DBF4, POLE2, CHEK1, POLI, MCM4, MCM5, MCM6, SAMHD1, DTL",5.359691418,0.006718977
CC,tertiary granule membrane,8,2.18579235,3.05E-04,"RAP2C, ITGAM, FCER1G, PLAU, CD300A, CYBB, SLC2A3, LAIR1",6.182199266,0.007209599
CC,spindle,11,3.005464481,3.27E-04,"TPX2, CENPF, PRC1, NUSAP1, BUB1B, KIF23, TTK, KIF2C, KIF11, HMMR, AURKA",4.164686251,0.007306333
BP,mitotic spindle assembly checkpoint,7,1.912568306,2.18E-05,"CENPF, BUB1B, TTK, TRIP13, BUB1, NDC80, MAD2L1",11.91973039,0.007542288
BP,negative regulation of apoptotic process,26,7.103825137,2.27E-05,"CSF1R, BCL2A1, SHC1, CITED2, KIF14, TWIST1, LRP2, AIF1, THBS1, AURKA, KDR, TIMP1, TGM2, MAP4K4, PLAUR, MMP9, TBX3, VEGFA, HCK, CAT, RGN, BCL2, NUPR1, CRYAB, CD44, MAD2L1",2.623602033,0.007542288
CC,integral component of plasma membrane,44,12.02185792,6.32E-04,"EPHB6, CSF1R, FLT1, SLC20A1, SLC1A1, SLC2A3, TCIRG1, IL1RAP, SLC1A5, SLC4A4, TM7SF2, KDR, C3AR1, YKT6, TSPAN1, CCR1, NTRK2, CD163, FCER1G, SLC16A1, CXADR, PLAUR, KCNJ15, CYBB, DCBLD2, CLEC4A, MMP14, SLC6A8, TYROBP, FCGR2A, NPC1, KIT, SLCO2A1, CD9, PLXNB1, PLA2R1, SLC26A4, CDH16, STEAP1, GPRC5C, SLC25A4, CD44, FGFR2, TLR2",1.708295255,0.012726391
CC,kinetochore,11,3.005464481,6.33E-04,"CENPE, CENPF, BUB1B, TTK, KIF2C, CENPN, NEK2, BUB1, NDC80, MAD2L1, AURKA",3.830483033,0.012726391
CC,microtubule cytoskeleton,12,3.278688525,8.05E-04,"CENPE, CCNB2, EHD2, TPX2, TUBB6, SHMT2, PRC1, CDCA8, KIF2C, HMMR, CRYAB, AURKA",3.436298577,0.014866983
CC,CMG complex,4,1.092896175,8.14E-04,"GINS2, MCM4, MCM5, MCM6",20.5136612,0.014866983
BP,inflammatory response,22,6.010928962,5.90E-05,"CCR1, CCL13, CSF1R, LY86, FPR1, CYBB, ADM, IL1RAP, TCIRG1, FOS, AIF1, THBS1, HCK, CASP4, KIT, SPP1, C3AR1, PRKCQ, HPSE, S100A9, CD44, TLR2",2.749505307,0.017446086
MF,proteoglycan binding,5,1.366120219,1.10E-04,"COL5A1, COL5A3, FN1, THBS1, CTSS",18.76434507,0.017646474
MF,ATP binding,51,13.93442623,1.28E-04,"EPHB6, FLT1, TRIO, KIF14, PEBP1, BUB1B, PYGL, KIF11, MKI67, SMC4, STK10, CHEK1, PBK, KDR, NEK2, TK1, SEPHS1, TGM2, MAGI1, ACTR2, DAPK2, KIF23, HCK, KIT, MCM4, MCM5, PRKCQ, KIF2C, MCM6, TRIB1, CSF1R, TTK, PRKX, AURKA, CKB, BUB1, ATP9A, MAP4K4, NTRK2, CHKA, UBE2C, PAICS, ASS1, SRPK1, CENPE, EHD2, STK17A, UBE2S, MYO5C, TRIP13, FGFR2",1.741097126,0.017646474
MF,signaling receptor activity,15,4.098360656,1.61E-04,"EPHB6, CD86, SLC20A1, CD300A, PLAUR, TNFRSF11B, SLC1A5, TREM1, GFRA2, DCBLD2, NPC1, SLAMF8, PLA2R1, FOLR1, TLR2",3.367959372,0.018384688
BP,multicellular organism development,12,3.278688525,7.07E-05,"NTRK2, CSF1R, VCAN, FLT1, EDN3, CDH1, CRABP1, KIT, KDR, CDH13, ID3, FGFR2",4.540849673,0.018795543
BP,aging,12,3.278688525,8.51E-05,"C1QA, IGFBP5, CAT, RGN, ABAT, ADM, FOS, TIMP1, TYMS, CTSC, ASS1, LOXL2",4.448179272,0.020587915
CC,platelet alpha granule lumen,7,1.912568306,0.001274747,"MMRN1, SERPINE1, FN1, F13A1, TIMP1, THBS1, VEGFA",5.807176149,0.022280365
CC,condensed chromosome outer kinetochore,4,1.092896175,0.001373685,"CENPF, BUB1B, BUB1, NDC80",17.35771332,0.023009225
MF,integrin binding,12,3.278688525,2.47E-04,"MMP14, ITGAM, CXADR, COL5A1, ITGA4, SPP1, KDR, FN1, CD9, ISG15, TGFBI, THBS1",3.940512465,0.024251469
MF,collagen binding,8,2.18579235,3.00E-04,"COL14A1, COL5A3, SERPINH1, FN1, TGFBI, MMP9, CD44, CTSS",6.181196024,0.025789387
MF,protein serine/threonine/tyrosine kinase activity,21,5.737704918,3.45E-04,"NTRK2, CSF1R, TRIO, FLT1, DAPK2, BUB1B, TTK, PRKX, AURKA, SRPK1, STK10, HCK, STK17A, KIT, CHEK1, KDR, NEK2, PRKCQ, BUB1, FGFR2, MAP4K4",2.485007861,0.026364206
CC,ficolin-1-rich granule lumen,9,2.459016393,0.001728469,"ACTR2, ASAH1, IMPDH1, ALOX5, CAT, MNDA, PYGL, MMP9, CTSS",4.061704918,0.027793788
BP,mitotic cell cycle,12,3.278688525,1.29E-04,"CENPE, TPX2, CENPF, TUBB6, PBK, CDCA8, NEK2, KIF11, MYBL1, NDC80, CDC25B, AURKA",4.245989305,0.028272024
BP,protein autophosphorylation,13,3.551912568,1.38E-04,"NTRK2, CSF1R, FLT1, DAPK2, TTK, PRKX, AURKA, STK10, HCK, KIT, KDR, NEK2, FGFR2",3.892156863,0.028272024
CC,perinuclear region of cytoplasm,26,7.103825137,0.002068766,"SEC23A, PPP1R13B, WWC1, ITPR1, BUB1B, AIF1, AURKA, CLN5, CDH1, ALOX5, SPP1, TSPAN1, ATP9A, TGM2, NTRK2, SORBS2, CKAP4, BSPRY, EHD2, CENPF, NPC1, CDH13, NUPR1, OBSL1, CDKN3, MAD2L1",1.945260976,0.031986302
CC,chromosome,13,3.551912568,0.002349855,"GINS2, MKI67, MLLT3, SAMHD1, SMC4, CENPE, PRC1, NUSAP1, MCM4, MCM5, TRIP13, MCM6, DTL",2.831518873,0.03498673
CC,nucleus,134,36.61202186,0.002496933,"IRS1, WWC1, PEBP1, BUB1B, ENO1, MKI67, SMC4, LOXL2, TUBB6, SALL2, CHEK1, NUSAP1, KDR, KPNA4, NEK2, TGM2, TLE2, DAPK2, CIRBP, CDC25B, PCP4, ZNF91, RRAGD, NUPR1, TRIB1, S100A9, ASF1B, ZNF395, DNMT1, BEX1, SHMT2, CRABP1, XPA, CDCA8, TWIST1, SAMSN1, CCNB2, ZBED2, ECT2, PPARGC1A, PLTP, S100A11, LHPP, EGR1, CBX7, JUN, UBE2C, GGH, MICAL2, UPF3A, ISG15, NDC80, PBX1, SRPK1, EHD2, TPX2, UBE2S, PKIA, RCAN2, BCL2, ID3, HPSE, EZH1, FGFR2, EZH2, BTG2, FEN1, PPP1R13B, CITED2, ARPC1B, FHL1, KIF14, TCIRG1, KIF11, FOXM1, HHEX, PBK, TK1, MYBL1, ACTR2, DUSP1, KIF23, FOS, CCNA2, ARL4C, HCK, MMP14, DBF4, PAX8, ELF4, RGN, MCM4, MCM5, PLEKHO1, KIF2C, MCM6, DTL, CRYAB, ASAH1, TTK, PRKX, PBXIP1, SAMHD1, TYMS, MLLT3, TOB1, AIF1, AURKA, HIRA, CKB, IGF2BP2, BUB1, GINS2, RRM2, EYA2, TXNL1, NAP1L2, SORBS2, TBX3, ASS1, PML, VEGFA, CENPE, CENPF, IMPDH1, STK17A, PRC1, FOSB, CENPN, MNDA, TRIP13, FOLR1, CDKN3, MAD2L1",1.23922691,0.035848827
MF,transmembrane receptor protein tyrosine kinase activity,7,1.912568306,5.37E-04,"EPHB6, NTRK2, CSF1R, FLT1, KIT, KDR, FGFR2",6.810762286,0.036913804
CC,secretory granule membrane,8,2.18579235,0.002779799,"FCGR2A, TYROBP, FPR1, ITPR1, SLC2A3, IQGAP2, CD44, TLR2",4.257552325,0.03853376
CC,pronucleus,3,0.819672131,0.003008577,"CENPF, EZH2, AURKA",33.84754098,0.040314935
BP,transmembrane receptor protein tyrosine kinase signaling pathway,11,3.005464481,2.18E-04,"EPHB6, NTRK2, CSF1R, HCK, FLT1, SHC1, KIT, KDR, LCP2, GFRA2, FGFR2",4.375125233,0.041382948
BP,mitotic cytokinesis,8,2.18579235,2.41E-04,"STMN1, NUSAP1, EFHC1, CDCA8, KIF23, ANK3, ECT2, CEP55",6.410611303,0.041450947
BP,positive regulation of angiogenesis,12,3.278688525,2.49E-04,"FLT1, ADAM12, SERPINE1, KDR, C3AR1, CYBB, TWIST1, ADM, HPSE, THBS1, PGF, VEGFA",3.939050319,0.041450947
CC,spindle pole,9,2.459016393,0.003202581,"TPX2, CENPF, PRC1, EFHC1, TACC3, NEK2, KIF11, CDC25B, MAD2L1",3.679080542,0.041530246
BP,cell adhesion,24,6.557377049,3.27E-04,"MAGI1, CCR1, ITGAM, ITGA4, CD300A, FN1, DPT, PRKX, PBXIP1, ATP1B1, THBS1, LOXL2, CLEC4A, HCK, VCAN, MMRN1, COL5A1, ADAM12, SPP1, CD9, TGFBI, CDH16, FOLR1, CD44",2.31053835,0.050838234
BP,positive regulation of kinase activity,8,2.18579235,3.44E-04,"EPHB6, NTRK2, CSF1R, FLT1, KIT, KDR, CD44, FGFR2",6.054466231,0.050838234
CC,intracellular membrane-bounded organelle,31,8.469945355,0.004208192,"CSF1R, CITED2, IRS1, HSD17B6, CTSS, TM7SF2, RGS5, CHEK1, PPARGC1A, TSPAN1, BUB1, AP1M2, CTSC, CTSA, SLC16A1, DAPK2, UPF3A, SLC7A5, CENPE, HCK, EHD2, BDH1, POLE2, CAT, RRAGD, TACC3, FOSB, PLCH1, MNDA, HPSE, GPRC5C",1.724644593,0.05286541
BP,positive regulation of cell migration,15,4.098360656,4.32E-04,"CCR1, CSF1R, FLT1, TWIST1, AIF1, THBS1, MMP9, VEGFA, MMP14, PLAU, KIT, KDR, CDH13, HPSE, MAP4K4",3.061246971,0.060473156
BP,apoptotic process,25,6.830601093,4.77E-04,"PPP1R13B, BCL2A1, BUB1B, TNFRSF11B, TCIRG1, THBS1, CTSS, AURKA, LGALS1, CASP4, CHEK1, BUB1, CTSC, DAPK2, EMP3, MMP9, PML, TPX2, MARCKS, STK17A, BCL2, ELMO1, S100A9, FGFR2, TLR2",2.200734898,0.063468621
CC,condensed nuclear chromosome,5,1.366120219,0.00580962,"CHEK1, NEK2, ADD3, SMC4, NCAPH",6.879581501,0.068875476
