ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
205572_at	6.92e-05	7.14e-08	8.52	8.2092612	4.41e-01	ANGPT2	angiopoietin 2	285
219093_at	7.10e-05	7.64e-08	-8.48	8.1483069	-5.53e-01	PID1	phosphotyrosine interaction domain containing 1	55022
209612_s_at	8.16e-05	9.16e-08	-8.38	7.9842219	-6.32e-01	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125
205382_s_at	1.47e-04	1.72e-07	-8.03	7.4124849	-8.56e-01	CFD	complement factor D	1675
205384_at	1.49e-04	1.88e-07	-7.98	7.3307203	-4.64e-01	FXYD1	FXYD domain containing ion transport regulator 1	5348
220037_s_at	1.49e-04	1.88e-07	-7.98	7.3304209	-7.07e-01	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	10894
201744_s_at	2.55e-04	3.32e-07	-7.68	6.8080141	-1.24	LUM	lumican	4060
203766_s_at	4.16e-04	5.60e-07	-7.40	6.3251244	-8.30e-01	LMOD1	leiomodin 1	25802
208394_x_at	4.34e-04	6.17e-07	7.35	6.2361769	7.11e-01	ESM1	endothelial cell specific molecule 1	11082
203886_s_at	4.34e-04	6.23e-07	-7.35	6.2266821	-7.14e-01	FBLN2	fibulin 2	2199
209220_at	5.08e-04	7.53e-07	-7.25	6.052125	-4.86e-01	GPC3	glypican 3	2719
204834_at	6.87e-04	1.05e-06	-7.08	5.7443665	-6.38e-01	FGL2	fibrinogen like 2	10875
212344_at	6.91e-04	1.09e-06	-7.06	5.7123875	-6.11e-01	SULF1	sulfatase 1	23213
203421_at	7.58e-04	1.22e-06	7.00	5.5998388	6.26e-01	TP53I11	tumor protein p53 inducible protein 11	9537
204051_s_at	8.06e-04	1.35e-06	-6.95	5.5094358	-5.44e-01	SFRP4	secreted frizzled related protein 4	6424
208576_s_at	8.06e-04	1.38e-06	6.94	5.4853735	3.17e-01	HIST1H3B	histone cluster 1, H3b	8358
204606_at	8.06e-04	1.41e-06	-6.93	5.4686188	-9.91e-01	CCL21	C-C motif chemokine ligand 21	6366
221760_at	9.21e-04	1.66e-06	-6.85	5.3186337	-6.78e-01	MAN1A1	mannosidase alpha class 1A member 1	4121
214044_at	9.21e-04	1.69e-06	-6.84	5.2974733	-4.29e-01	RYR2	ryanodine receptor 2	6262
205923_at	1.01e-03	1.91e-06	-6.78	5.1858186	-6.55e-01	RELN	reelin	5649
204848_x_at	1.04e-03	2.04e-06	-6.74	5.121776	-1.03	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	3048///3047
212713_at	1.04e-03	2.05e-06	-6.74	5.118721	-7.31e-01	MFAP4	microfibrillar associated protein 4	4239
219737_s_at	1.05e-03	2.12e-06	-6.72	5.08668	-6.62e-01	PCDH9	protocadherin 9	5101
214414_x_at	1.25e-03	2.59e-06	-6.63	4.901694	-8.08e-01	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
203088_at	1.81e-03	3.82e-06	-6.44	4.5367866	-7.01e-01	FBLN5	fibulin 5	10516
209301_at	2.05e-03	4.44e-06	6.36	4.3958428	6.47e-01	CA2	carbonic anhydrase 2	760
212354_at	2.05e-03	4.52e-06	-6.35	4.3789269	-7.50e-01	SULF1	sulfatase 1	23213
209763_at	2.11e-03	4.73e-06	-6.33	4.3357372	-9.10e-01	CHRDL1	chordin like 1	91851
204457_s_at	2.11e-03	4.90e-06	-6.31	4.303109	-8.19e-01	GAS1	growth arrest specific 1	2619
219416_at	2.11e-03	5.06e-06	-6.30	4.2732194	-4.39e-01	SCARA3	scavenger receptor class A member 3	51435
211534_x_at	2.11e-03	5.11e-06	-6.29	4.2628988	-4.71e-01	PTPRN2	protein tyrosine phosphatase, receptor type N2	5799
209458_x_at	2.11e-03	5.14e-06	-6.29	4.2573157	-8.66e-01	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
213112_s_at	2.11e-03	5.26e-06	6.28	4.2355928	5.89e-01	SQSTM1	sequestosome 1	8878
221030_s_at	2.11e-03	5.30e-06	-6.28	4.2285895	-3.18e-01	ARHGAP24	Rho GTPase activating protein 24	83478
203851_at	2.25e-03	5.75e-06	-6.24	4.1521073	-8.31e-01	IGFBP6	insulin like growth factor binding protein 6	3489
209558_s_at	2.27e-03	5.90e-06	6.22	4.1278158	4.93e-01	HIP1R	huntingtin interacting protein 1 related	9026
204359_at	2.35e-03	6.22e-06	-6.20	4.0776767	-7.71e-01	LOC100506718///FLRT2	uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2	100506718///23768
218899_s_at	2.44e-03	6.56e-06	-6.17	4.0276054	-4.34e-01	BAALC	brain and acute leukemia, cytoplasmic	79870
200632_s_at	2.45e-03	6.72e-06	-6.16	4.0057781	-4.23e-01	NDRG1	N-myc downstream regulated 1	10397
37005_at	2.46e-03	6.91e-06	-6.15	3.979146	-5.25e-01	MINOS1-NBL1///NBL1	MINOS1-NBL1 readthrough///neuroblastoma 1, DAN family BMP antagonist	100532736///4681
209869_at	2.46e-03	6.99e-06	-6.14	3.9683879	-4.71e-01	ADRA2A	adrenoceptor alpha 2A	150
213281_at	2.46e-03	7.20e-06	-6.13	3.9405904	-4.60e-01	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3725
213909_at	2.46e-03	7.27e-06	-6.13	3.932014	-3.43e-01	LRRC15	leucine rich repeat containing 15	131578
211745_x_at	2.46e-03	7.30e-06	-6.12	3.9276991	-8.66e-01	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
202083_s_at	2.59e-03	7.79e-06	6.09	3.8664472	3.22e-01	SEC14L1	SEC14 like lipid binding 1	6397
205612_at	2.70e-03	8.25e-06	-6.06	3.8123275	-4.39e-01	MMRN1	multimerin 1	22915
204338_s_at	2.81e-03	8.71e-06	-6.04	3.760844	-2.89e-01	RGS4	regulator of G-protein signaling 4	5999
217232_x_at	2.89e-03	9.07e-06	-6.02	3.7224685	-9.60e-01	HBB	hemoglobin subunit beta	3043
207173_x_at	3.06e-03	9.75e-06	-5.98	3.6545532	-4.36e-01	CDH11	cadherin 11	1009
204105_s_at	3.21e-03	1.04e-05	5.96	3.5959973	5.87e-01	NRCAM	neuronal cell adhesion molecule	4897
211696_x_at	3.25e-03	1.06e-05	-5.94	3.5730761	-8.30e-01	HBB	hemoglobin subunit beta	3043
201830_s_at	3.35e-03	1.12e-05	-5.92	3.5209395	-6.65e-01	NET1	neuroepithelial cell transforming 1	10276
214297_at	3.35e-03	1.13e-05	5.92	3.5161335	4.03e-01	CSPG4	chondroitin sulfate proteoglycan 4	1464
208747_s_at	3.39e-03	1.16e-05	-5.90	3.4877769	-1.31	C1S	complement component 1, s subcomponent	716
213029_at	3.39e-03	1.17e-05	-5.90	3.4819287	-3.54e-01	NFIB	nuclear factor I B	4781
204018_x_at	3.85e-03	1.35e-05	-5.83	3.3499847	-8.67e-01	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
219778_at	3.88e-03	1.38e-05	-5.82	3.3233485	-7.59e-01	ZFPM2	zinc finger protein, FOG family member 2	23414
211699_x_at	3.88e-03	1.39e-05	-5.82	3.3166268	-8.48e-01	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
202688_at	3.97e-03	1.44e-05	-5.80	3.2849479	-5.47e-01	TNFSF10	tumor necrosis factor superfamily member 10	8743
217414_x_at	4.29e-03	1.58e-05	-5.76	3.1984932	-9.95e-01	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	3040///3039
201601_x_at	4.43e-03	1.69e-05	-5.73	3.1345824	-5.34e-01	IFITM2///IFITM1	interferon induced transmembrane protein 2///interferon induced transmembrane protein 1	10581///8519
202998_s_at	4.43e-03	1.70e-05	5.72	3.1305421	3.88e-01	LOXL2	lysyl oxidase like 2	4017
208234_x_at	4.43e-03	1.73e-05	-5.72	3.1156434	-5.87e-01	FGFR2	fibroblast growth factor receptor 2	2263
201454_s_at	4.43e-03	1.73e-05	5.71	3.1118545	2.60e-01	NPEPPS	aminopeptidase puromycin sensitive	9520
213429_at	4.43e-03	1.73e-05	-5.71	3.1106873	-3.15e-01	BICC1	BicC family RNA binding protein 1	80114
204223_at	4.43e-03	1.75e-05	-5.71	3.1012208	-3.93e-01	PRELP	proline and arginine rich end leucine rich repeat protein	5549
213258_at	4.43e-03	1.77e-05	-5.70	3.0924244	-4.68e-01	TFPI	tissue factor pathway inhibitor	7035
215527_at	5.05e-03	2.04e-05	-5.64	2.9580236	-3.47e-01	KHDRBS2	KH RNA binding domain containing, signal transduction associated 2	202559
211562_s_at	5.05e-03	2.07e-05	-5.63	2.9436565	-5.66e-01	LMOD1	leiomodin 1	25802
218324_s_at	5.05e-03	2.08e-05	5.63	2.9371797	3.35e-01	SPATS2	spermatogenesis associated serine rich 2	65244
208079_s_at	5.07e-03	2.12e-05	5.62	2.9227813	2.75e-01	AURKA	aurora kinase A	6790
209897_s_at	5.34e-03	2.25e-05	-5.59	2.8628351	-4.64e-01	SLIT2	slit guidance ligand 2	9353
205991_s_at	5.50e-03	2.35e-05	-5.57	2.8245099	-3.16e-01	PRRX1	paired related homeobox 1	5396
206070_s_at	5.57e-03	2.40e-05	-5.56	2.8012411	-7.78e-01	EPHA3	EPH receptor A3	2042
203215_s_at	5.57e-03	2.43e-05	5.56	2.7932265	5.58e-01	MYO6	myosin VI	4646
212157_at	5.59e-03	2.46e-05	-5.55	2.7807398	-5.62e-01	SDC2	syndecan 2	6383
212147_at	5.71e-03	2.54e-05	5.54	2.7505879	5.95e-01	SMG5	SMG5, nonsense mediated mRNA decay factor	23381
208979_at	5.78e-03	2.61e-05	5.52	2.7228797	3.05e-01	NCOA6	nuclear receptor coactivator 6	23054
208335_s_at	5.78e-03	2.62e-05	-5.52	2.7198868	-4.42e-01	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532
214053_at	6.34e-03	2.90e-05	-5.47	2.6228546	-5.04e-01	ERBB4	erb-b2 receptor tyrosine kinase 4	2066
207415_at	6.56e-03	3.06e-05	-5.45	2.5745028	-5.27e-01	PLA2R1	phospholipase A2 receptor 1	22925
202039_at	6.56e-03	3.06e-05	5.45	2.5728932	3.10e-01	MYO18A///TIAF1	myosin XVIIIA///TGFB1-induced anti-apoptotic factor 1	399687///9220
212067_s_at	6.64e-03	3.15e-05	-5.44	2.5463228	-6.94e-01	C1R	complement C1r subcomponent	715
214321_at	6.64e-03	3.17e-05	-5.43	2.5387979	-6.53e-01	NOV	nephroblastoma overexpressed	4856
206765_at	6.64e-03	3.21e-05	5.43	2.5275753	4.33e-01	KCNJ2	potassium voltage-gated channel subfamily J member 2	3759
205216_s_at	6.64e-03	3.22e-05	5.43	2.5249906	3.67e-01	APOH	apolipoprotein H	350
210155_at	7.54e-03	3.69e-05	-5.36	2.3963993	-4.61e-01	MYOC	myocilin	4653
215913_s_at	7.54e-03	3.72e-05	-5.36	2.3875668	-5.94e-01	GULP1	GULP, engulfment adaptor PTB domain containing 1	51454
210664_s_at	7.57e-03	3.77e-05	-5.35	2.374386	-3.11e-01	TFPI	tissue factor pathway inhibitor	7035
203562_at	7.60e-03	3.82e-05	-5.35	2.3631213	-2.73e-01	FEZ1	fasciculation and elongation protein zeta 1	9638
220177_s_at	7.60e-03	3.85e-05	-5.34	2.3546265	-3.59e-01	TMPRSS3	transmembrane protease, serine 3	64699
219434_at	7.72e-03	3.95e-05	5.33	2.3306515	3.63e-01	TREM1	triggering receptor expressed on myeloid cells 1	54210
37028_at	7.91e-03	4.08e-05	-5.32	2.3001758	-5.07e-01	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	23645
217525_at	8.02e-03	4.18e-05	-5.31	2.2781824	-2.85e-01	OLFML1	olfactomedin like 1	283298
215039_at	8.08e-03	4.24e-05	-5.30	2.2628307	-2.99e-01	LINC01140	long intergenic non-protein coding RNA 1140	339524
213317_at	8.14e-03	4.31e-05	-5.29	2.2481047	-4.31e-01	CLIC5	chloride intracellular channel 5	53405
215440_s_at	8.25e-03	4.41e-05	-5.28	2.2270043	-4.00e-01	BEX4	brain expressed X-linked 4	56271
218730_s_at	8.48e-03	4.57e-05	-5.27	2.1932816	-4.17e-01	OGN	osteoglycin	4969
205529_s_at	8.51e-03	4.62e-05	-5.26	2.1820459	-2.94e-01	RUNX1T1	RUNX1 translocation partner 1	862
204163_at	8.54e-03	4.67e-05	-5.26	2.1710873	-2.92e-01	EMILIN1	elastin microfibril interfacer 1	11117
208609_s_at	8.69e-03	4.79e-05	-5.24	2.1470123	-4.26e-01	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	7148///7146
217925_s_at	8.78e-03	4.89e-05	5.24	2.1291321	3.37e-01	C6orf106	chromosome 6 open reading frame 106	64771
202409_at	8.92e-03	5.00e-05	-5.23	2.1067389	-5.36e-01	INS-IGF2///IGF2	INS-IGF2 readthrough///insulin like growth factor 2	723961///3481
202204_s_at	9.63e-03	5.44e-05	5.19	2.026751	3.33e-01	AMFR	autocrine motility factor receptor	267
212353_at	9.66e-03	5.50e-05	-5.18	2.016274	-6.34e-01	SULF1	sulfatase 1	23213
204400_at	9.71e-03	5.58e-05	-5.18	2.0030346	-6.33e-01	EFS	embryonal Fyn-associated substrate	10278
213515_x_at	9.94e-03	5.75e-05	-5.16	1.97425	-6.45e-01	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	3048///3047
205309_at	1.00e-02	5.85e-05	5.15	1.958755	5.50e-01	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	27293
204783_at	1.00e-02	5.94e-05	-5.15	1.9443974	-4.41e-01	MLF1	myeloid leukemia factor 1	4291
219213_at	1.00e-02	5.94e-05	-5.15	1.9443356	-4.15e-01	JAM2	junctional adhesion molecule 2	58494
220272_at	1.01e-02	6.02e-05	-5.14	1.9304942	-2.75e-01	BNC2	basonuclin 2	54796
209784_s_at	1.02e-02	6.18e-05	5.13	1.9066188	4.47e-01	JAG2	jagged 2	3714
212154_at	1.02e-02	6.23e-05	-5.13	1.8983723	-5.37e-01	SDC2	syndecan 2	6383
201767_s_at	1.02e-02	6.25e-05	5.12	1.8952118	3.36e-01	ELAC2	elaC ribonuclease Z 2	60528
220266_s_at	1.02e-02	6.29e-05	-5.12	1.8893747	-5.06e-01	KLF4	Kruppel like factor 4	9314
206159_at	1.03e-02	6.39e-05	-5.11	1.8740901	-3.42e-01	GDF10	growth differentiation factor 10	2662
205158_at	1.05e-02	6.57e-05	-5.10	1.8483158	-4.40e-01	RNASE4	ribonuclease A family member 4	6038
203387_s_at	1.05e-02	6.62e-05	-5.10	1.8413398	-5.18e-01	TBC1D4	TBC1 domain family member 4	9882
215858_at	1.07e-02	6.76e-05	5.09	1.8202567	4.32e-01			
200934_at	1.10e-02	7.01e-05	-5.07	1.786313	-2.84e-01	DEK	DEK proto-oncogene	7913
213176_s_at	1.10e-02	7.08e-05	-5.07	1.7771392	-6.80e-01	LTBP4	latent transforming growth factor beta binding protein 4	8425
214476_at	1.11e-02	7.14e-05	-5.06	1.7683522	-4.36e-01	TFF2	trefoil factor 2	7032
204682_at	1.12e-02	7.26e-05	-5.06	1.7529677	-5.72e-01	LTBP2	latent transforming growth factor beta binding protein 2	4053
219476_at	1.13e-02	7.38e-05	-5.05	1.7376087	-6.05e-01	C1orf116	chromosome 1 open reading frame 116	79098
221882_s_at	1.14e-02	7.49e-05	5.04	1.7231292	4.06e-01	TMEM8A	transmembrane protein 8A	58986
201114_x_at	1.19e-02	7.90e-05	5.02	1.6733825	2.59e-01	PSMA7	proteasome subunit alpha 7	5688
219087_at	1.20e-02	8.04e-05	-5.01	1.6559307	-6.12e-01	ASPN	asporin	54829
220879_at	1.20e-02	8.05e-05	5.01	1.655632	3.54e-01			
216586_at	1.21e-02	8.24e-05	5.00	1.6331593	3.52e-01	UNGP2	uracil-DNA glycosylase pseudogene 2	57005
202859_x_at	1.21e-02	8.24e-05	-5.00	1.6331556	-2.85e-01	CXCL8	C-X-C motif chemokine ligand 8	3576
216997_x_at	1.22e-02	8.39e-05	-4.99	1.6159994	-3.15e-01	TLE4	transducin like enhancer of split 4	7091
212186_at	1.25e-02	8.66e-05	4.98	1.5857337	3.49e-01	ACACA	acetyl-CoA carboxylase alpha	31
208116_s_at	1.27e-02	8.83e-05	-4.97	1.5669521	-3.30e-01	MAN1A1	mannosidase alpha class 1A member 1	4121
206211_at	1.29e-02	9.04e-05	-4.96	1.5447903	-4.04e-01	SELE	selectin E	6401
202917_s_at	1.32e-02	9.33e-05	-4.94	1.5144763	-5.64e-01	S100A8	S100 calcium binding protein A8	6279
209116_x_at	1.32e-02	9.36e-05	-4.94	1.512065	-1.06	HBB	hemoglobin subunit beta	3043
209821_at	1.33e-02	9.49e-05	-4.94	1.4990849	-2.98e-01	IL33	interleukin 33	90865
202007_at	1.35e-02	9.69e-05	4.93	1.4792359	6.50e-01	NID1	nidogen 1	4811
202450_s_at	1.37e-02	9.88e-05	-4.92	1.4600412	-3.00e-01	CTSK	cathepsin K	1513
209505_at	1.38e-02	1.01e-04	-4.91	1.4410134	-3.88e-01	NR2F1	nuclear receptor subfamily 2 group F member 1	7025
210302_s_at	1.38e-02	1.01e-04	-4.91	1.4364499	-3.67e-01	MAB21L2	mab-21 like 2	10586
208131_s_at	1.38e-02	1.03e-04	-4.90	1.4245557	-3.49e-01	PTGIS	prostaglandin I2 (prostacyclin) synthase	5740
210473_s_at	1.38e-02	1.03e-04	-4.90	1.4226684	-3.22e-01	ADGRA3	adhesion G protein-coupled receptor A3	166647
210374_x_at	1.38e-02	1.03e-04	4.90	1.4213295	2.65e-01	PTGER3	prostaglandin E receptor 3	5733
204866_at	1.42e-02	1.07e-04	4.88	1.3831566	2.93e-01	JADE3	jade family PHD finger 3	9767
204879_at	1.42e-02	1.08e-04	-4.88	1.3796164	-3.53e-01	PDPN	podoplanin	10630
204358_s_at	1.42e-02	1.08e-04	-4.88	1.3774436	-4.13e-01	LOC100506718///FLRT2	uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2	100506718///23768
203971_at	1.45e-02	1.11e-04	4.87	1.3525482	3.23e-01	SLC31A1	solute carrier family 31 member 1	1317
219820_at	1.49e-02	1.15e-04	-4.85	1.3190486	-2.74e-01	SLC6A16	solute carrier family 6 member 16	28968
206093_x_at	1.49e-02	1.15e-04	-4.85	1.3166035	-5.23e-01	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	7148///7146
214803_at	1.49e-02	1.16e-04	4.85	1.3118816	4.33e-01	CDH6	cadherin 6	1004
213618_at	1.49e-02	1.16e-04	-4.84	1.3065253	-3.80e-01	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	116984
210194_at	1.49e-02	1.17e-04	-4.84	1.2978261	-4.47e-01	PLA2R1	phospholipase A2 receptor 1	22925
201719_s_at	1.50e-02	1.18e-04	-4.84	1.2877079	-3.75e-01	EPB41L2	erythrocyte membrane protein band 4.1 like 2	2037
204623_at	1.50e-02	1.19e-04	-4.83	1.2825521	-1.25	TFF3	trefoil factor 3	7033
AFFX-HUMGAPDH/M33197_3_at	1.50e-02	1.20e-04	4.83	1.2772818	1.99e-01	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
218573_at	1.50e-02	1.20e-04	-4.83	1.2742964	-3.91e-01	MAGEH1	MAGE family member H1	28986
205866_at	1.51e-02	1.22e-04	4.82	1.2602875	3.43e-01	FCN3	ficolin 3	8547
210753_s_at	1.51e-02	1.22e-04	-4.82	1.2573637	-3.36e-01	EPHB1	EPH receptor B1	2047
212013_at	1.51e-02	1.24e-04	4.82	1.2459655	8.30e-01	PXDN	peroxidasin	7837
212158_at	1.51e-02	1.24e-04	-4.82	1.2456595	-4.93e-01	SDC2	syndecan 2	6383
214022_s_at	1.51e-02	1.24e-04	-4.81	1.2411278	-4.49e-01	IFITM1	interferon induced transmembrane protein 1	8519
210987_x_at	1.66e-02	1.38e-04	-4.77	1.1454433	-2.45e-01	TPM1	tropomyosin 1 (alpha)	7168
218901_at	1.67e-02	1.39e-04	-4.76	1.1343433	-4.73e-01	PLSCR4	phospholipid scramblase 4	57088
221075_s_at	1.67e-02	1.40e-04	4.76	1.1301952	3.21e-01	NCR2	natural cytotoxicity triggering receptor 2	9436
206817_x_at	1.67e-02	1.41e-04	4.76	1.1250956	4.01e-01	CELF3	CUGBP, Elav-like family member 3	11189
210480_s_at	1.67e-02	1.42e-04	4.76	1.1162853	6.06e-01	MYO6	myosin VI	4646
205843_x_at	1.70e-02	1.45e-04	4.75	1.0958072	2.63e-01	CRAT	carnitine O-acetyltransferase	1384
216565_x_at	1.70e-02	1.46e-04	-4.74	1.088024	-4.64e-01			
204237_at	1.70e-02	1.47e-04	-4.74	1.0857019	-7.05e-01	GULP1	GULP, engulfment adaptor PTB domain containing 1	51454
210025_s_at	1.73e-02	1.50e-04	-4.73	1.063572	-3.58e-01	CARD10	caspase recruitment domain family member 10	29775
222043_at	1.73e-02	1.50e-04	-4.73	1.0616535	-3.56e-01	CLU	clusterin	1191
203216_s_at	1.74e-02	1.53e-04	4.72	1.0443744	2.73e-01	MYO6	myosin VI	4646
211303_x_at	1.74e-02	1.53e-04	4.72	1.0428746	4.26e-01	FOLH1B	folate hydrolase 1B	219595
218169_at	1.76e-02	1.55e-04	4.72	1.030686	5.57e-01	VAC14	Vac14, PIKFYVE complex component	55697
203666_at	1.77e-02	1.57e-04	-4.71	1.0202539	-3.06e-01	CXCL12	C-X-C motif chemokine ligand 12	6387
204263_s_at	1.78e-02	1.59e-04	4.71	1.0105275	2.86e-01	CPT2	carnitine palmitoyltransferase 2	1376
213730_x_at	1.78e-02	1.59e-04	4.70	1.0063092	3.02e-01	TCF3	transcription factor 3	6929
206834_at	1.79e-02	1.63e-04	-4.69	0.9838517	-5.62e-01	HBD	hemoglobin subunit delta	3045
206685_at	1.79e-02	1.63e-04	-4.69	0.9826319	-4.47e-01	HCG4	HLA complex group 4 (non-protein coding)	54435
202687_s_at	1.79e-02	1.64e-04	-4.69	0.9816786	-3.78e-01	TNFSF10	tumor necrosis factor superfamily member 10	8743
204748_at	1.80e-02	1.65e-04	-4.69	0.9729511	-3.71e-01	PTGS2	prostaglandin-endoperoxide synthase 2	5743
203956_at	1.80e-02	1.66e-04	4.69	0.9697241	2.70e-01	MORC2	MORC family CW-type zinc finger 2	22880
209541_at	1.83e-02	1.69e-04	-4.68	0.9509964	-5.24e-01	IGF1	insulin like growth factor 1	3479
212581_x_at	1.88e-02	1.75e-04	4.66	0.9167488	1.95e-01	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
205987_at	1.89e-02	1.76e-04	-4.66	0.9105148	-2.50e-01	CD1C	CD1c molecule	911
217504_at	1.90e-02	1.79e-04	-4.65	0.8974628	-2.61e-01	ABCA6	ATP binding cassette subfamily A member 6	23460
208085_s_at	1.93e-02	1.82e-04	-4.64	0.8781145	-3.65e-01	ARHGAP6	Rho GTPase activating protein 6	395
210869_s_at	1.94e-02	1.84e-04	4.64	0.8701064	3.70e-01	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	102465453///4162
220404_at	1.97e-02	1.90e-04	4.63	0.8413787	3.01e-01	ADGRG3	adhesion G protein-coupled receptor G3	222487
213453_x_at	1.97e-02	1.90e-04	4.63	0.8395104	2.05e-01	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2597
204419_x_at	1.97e-02	1.90e-04	-4.62	0.8371599	-4.70e-01	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1	3048///3047
205080_at	1.97e-02	1.90e-04	-4.62	0.8370062	-2.23e-01	RARB	retinoic acid receptor beta	5915
217897_at	1.98e-02	1.92e-04	-4.62	0.8284586	-5.39e-01	FXYD6	FXYD domain containing ion transport regulator 6	53826
207655_s_at	1.98e-02	1.93e-04	4.62	0.822781	2.99e-01	BLNK	B-cell linker	29760
211964_at	2.01e-02	1.96e-04	4.61	0.8081798	3.82e-01	COL4A2	collagen type IV alpha 2 chain	1284
211148_s_at	2.06e-02	2.03e-04	4.60	0.7779969	3.75e-01	ANGPT2	angiopoietin 2	285
208527_x_at	2.06e-02	2.03e-04	4.60	0.7758816	4.84e-01	HIST1H2BE	histone cluster 1, H2be	8344
208530_s_at	2.06e-02	2.04e-04	-4.59	0.7709622	-2.70e-01	RARB	retinoic acid receptor beta	5915
210757_x_at	2.07e-02	2.06e-04	-4.59	0.761543	-3.01e-01	LOC101926921///DAB2	uncharacterized LOC101926921///DAB2, clathrin adaptor protein	101926921///1601
218840_s_at	2.10e-02	2.10e-04	4.58	0.7451467	3.58e-01	NADSYN1	NAD synthetase 1	55191
213800_at	2.11e-02	2.12e-04	-4.58	0.7330594	-8.85e-01	CFH	complement factor H	3075
213308_at	2.17e-02	2.20e-04	-4.56	0.6992249	-2.32e-01	SHANK2	SH3 and multiple ankyrin repeat domains 2	22941
