GeneID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Description
441094	3.67E-21	6.67E-24	0.3253	10.081558	3.2798284	582.7	NR2F1-AS1	NR2F1 antisense RNA 1
1803	4.20E-21	7.81E-24	0.5043	10.066034	5.076713	3875.38	DPP4	dipeptidyl peptidase 4
2582	4.39E-21	8.35E-24	0.3307	10.059426	3.3265989	763.55	GALE	UDP-galactose-4-epimerase
2621	1.23E-20	2.39E-23	0.1466	9.955261	1.4595467	4325.09	GAS6	growth arrest specific 6
400794	4.11E-20	8.17E-23	0.8636	9.832349	8.49104	237.56	LRRC52-AS1	LRRC52 antisense RNA 1
3759	4.34E-20	8.82E-23	0.3825	9.824596	3.757985	1202.66	KCNJ2	potassium inwardly rectifying channel subfamily J member 2
134	6.87E-20	1.43E-22	0.3537	9.776135	3.4579384	682.32	ADORA1	adenosine A1 receptor
55450	7.15E-20	1.52E-22	0.3568	9.769967	3.485489	928.04	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1
5627	1.35E-19	2.91E-22	0.4383	9.703609	4.2529632	9983.14	PROS1	protein S
140576	1.91E-19	4.21E-22	0.1751	9.66579	1.6921222	892.51	S100A16	S100 calcium binding protein A16
100507065	4.82E-19	1.08E-21	0.5348	9.56847	5.1168931	113.32	MSRB3-AS1	MSRB3 antisense RNA 1
113146	5.35E-19	1.23E-21	0.4861	9.555798	4.6454637	8059.69	AHNAK2	AHNAK nucleoprotein 2
105369735	5.52E-19	1.29E-21	0.681	9.550639	6.5037571	84.9	LOC105369735	uncharacterized LOC105369735
3673	1.29E-18	3.08E-21	0.3483	9.460025	3.2950614	3923.58	ITGA2	integrin subunit alpha 2
1001	1.80E-18	4.36E-21	0.4164	9.423486	3.9236527	1117.6	CDH3	cadherin 3
8796	2.89E-18	7.12E-21	0.4424	9.371917	4.1465782	1237.94	SCEL	sciellin
6357	4.23E-18	1.06E-20	0.4401	9.329661	4.1064248	78.89	CCL13	C-C motif chemokine ligand 13
3043	5.32E-18	1.36E-20	0.4796	-9.303584	-4.4624577	2964.53	HBB	hemoglobin subunit beta
650669	5.63E-18	1.46E-20	0.1537	9.295805	1.4288233	657.63	GAS6-AS1	GAS6 antisense RNA 1
80725	6.44E-18	1.70E-20	0.4644	9.279687	4.3090247	344.36	SRCIN1	SRC kinase signaling inhibitor 1
5603	7.69E-18	2.06E-20	0.2301	9.259093	2.1307948	3862.06	MAPK13	mitogen-activated protein kinase 13
374946	1.14E-17	3.10E-20	0.3959	9.215535	3.6487584	60.34	DRAXIN	dorsal inhibitory axon guidance protein
107987110	1.30E-17	3.61E-20	0.8005	9.199046	7.3635012	264.51	LOC107987110	uncharacterized LOC107987110
81849	1.36E-17	3.82E-20	0.6789	9.192878	6.2414741	506.08	ST6GALNAC5	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
5768	1.84E-17	5.25E-20	0.1657	9.158826	1.5178916	1749.33	QSOX1	quiescin sulfhydryl oxidase 1
23362	2.78E-17	8.07E-20	0.3004	9.112289	2.7373774	8627.66	PSD3	pleckstrin and Sec7 domain containing 3
151354	4.11E-17	1.21E-19	0.2759	9.068278	2.5017977	561.85	LRATD1	LRAT domain containing 1
6382	7.13E-17	2.13E-19	0.2455	9.006516	2.2113683	2607.73	SDC1	syndecan 1
10392	1.08E-16	3.28E-19	0.3215	8.958968	2.8805754	4028.98	NOD1	nucleotide binding oligomerization domain containing 1
8572	1.60E-16	4.92E-19	0.3875	8.91414	3.4545342	700.77	PDLIM4	PDZ and LIM domain 4
2118	1.77E-16	5.52E-19	0.3906	8.90131	3.4766103	510.97	ETV4	ETS variant transcription factor 4
127845	1.83E-16	5.78E-19	0.4406	8.896264	3.9197341	112.32	GOLT1A	golgi transport 1A
114	1.92E-16	6.15E-19	0.7905	8.889224	7.0265733	284.09	ADCY8	adenylate cyclase 8
1116	2.57E-16	8.33E-19	0.6825	8.855564	6.0442262	4860.46	CHI3L1	chitinase 3 like 1
8091	4.44E-16	1.46E-18	0.5797	8.792704	5.0970862	784.35	HMGA2	high mobility group AT-hook 2
3249	4.72E-16	1.57E-18	0.3175	8.784457	2.7894984	835.32	HPN	hepsin
7039	5.03E-16	1.71E-18	0.3447	8.774963	3.0247531	2455.85	TGFA	transforming growth factor alpha
3880	5.03E-16	1.72E-18	0.4709	8.774319	4.1322053	4299.26	KRT19	keratin 19
106614088	5.40E-16	1.87E-18	0.2288	8.764966	2.0052052	431.96	MIR34AHG	MIR34A host gene
79017	8.26E-16	2.89E-18	0.3255	8.715515	2.8371362	494.27	GGCT	gamma-glutamylcyclotransferase
222256	1.03E-15	3.67E-18	0.3624	-8.688729	-3.1486856	280.16	CDHR3	cadherin related family member 3
51809	1.24E-15	4.46E-18	0.251	8.6664	2.1754264	2995.15	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7
3918	2.20E-15	7.98E-18	0.2468	8.59985	2.1220539	6348.98	LAMC2	laminin subunit gamma 2
6385	2.37E-15	8.70E-18	0.3537	8.589972	3.0385638	14423.42	SDC4	syndecan 4
3977	2.75E-15	1.02E-17	0.3805	-8.571462	-3.2614697	8527.14	LIFR	LIF receptor subunit alpha
55357	2.76E-15	1.04E-17	0.32	8.56968	2.7421995	1686.86	TBC1D2	TBC1 domain family member 2
113026	2.90E-15	1.11E-17	0.417	8.562407	3.570219	1232.03	PLCD3	phospholipase C delta 3
107986558	4.62E-15	1.78E-17	0.6043	8.507541	5.1407273	186.41	LOC107986558	uncharacterized LOC107986558
83439	6.26E-15	2.44E-17	0.314	-8.470878	-2.6601388	195.53	TCF7L1	transcription factor 7 like 1
2886	9.29E-15	3.65E-17	0.2776	8.423485	2.338104	459.97	GRB7	growth factor receptor bound protein 7
2823	9.98E-15	3.97E-17	0.4354	-8.413756	-3.6631246	403.67	GPM6A	glycoprotein M6A
1404	1.78E-14	7.16E-17	0.6414	8.344442	5.3523686	38.62	HAPLN1	hyaluronan and proteoglycan link protein 1
8974	1.81E-14	7.38E-17	0.2461	8.340826	2.052398	1304.73	P4HA2	prolyl 4-hydroxylase subunit alpha 2
10205	1.88E-14	7.73E-17	0.3587	8.335306	2.9894984	4980.55	MPZL2	myelin protein zero like 2
54733	2.35E-14	9.77E-17	0.2696	8.307604	2.2399833	1098.46	SLC35F2	solute carrier family 35 member F2
3040	2.65E-14	1.11E-16	0.5648	-8.292271	-4.683722	256.16	HBA2	hemoglobin subunit alpha 2
5650	2.79E-14	1.18E-16	0.884	8.284895	7.3236992	613.2	KLK7	kallikrein related peptidase 7
4435	3.75E-14	1.61E-16	0.6231	8.248384	5.1394701	1082.53	CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
5031	3.90E-14	1.69E-16	0.3213	8.242488	2.6481981	298.81	P2RY6	pyrimidinergic receptor P2Y6
347735	4.39E-14	1.92E-16	0.3228	8.227078	2.6557014	706.86	SERINC2	serine incorporator 2
3039	5.12E-14	2.26E-16	0.5779	-8.207378	-4.7432858	329.51	HBA1	hemoglobin subunit alpha 1
105378308	6.57E-14	2.93E-16	0.5132	8.176355	4.1958944	203.43	LOC105378308	uncharacterized LOC105378308
4582	7.18E-14	3.23E-16	0.4342	8.164475	3.5447298	761.08	MUC1	"mucin 1, cell surface associated"
221	8.60E-14	3.91E-16	0.404	8.141468	3.2890194	533.34	ALDH3B1	aldehyde dehydrogenase 3 family member B1
80714	1.19E-13	5.44E-16	0.3657	-8.101239	-2.9624354	367.39	PBX4	PBX homeobox 4
105369517	1.33E-13	6.22E-16	1.1234	8.084902	9.0821762	52.53	LOC105369517	uncharacterized LOC105369517
107984474	1.33E-13	6.29E-16	0.6298	8.083514	5.0906631	50.36	LRRK2-DT	LRRK2 divergent transcript
51477	1.33E-13	6.27E-16	0.1512	8.083872	1.2222803	504.74	ISYNA1	inositol-3-phosphate synthase 1
2049	1.59E-13	7.56E-16	0.3172	8.061185	2.5572977	334.99	EPHB3	EPH receptor B3
9228	2.16E-13	1.04E-15	0.4922	-8.022497	-3.9485567	87.22	DLGAP2	DLG associated protein 2
5596	2.34E-13	1.13E-15	0.4927	-8.011517	-3.9469727	343.08	MAPK4	mitogen-activated protein kinase 4
3321	2.45E-13	1.20E-15	0.2972	8.004913	2.378692	2327.91	IGSF3	immunoglobulin superfamily member 3
1646	4.23E-13	2.10E-15	0.4872	-7.935097	-3.8661003	168.93	AKR1C2	aldo-keto reductase family 1 member C2
10021	4.23E-13	2.10E-15	0.6768	7.935322	5.3705028	153.45	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4
394263	4.86E-13	2.44E-15	1.1557	7.916757	9.1490729	225.11	MUC21	"mucin 21, cell surface associated"
23336	5.76E-13	2.92E-15	0.2696	-7.894403	-2.1283389	837.44	SYNM	synemin
6692	6.02E-13	3.07E-15	0.3082	7.887913	2.4308981	2501.3	SPINT1	"serine peptidase inhibitor, Kunitz type 1"
9071	8.52E-13	4.39E-15	0.586	7.843369	4.5961467	119.14	CLDN10	claudin 10
84216	1.01E-12	5.25E-15	0.1786	7.820874	1.3965841	636.01	TMEM117	transmembrane protein 117
105369807	1.28E-12	6.72E-15	0.8102	7.789724	6.311595	53.27	LINC02454	long intergenic non-protein coding RNA 2454
4240	1.35E-12	7.11E-15	0.2454	7.782447	1.909589	3376.65	MFGE8	milk fat globule EGF and factor V/VIII domain containing
340527	1.47E-12	7.80E-15	0.2568	7.770791	1.9953478	2722.67	NHSL2	NHS like 2
9249	1.51E-12	8.09E-15	0.3918	7.766237	3.0430827	11531.69	DHRS3	dehydrogenase/reductase 3
105376004	1.53E-12	8.26E-15	0.7735	-7.763453	-6.0049872	145.86	LOC105376004	uncharacterized LOC105376004
105379303	1.59E-12	8.66E-15	0.3235	7.757505	2.5098968	120.27	LOC105379303	uncharacterized LOC105379303
8671	1.89E-12	1.04E-14	0.4373	-7.734199	-3.3822715	3117.03	SLC4A4	solute carrier family 4 member 4
64393	2.02E-12	1.12E-14	0.2643	7.725304	2.0417693	5947.11	ZMAT3	zinc finger matrin-type 3
157869	2.35E-12	1.32E-14	0.3582	-7.703828	-2.7594769	359.65	SBSPON	somatomedin B and thrombospondin type 1 domain containing
101930164	2.35E-12	1.31E-14	0.8011	7.704524	6.1717192	122.65	LINC02555	long intergenic non-protein coding RNA 2555
3898	2.69E-12	1.53E-14	0.4486	7.685294	3.4473666	545.83	LAD1	ladinin 1
153579	2.77E-12	1.58E-14	0.3152	-7.680881	-2.4210985	366.94	BTNL9	butyrophilin like 9
23682	2.79E-12	1.60E-14	0.219	7.678985	1.6816841	432.37	RAB38	"RAB38, member RAS oncogene family"
222171	3.25E-12	1.88E-14	0.5037	7.658457	3.8575725	182.27	PRR15	proline rich 15
7780	3.33E-12	1.94E-14	0.5274	7.654268	4.036861	1786.48	SLC30A2	solute carrier family 30 member 2
3092	3.39E-12	2.00E-14	0.1696	7.650932	1.2975776	3548.75	HIP1	huntingtin interacting protein 1
56134	3.55E-12	2.11E-14	0.366	7.644037	2.7974146	389.89	PCDHAC2	"protocadherin alpha subfamily C, 2"
55220	4.45E-12	2.65E-14	0.6347	7.614215	4.8328331	250.35	KLHDC8A	kelch domain containing 8A
9969	4.48E-12	2.69E-14	0.1229	7.612283	0.9356072	12180.12	MED13	mediator complex subunit 13
105372132	5.90E-12	3.57E-14	0.6362	-7.575596	-4.8195196	266.02	LOC105372132	uncharacterized LOC105372132
390195	6.15E-12	3.75E-14	1.2445	7.569351	9.4199885	109.52	OR5AN1	olfactory receptor family 5 subfamily AN member 1
3934	6.38E-12	3.92E-14	1.0269	7.563762	7.7674061	1240.55	LCN2	lipocalin 2
100126784	7.21E-12	4.46E-14	0.1658	7.546817	1.2511891	284.03	NAV2-AS6	NAV2 antisense RNA 6
100131604	7.32E-12	4.56E-14	0.7436	7.543963	5.6099726	44.93	DPP4-DT	DPP4 divergent transcript
22996	7.38E-12	4.63E-14	0.2812	7.542047	2.1206831	882.8	TTC39A	tetratricopeptide repeat domain 39A
6439	7.88E-12	4.98E-14	0.8264	7.53253	6.2251616	10563.87	SFTPB	surfactant protein B
3996	8.59E-12	5.46E-14	0.136	7.520383	1.0231418	696.39	LLGL1	LLGL scribble cell polarity complex component 1
1499	9.96E-12	6.37E-14	0.1411	7.500148	1.0579927	28779.95	CTNNB1	catenin beta 1
23650	1.06E-11	6.85E-14	0.6991	7.490772	5.2369734	158.24	TRIM29	tripartite motif containing 29
101927204	1.12E-11	7.25E-14	0.2101	7.483242	1.5722218	449.88	FAM111A-DT	FAM111A divergent transcript
1824	1.21E-11	7.92E-14	0.2167	7.471721	1.6193037	1531.13	DSC2	desmocollin 2
29785	1.27E-11	8.36E-14	0.5581	7.464477	4.166214	123.29	CYP2S1	cytochrome P450 family 2 subfamily S member 1
56943	1.59E-11	1.05E-13	0.1336	-7.43394	-0.9934908	514.21	ENY2	ENY2 transcription and export complex 2 subunit
100861541	1.69E-11	1.12E-13	0.3352	7.425415	2.4887813	129.1	DOCK9-DT	DOCK9 divergent transcript
388743	1.94E-11	1.30E-13	0.635	7.406262	4.7027736	97.51	CAPN8	calpain 8
55244	2.12E-11	1.43E-13	0.306	7.393625	2.2627352	828.41	SLC47A1	solute carrier family 47 member 1
642484	2.22E-11	1.51E-13	0.6274	-7.386512	-4.6342361	197.14	LOC642484	uncharacterized LOC642484
105371471	2.63E-11	1.80E-13	0.7384	7.363167	5.4370665	29.07	NECTIN4-AS1	NECTIN4 antisense RNA 1
3705	3.12E-11	2.15E-13	0.1507	7.339432	1.1059379	1360	ITPK1	inositol-tetrakisphosphate 1-kinase
646	3.47E-11	2.40E-13	0.7321	7.324476	5.3623855	235.8	BNC1	basonuclin 1
6769	3.69E-11	2.57E-13	0.4362	7.31534	3.1905979	216.9	STAC	SH3 and cysteine rich domain
79794	3.93E-11	2.76E-13	0.2519	7.305799	1.8406746	13357.85	SPRING1	SREBF pathway regulator in golgi 1
440699	4.04E-11	2.85E-13	1.2186	7.301387	8.8971305	76.27	LRRC52	leucine rich repeat containing 52
105369734	4.13E-11	2.93E-13	1.1936	7.297554	8.7105816	111.09	LINC02471	long intergenic non-protein coding RNA 2471
649	4.26E-11	3.04E-13	0.2317	7.292725	1.6896026	1174.79	BMP1	bone morphogenetic protein 1
55240	4.55E-11	3.26E-13	0.2446	7.283009	1.7810735	401.54	STEAP3	STEAP3 metalloreductase
441502	4.66E-11	3.37E-13	0.4275	7.278855	3.1116007	56.1	RPS26P11	ribosomal protein S26 pseudogene 11
105375180	4.94E-11	3.59E-13	1.1329	-7.270148	-8.2360909	26.37	LOC105375180	uncharacterized LOC105375180
126353	4.95E-11	3.62E-13	0.5485	7.269044	3.9872541	124.86	MISP	mitotic spindle positioning
83473	5.21E-11	3.83E-13	0.2626	-7.26151	-1.9069388	835.6	KATNAL2	katanin catalytic subunit A1 like 2
3556	6.36E-11	4.71E-13	0.3272	7.233287	2.3669037	1237.06	IL1RAP	interleukin 1 receptor accessory protein
3423	6.36E-11	4.73E-13	0.1473	7.232752	1.0654969	8627.7	IDS	iduronate 2-sulfatase
11282	7.73E-11	5.78E-13	0.2763	7.205537	1.990977	2945.91	MGAT4B	"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"
6261	7.89E-11	5.94E-13	0.3788	7.201833	2.7282852	473.96	RYR1	ryanodine receptor 1
9068	8.03E-11	6.08E-13	0.3299	-7.198682	-2.3751084	1077.93	ANGPTL1	angiopoietin like 1
100861518	9.23E-11	7.03E-13	0.2848	7.17889	2.0447574	114.08	P4HA2-AS1	P4HA2 antisense RNA 1
402415	9.40E-11	7.19E-13	0.4249	7.17573	3.0492055	463.21	XKRX	XK related X-linked
3775	1.04E-10	7.97E-13	0.233	7.161672	1.668759	378.55	KCNK1	potassium two pore domain channel subfamily K member 1
339855	1.04E-10	8.02E-13	0.402	-7.160781	-2.8783574	493.73	KY	kyphoscoliosis peptidase
284340	1.04E-10	8.09E-13	0.4138	7.159621	2.962485	120.66	CXCL17	C-X-C motif chemokine ligand 17
5126	1.06E-10	8.30E-13	0.6495	7.156145	4.6480799	3974.13	PCSK2	proprotein convertase subtilisin/kexin type 2
1188	1.07E-10	8.39E-13	0.5587	-7.154569	-3.9972193	285.44	CLCNKB	chloride voltage-gated channel Kb
29109	1.17E-10	9.24E-13	0.2	7.141422	1.4281188	1223.53	FHOD1	formin homology 2 domain containing 1
100422943	1.19E-10	9.46E-13	0.6582	7.138102	4.6980815	92.19	MIR3189	microRNA 3189
64065	1.46E-10	1.17E-12	0.394	7.109416	2.8007651	5959.07	PERP	p53 apoptosis effector related to PMP22
5063	1.99E-10	1.60E-12	0.4267	-7.065567	-3.0148823	2290	PAK3	p21 (RAC1) activated kinase 3
25797	2.02E-10	1.64E-12	0.4493	7.061742	3.1727649	469.89	QPCT	glutaminyl-peptide cyclotransferase
2743	2.02E-10	1.64E-12	0.4871	7.061739	3.4397127	245.87	GLRB	glycine receptor beta
6271	2.31E-10	1.89E-12	0.4252	7.042461	2.9941452	1339.05	S100A1	S100 calcium binding protein A1
4061	2.48E-10	2.04E-12	0.3865	7.031657	2.7180369	3946.52	LY6E	lymphocyte antigen 6 family member E
400073	2.50E-10	2.07E-12	0.1797	7.029962	1.2629975	605.5	C12orf76	chromosome 12 open reading frame 76
3958	2.50E-10	2.08E-12	0.4423	7.02897	3.1091302	4108.44	LGALS3	galectin 3
4680	2.50E-10	2.09E-12	1.1227	7.028421	7.8909558	296.21	CEACAM6	CEA cell adhesion molecule 6
140730	2.78E-10	2.33E-12	0.4486	-7.012935	-3.146173	300.55	RIMS4	regulating synaptic membrane exocytosis 4
23316	2.88E-10	2.43E-12	0.9576	-7.007531	-6.7105423	285.07	CUX2	cut like homeobox 2
1675	2.93E-10	2.49E-12	0.4325	-7.004071	-3.029503	347.61	CFD	complement factor D
3482	3.02E-10	2.58E-12	0.1844	6.999036	1.2904681	13825.02	IGF2R	insulin like growth factor 2 receptor
162461	3.09E-10	2.65E-12	0.5987	6.995371	4.1879602	65.46	TMEM92	transmembrane protein 92
744	3.14E-10	2.70E-12	0.6291	-6.992602	-4.3991582	1573.92	MPPED2	metallophosphoesterase domain containing 2
102724019	3.17E-10	2.74E-12	0.3699	-6.990348	-2.58549	161.57	LOC102724019	uncharacterized LOC102724019
160728	3.35E-10	2.91E-12	0.6311	-6.981849	-4.4060272	1884.3	SLC5A8	solute carrier family 5 member 8
9902	3.35E-10	2.92E-12	0.3677	6.981282	2.5666696	2234.81	MRC2	mannose receptor C type 2
9446	3.48E-10	3.06E-12	0.1469	6.975011	1.0246657	1596.03	GSTO1	glutathione S-transferase omega 1
28513	4.22E-10	3.73E-12	0.8299	-6.947168	-5.7657429	32.89	CDH19	cadherin 19
1955	4.30E-10	3.81E-12	0.3494	6.943989	2.4259117	9222.23	MEGF9	multiple EGF like domains 9
105372098	4.30E-10	3.83E-12	0.3045	-6.943286	-2.1144161	382.34	LOC105372098	uncharacterized LOC105372098
414149	4.56E-10	4.08E-12	0.507	6.934435	3.5154647	449.79	ACBD7	acyl-CoA binding domain containing 7
80157	4.74E-10	4.26E-12	0.4138	-6.928194	-2.8668576	498.13	CWH43	cell wall biogenesis 43 C-terminal homolog
133	5.04E-10	4.56E-12	0.388	6.918646	2.6847624	419.58	ADM	adrenomedullin
10874	5.50E-10	4.99E-12	0.9641	6.905828	6.6577357	77.63	NMU	neuromedin U
6531	5.78E-10	5.27E-12	0.6391	-6.898055	-4.4084	26.37	SLC6A3	solute carrier family 6 member 3
7991	6.01E-10	5.51E-12	0.4077	6.891663	2.809677	983.8	TUSC3	tumor suppressor candidate 3
120892	6.16E-10	5.67E-12	0.3651	6.887664	2.5148683	7138.25	LRRK2	leucine rich repeat kinase 2
204010	6.26E-10	5.79E-12	0.8136	6.884742	5.6017049	68.36	RPSAP52	ribosomal protein SA pseudogene 52
552	6.40E-10	5.95E-12	0.5238	-6.880851	-3.6040528	899.3	AVPR1A	arginine vasopressin receptor 1A
286343	6.50E-10	6.07E-12	0.4754	6.87795	3.2694611	497.24	LURAP1L	leucine rich adaptor protein 1 like
114793	7.45E-10	6.99E-12	0.1406	6.85791	0.9643642	4174.85	FMNL2	formin like 2
102724861	7.46E-10	7.03E-12	0.6417	6.85698	4.400434	32.28	LOC102724861	uncharacterized LOC102724861
50945	7.70E-10	7.30E-12	0.9589	-6.851718	-6.5698795	246.76	TBX22	T-box transcription factor 22
54848	8.10E-10	7.71E-12	0.3915	6.843847	2.6793856	783.93	ARHGEF38	Rho guanine nucleotide exchange factor 38
101927873	8.21E-10	7.85E-12	0.4155	-6.841342	-2.8425256	59.94	LINC01508	long intergenic non-protein coding RNA 1508
4897	9.98E-10	9.58E-12	0.4436	6.812629	3.0219086	2014.93	NRCAM	neuronal cell adhesion molecule
107984113	1.02E-09	9.89E-12	0.5968	-6.808073	-4.0630459	97.13	LOC107984113	uncharacterized LOC107984113
105369808	1.02E-09	9.86E-12	1.1949	6.808466	8.135206	45.05	LOC105369808	uncharacterized LOC105369808
6590	1.03E-09	1.01E-11	0.7665	6.8055	5.2163434	1046.99	SLPI	secretory leukocyte peptidase inhibitor
121601	1.09E-09	1.06E-11	0.5901	-6.797481	-4.0114552	63.76	ANO4	anoctamin 4
143	1.09E-09	1.07E-11	0.1659	6.797355	1.127461	6245.93	PARP4	poly(ADP-ribose) polymerase family member 4
2167	1.11E-09	1.09E-11	0.7448	-6.793602	-5.0599736	226.61	FABP4	fatty acid binding protein 4
79679	1.14E-09	1.13E-11	1.1337	6.7895	7.6969864	295.15	VTCN1	V-set domain containing T cell activation inhibitor 1
6277	1.22E-09	1.22E-11	0.3899	6.777964	2.6424578	14981.12	S100A6	S100 calcium binding protein A6
9162	1.22E-09	1.22E-11	0.5095	-6.778273	-3.4534513	4070.66	DGKI	diacylglycerol kinase iota
128434	1.27E-09	1.27E-11	0.6363	6.771763	4.3089607	224	VSTM2L	V-set and transmembrane domain containing 2 like
51312	1.29E-09	1.30E-11	0.1726	6.76891	1.1680355	2862.83	SLC25A37	solute carrier family 25 member 37
134111	1.36E-09	1.38E-11	0.3383	6.76014	2.2871213	206.11	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1
101930048	1.62E-09	1.65E-11	0.5401	-6.734374	-3.6375073	52.13	LOC101930048	replaced by ID 101930053
3710	1.73E-09	1.76E-11	0.2727	6.724596	1.8341236	13180.98	ITPR3	"inositol 1,4,5-trisphosphate receptor type 3"
115111	1.73E-09	1.77E-11	0.5262	-6.723703	-3.5378356	37347.78	SLC26A7	solute carrier family 26 member 7
23108	1.74E-09	1.80E-11	0.2088	6.721735	1.4035457	1147.49	RAP1GAP2	RAP1 GTPase activating protein 2
100128675	1.74E-09	1.79E-11	0.3903	6.722148	2.6238068	119.52	HPN-AS1	HPN antisense RNA 1
345651	1.76E-09	1.84E-11	0.6488	6.71846	4.3589045	40.22	ACTBL2	actin beta like 2
