ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Gene.ID
43_30_3	9.86e-04	6.02e-06	-6.8732101	4.22666	-1.5443551	PEMT	phosphatidylethanolamine N-methyltransferase	10400
31_27_3	9.86e-04	6.05e-06	-6.870287	4.22193	-1.3534382	ZNF217	zinc finger protein 217	7764
51_22_6	9.86e-04	6.08e-06	-6.8668181	4.21633	-1.4222491	C17orf80	chromosome 17 open reading frame 80	55028
41_15_7	1.12e-03	6.99e-06	6.7831794	4.08065	1.5133367	SFN	stratifin	2810
16_30_6	1.32e-03	8.36e-06	-6.6760082	3.90527	-1.0276173	PSCD3	pleckstrin homology, Sec7 and coiled-coil domains 3	9265
10_17_7	1.35e-03	8.62e-06	-6.6578303	3.87535	-2.8489387	SLITRK5	SLIT and NTRK-like family, member 5	26050
25_3_8	1.36e-03	8.85e-06	6.6427457	3.85049	2.1402368	FLJ10986	hypothetical protein FLJ10986	55277
31_29_3	1.36e-03	9.05e-06	-6.6293761	3.82842	-1.2937025	RTN1	reticulon 1	6252
52_29_6	1.36e-03	9.05e-06	-6.629247	3.82821	-0.9134119			
7_20_2	1.46e-03	9.88e-06	6.5774548	3.74247	2.718823	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5	6510
2_18_6	1.46e-03	9.97e-06	6.5721506	3.73367	2.9567467	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	55450
27_8_4	1.49e-03	1.03e-05	-6.5551107	3.70536	-1.3180302	GMEB2	glucocorticoid modulatory element binding protein 2	26205
14_31_3	1.50e-03	1.05e-05	-6.5407607	3.68149	-1.3252472	VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)	6843
57_10_7	1.50e-03	1.06e-05	6.5358245	3.67327	1.543484	FLJ42258///CCND1	FLJ42258 protein///cyclin D1	440049///595
28_8_6	1.54e-03	1.10e-05	6.5135374	3.63611	2.1160836	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	55723
1_26_6	1.54e-03	1.11e-05	6.5086877	3.62802	1.6746408	RAI14	retinoic acid induced 14	26064
20_4_2	1.65e-03	1.20e-05	6.4609793	3.5482	2.3794904	MALL	mal, T-cell differentiation protein-like	7851
16_31_6	1.79e-03	1.32e-05	-6.4072246	3.45785	-1.5031189	CDC73	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	79577
49_28_3	1.90e-03	1.42e-05	-6.3652535	3.38701	-1.1805234	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	322
10_15_1	1.90e-03	1.44e-05	6.3580221	3.37478	1.6682082	CDK6	cyclin-dependent kinase 6	1021
41_11_1	1.90e-03	1.45e-05	6.3538198	3.36767	2.9884282	APOC1	apolipoprotein C-I	341
60_30_5	1.93e-03	1.50e-05	-6.3334491	3.33316	-1.6805824	KBTBD11	kelch repeat and BTB (POZ) domain containing 11	9920
35_13_8	1.93e-03	1.50e-05	6.3330154	3.33242	1.395044	CDH13	cadherin 13, H-cadherin (heart)	1012
36_28_2	1.99e-03	1.56e-05	6.3099521	3.29327	2.7791608	OLR1	oxidized low density lipoprotein (lectin-like) receptor 1	4973
58_15_1	2.05e-03	1.63e-05	6.2866278	3.2536	1.4201504	CLC	Charcot-Leyden crystal protein	1178
39_31_3	2.08e-03	1.66e-05	6.2736235	3.23145	1.135134			
28_7_7	2.09e-03	1.69e-05	6.2636756	3.21448	1.0658921	SULF1	sulfatase 1	23213
32_9_3	2.10e-03	1.71e-05	-6.2567658	3.20269	-0.9615636	TXNL1	thioredoxin-like 1	9352
28_13_7	2.10e-03	1.73e-05	-6.2498553	3.19089	-0.8796062	MAP3K12	mitogen-activated protein kinase kinase kinase 12	7786
14_8_3	2.18e-03	1.81e-05	-6.2241981	3.14701	-1.3361019	OCA2	oculocutaneous albinism II (pink-eye dilution homolog, mouse)	4948
27_14_7	2.37e-03	1.99e-05	-6.1702163	3.05438	-0.9384195	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	27109
14_18_4	2.46e-03	2.09e-05	6.1436035	3.00855	2.2461492	STX4	syntaxin 4	6810
36_19_3	2.50e-03	2.14e-05	-6.1293998	2.98405	-0.7355772	TSPAN32	tetraspanin 32	10077
25_30_5	2.54e-03	2.20e-05	-6.1153949	2.95986	-0.9565809	MCF2L	MCF.2 cell line derived transforming sequence-like	23263
8_3_4	2.64e-03	2.32e-05	-6.0841168	2.90574	-1.9606555	STOML1	stomatin (EPB72)-like 1	9399
43_3_7	2.64e-03	2.37e-05	-6.0717154	2.88424	-2.3687314	DEPDC6	DEP domain containing 6	64798
42_7_8	2.64e-03	2.37e-05	-6.0708569	2.88275	-1.1576226	ZNF559	zinc finger protein 559	84527
21_8_6	2.64e-03	2.41e-05	-6.0623621	2.86801	-1.8391694	KIAA1128	KIAA1128	54462
40_8_4	2.64e-03	2.43e-05	-6.0582067	2.8608	-0.8955344	RAB7L1	RAB7, member RAS oncogene family-like 1	8934
34_21_1	2.64e-03	2.43e-05	6.0577416	2.85999	3.3681996	ZFP90///CDH3	zinc finger protein 90 homolog (mouse)///cadherin 3, type 1, P-cadherin (placental)	146198///1001
37_20_4	2.64e-03	2.44e-05	-6.0561504	2.85722	-1.3505161	OSBPL1A	oxysterol binding protein-like 1A	114876
28_26_3	2.64e-03	2.45e-05	6.0529993	2.85175	1.8502098			
37_16_6	2.68e-03	2.51e-05	6.0399265	2.82903	1.596805	SERINC2	serine incorporator 2	347735
44_16_4	2.69e-03	2.54e-05	-6.032753	2.81655	-1.4225688	SLC22A1	solute carrier family 22 (organic cation transporter), member 1	6580
28_24_6	2.73e-03	2.60e-05	-6.0191826	2.79292	-1.1993544	MPP5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	64398
36_12_1	2.83e-03	2.72e-05	5.9941045	2.74918	1.0620587	PRKAR1B	protein kinase, cAMP-dependent, regulatory, type I, beta	5575
49_4_3	2.83e-03	2.75e-05	-5.988504	2.7394	-0.8612512	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	6392
42_23_7	2.97e-03	2.91e-05	5.9570122	2.68431	1.2046177			
4_8_6	3.07e-03	3.07e-05	-5.92614	2.63017	-1.1795528	C19orf53	chromosome 19 open reading frame 53	28974
47_8_6	3.07e-03	3.08e-05	-5.925087	2.62832	-1.2775471	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	6443
35_12_3	3.07e-03	3.09e-05	-5.9220463	2.62298	-0.8120651	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	6391
58_3_4	3.07e-03	3.10e-05	-5.9215387	2.62209	-1.4452086	OSBPL1A	oxysterol binding protein-like 1A	114876
16_5_8	3.12e-03	3.18e-05	-5.9068223	2.59623	-1.182105	C6orf64	chromosome 6 open reading frame 64	55776
39_8_6	3.16e-03	3.25e-05	-5.8940815	2.57381	-1.2697495	GLT8D1	glycosyltransferase 8 domain containing 1	55830
15_22_5	3.16e-03	3.26e-05	5.8923042	2.57068	1.0062299	ST6GALNAC1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	55808
15_13_6	3.29e-03	3.43e-05	-5.8647537	2.52211	-0.7992324	BTBD1///RPL27	BTB (POZ) domain containing 1///ribosomal protein L27	53339///6155
1_31_6	3.48e-03	3.70e-05	5.8227452	2.44784	1.0583622	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	9448
9_7_4	3.48e-03	3.70e-05	5.8214008	2.44546	1.8446533	MDK	midkine (neurite growth-promoting factor 2)	4192
36_8_6	3.48e-03	3.77e-05	-5.8120674	2.42892	-1.111681	EXOC7	exocyst complex component 7	23265
55_28_1	3.48e-03	3.78e-05	5.8106854	2.42647	1.1641169	GPX1	glutathione peroxidase 1	2876
57_23_4	3.48e-03	3.79e-05	-5.8086897	2.42294	-1.0730215			
34_8_3	3.48e-03	3.80e-05	5.8077572	2.42128	1.1733173	DLEU1	deleted in lymphocytic leukemia, 1	10301
15_13_7	3.64e-03	4.00e-05	5.7790544	2.37033	3.0357943			
54_27_4	3.70e-03	4.09e-05	5.7661784	2.34743	1.7721835	IMPG1	interphotoreceptor matrix proteoglycan 1	3617
57_17_1	3.81e-03	4.27e-05	-5.7433133	2.30672	-1.1547266	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	293
24_21_2	3.81e-03	4.28e-05	5.7418627	2.30413	1.6174892	ETV5	ets variant gene 5 (ets-related molecule)	2119
16_4_5	3.84e-03	4.34e-05	5.7335844	2.28937	1.2600473	HSHUR7SEQ///SERPINB13	UV-B repressed sequence, HUR 7///serpin peptidase inhibitor, clade B (ovalbumin), member 13	54735///5275
31_19_7	3.85e-03	4.38e-05	-5.7286365	2.28054	-1.1349122	EPC2///PPP1R3C	enhancer of polycomb homolog 2 (Drosophila)///protein phosphatase 1, regulatory (inhibitor) subunit 3C	26122///5507
50_29_6	3.85e-03	4.46e-05	-5.7187	2.2628	-1.4984556	C6orf98///SYNE1	chromosome 6 open reading frame 98///spectrin repeat containing, nuclear envelope 1	387079///23345
10_27_2	3.85e-03	4.46e-05	-5.7185962	2.26262	-1.5908485	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	2035
43_13_5	3.85e-03	4.48e-05	-5.7166542	2.25915	-3.5139627	MATN2	matrilin 2	4147
60_28_7	3.86e-03	4.57e-05	-5.7050966	2.2385	-2.0849124	BCL2	B-cell CLL/lymphoma 2	596
54_20_1	3.86e-03	4.59e-05	5.7025991	2.23403	4.6088	MCAM///FN1	melanoma cell adhesion molecule///fibronectin 1	4162///2335
7_8_6	3.86e-03	4.63e-05	-5.6980475	2.22589	-1.116415	ATRN	attractin	8455
53_12_3	3.86e-03	4.63e-05	-5.6976165	2.22512	-1.1652475	OLFM1	olfactomedin 1	10439
29_22_6	3.86e-03	4.64e-05	-5.6972309	2.22443	-1.3104726	CYP2U1	cytochrome P450, family 2, subfamily U, polypeptide 1	113612
1_10_1	3.87e-03	4.68e-05	-5.6927216	2.21636	-1.2345496	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	7091
35_10_8	4.23e-03	5.15e-05	5.6400788	2.12195	0.8863202			
60_5_6	4.24e-03	5.19e-05	-5.6349831	2.11279	-1.3209368	LOC643641	hypothetical protein LOC643641	643641
39_29_2	4.38e-03	5.41e-05	-5.6132203	2.07364	-4.6177517			
35_18_5	4.43e-03	5.50e-05	5.6034645	2.05606	1.4230445	MYEF2	myelin expression factor 2	50804
18_20_7	4.43e-03	5.53e-05	5.6002807	2.05032	1.4247529	IGF2BP2	insulin-like growth factor 2 mRNA binding protein 2	10644
48_6_6	4.50e-03	5.66e-05	-5.5883101	2.02873	-1.228182	RCBTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	1102
9_29_4	4.79e-03	6.07e-05	-5.5496386	1.95885	-2.2127065	RORC	RAR-related orphan receptor C	6097
46_23_5	4.79e-03	6.10e-05	-5.5470393	1.95415	-1.1876196	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	293
11_20_2	4.95e-03	6.34e-05	-5.5263828	1.91673	-1.6153225	KIF5C///CACNA1D	kinesin family member 5C///calcium channel, voltage-dependent, L type, alpha 1D subunit	3800///776
56_31_1	5.00e-03	6.48e-05	5.5146013	1.89536	1.3591964	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	221
42_21_3	5.00e-03	6.53e-05	5.5100649	1.88712	1.3718151	C17orf81///CLDN7	chromosome 17 open reading frame 81///claudin 7	23587///1366
58_9_5	5.00e-03	6.53e-05	-5.5100368	1.88707	-2.5114251	SCN3B	sodium channel, voltage-gated, type III, beta	55800
42_25_1	5.04e-03	6.63e-05	-5.5022681	1.87297	-1.0897401	SPTBN1	spectrin, beta, non-erythrocytic 1	6711
42_5_3	5.04e-03	6.75e-05	-5.4920431	1.85439	-3.1348075	EPHB1	EPH receptor B1	2047
22_26_4	5.04e-03	6.80e-05	-5.4882275	1.84745	-3.3354795	CLCNKA	chloride channel Ka	1187
1_13_4	5.04e-03	6.81e-05	5.4873939	1.84594	1.2788625			
14_9_1	5.04e-03	6.82e-05	5.4867857	1.84483	2.0350102	PLAUR	plasminogen activator, urokinase receptor	5329
10_28_2	5.04e-03	6.83e-05	-5.4861103	1.8436	-3.1718793	MATN2	matrilin 2	4147
56_29_2	5.13e-03	6.98e-05	-5.4739934	1.82156	-1.8210411	S100A12	S100 calcium binding protein A12	6283
20_21_5	5.23e-03	7.21e-05	5.4566424	1.78995	0.9913749	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	1622
17_17_2	5.23e-03	7.21e-05	5.4565387	1.78976	1.6872329	MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	10962
36_26_2	5.32e-03	7.37e-05	-5.4446745	1.76813	-0.7652125	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	4780
7_19_5	5.38e-03	7.50e-05	-5.4354614	1.75132	-1.1664821	STARD13	StAR-related lipid transfer (START) domain containing 13	90627
18_8_6	5.47e-03	7.68e-05	-5.4227959	1.72819	-1.4929631	STAT5B	signal transducer and activator of transcription 5B	6777
19_14_6	5.61e-03	7.91e-05	-5.4067038	1.69876	-1.7061732	SLC25A42	solute carrier family 25, member 42	284439
6_22_1	5.69e-03	8.07e-05	-5.395704	1.67863	-3.1008214	SOD3	superoxide dismutase 3, extracellular	6649
17_28_7	5.73e-03	8.29e-05	-5.3813164	1.65228	-1.367325	DUSP2	dual specificity phosphatase 2	1844
3_6_3	5.73e-03	8.41e-05	5.3738078	1.63851	1.8021611	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	7867
34_15_2	5.73e-03	8.41e-05	-5.3733581	1.63769	-1.4524257	GCSH	glycine cleavage system protein H (aminomethyl carrier)	2653
24_22_5	5.73e-03	8.43e-05	-5.3722819	1.63571	-1.664376	DGCR12///DGCR2	DiGeorge syndrome critical region gene 12///DiGeorge syndrome critical region gene 2	25784///9993
21_6_4	5.73e-03	8.44e-05	5.3719724	1.63515	1.9875836	INHBB	inhibin, beta B	3625
29_23_2	5.73e-03	8.44e-05	-5.3719657	1.63513	-0.8879843	RTN3	reticulon 3	10313
58_25_3	5.73e-03	8.44e-05	-5.3715023	1.63428	-0.8266949	SUCLG1	succinate-CoA ligase, GDP-forming, alpha subunit	8802
32_21_7	5.83e-03	8.68e-05	-5.356726	1.60717	-1.2246202	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	4067
37_13_7	5.83e-03	8.69e-05	5.3560653	1.60595	1.1219026	E2F5	E2F transcription factor 5, p130-binding	1875
4_13_5	5.92e-03	8.86e-05	5.3455304	1.5866	2.0623908	HSPBP1	hsp70-interacting protein	23640
20_21_3	5.98e-03	9.01e-05	-5.3369234	1.57078	-0.9165872	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa	4716
19_13_5	5.99e-03	9.08e-05	-5.3323653	1.5624	-3.2741769	PPARGC1A	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	10891
12_5_8	5.99e-03	9.12e-05	5.3302428	1.55849	3.0907125	FN1	fibronectin 1	2335
36_22_4	6.02e-03	9.22e-05	-5.3243272	1.54761	-2.5093144	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126
11_13_1	6.18e-03	9.52e-05	5.3072906	1.51623	1.9355522	IL1A	interleukin 1, alpha	3552
45_20_2	6.18e-03	9.56e-05	-5.3047821	1.51161	-0.7853237	UBE2L3///TAF4	ubiquitin-conjugating enzyme E2L 3///TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	7332///6874
20_14_6	6.23e-03	9.70e-05	-5.2969568	1.49718	-0.8101005			
11_24_1	6.23e-03	9.74e-05	5.2949459	1.49348	2.3908531	MNDA	myeloid cell nuclear differentiation antigen	4332
18_5_8	6.28e-03	9.94e-05	5.2843214	1.47387	2.5733841	C6orf64	chromosome 6 open reading frame 64	55776
52_27_5	6.28e-03	9.99e-05	-5.2816555	1.46895	-0.7453151	POT1	POT1 protection of telomeres 1 homolog (S. pombe)	25913
39_9_8	6.28e-03	1.00e-04	5.2804627	1.46675	1.6474133	GARS	glycyl-tRNA synthetase	2617
25_8_1	6.28e-03	1.00e-04	-5.2801141	1.46611	-1.5085998	ARL4D	ADP-ribosylation factor-like 4D	379
2_31_7	6.29e-03	1.01e-04	5.274831	1.45635	2.1847126	NP	nucleoside phosphorylase	4860
24_20_3	6.29e-03	1.02e-04	-5.2709021	1.44909	-1.3241483	NAP1L2	nucleosome assembly protein 1-like 2	4674
57_13_5	6.29e-03	1.02e-04	5.2696348	1.44675	1.2700581	LEF1	lymphoid enhancer-binding factor 1	51176
45_11_8	6.29e-03	1.02e-04	-5.2685968	1.44483	-1.0677314	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	293
12_2_6	6.29e-03	1.03e-04	5.2659821	1.44	1.1759807	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	25902
24_14_2	6.42e-03	1.05e-04	5.2528911	1.4158	1.6182823	GPR109B	G protein-coupled receptor 109B	8843
36_15_6	6.42e-03	1.06e-04	-5.2482827	1.40727	-0.859238	C11orf10	chromosome 11 open reading frame 10	746
18_14_7	6.42e-03	1.07e-04	-5.2462121	1.40344	-1.0198724	PRMT3	protein arginine methyltransferase 3	10196
16_11_2	6.42e-03	1.07e-04	5.2445557	1.40037	1.5493731	S100A11	S100 calcium binding protein A11	6282
10_22_7	6.43e-03	1.08e-04	5.2412639	1.39428	4.0789633	DPP4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	1803
16_15_7	6.58e-03	1.11e-04	5.2265201	1.36697	0.9818277	BAX	BCL2-associated X protein	581
56_29_7	6.58e-03	1.11e-04	-5.2239455	1.3622	-1.0494176	RNASET2	ribonuclease T2	8635
5_28_2	6.70e-03	1.15e-04	-5.2071778	1.3311	-1.5569862	DNALI1	dynein, axonemal, light intermediate chain 1	7802
46_22_3	6.70e-03	1.15e-04	-5.2071188	1.33099	-1.7435404	NUPR1	nuclear protein 1	26471
