ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
213737_x_at	0.00027665	4.63e-07	-1.31e+01	7.03075	-9.61e-01	GOLGA8N	golgin A8 family member N
219727_at	0.00027665	4.69e-07	-1.31e+01	7.01808	-1.63	DUOX2	dual oxidase 2
201136_at	0.00027665	4.73e-07	1.31e+01	7.00986	9.86e-01	PLP2	proteolipid protein 2
212464_s_at	0.00027665	4.84e-07	1.31e+01	6.98875	1.27	FN1	fibronectin 1
218332_at	0.00029542	5.39e-07	-1.29e+01	6.88872	-1.19	BEX1	brain expressed X-linked 1
210495_x_at	0.00029542	5.51e-07	1.29e+01	6.86854	1.13	FN1	fibronectin 1
214252_s_at	0.00029542	5.57e-07	-1.28e+01	6.8581	-8.55e-01	CLN5	ceroid-lipofuscinosis, neuronal 5
219918_s_at	0.00029577	5.71e-07	1.28e+01	6.83494	1.32	ASPM	abnormal spindle microtubule assembly
202464_s_at	0.00030004	5.97e-07	1.27e+01	6.79211	8.15e-01	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
214308_s_at	0.00030004	6.14e-07	-1.27e+01	6.76706	-9.82e-01	HGD	homogentisate 1,2-dioxygenase
220751_s_at	0.00030004	6.26e-07	-1.27e+01	6.74748	-8.70e-01	FAXDC2	fatty acid hydroxylase domain containing 2
220108_at	0.00030004	6.33e-07	-1.26e+01	6.73793	-7.33e-01	GNA14	G protein subunit alpha 14
219527_at	0.00030555	6.62e-07	-1.26e+01	6.69558	-7.67e-01	MARC2	mitochondrial amidoxime reducing component 2
209901_x_at	0.00030555	6.72e-07	1.26e+01	6.68154	1.56	AIF1	allograft inflammatory factor 1
217232_x_at	0.00030944	6.94e-07	-1.25e+01	6.65053	-1.35	HBB	hemoglobin subunit beta
203561_at	0.00031455	7.31e-07	1.24e+01	6.60189	9.61e-01	FCGR2A	Fc fragment of IgG receptor IIa
201291_s_at	0.00031455	7.34e-07	1.24e+01	6.59801	1.02	TOP2A	topoisomerase (DNA) II alpha
203939_at	0.00031598	7.59e-07	1.24e+01	6.5667	8.42e-01	NT5E	5'-nucleotidase ecto
221636_s_at	0.00031598	7.78e-07	-1.23e+01	6.54267	-8.14e-01	MARC2	mitochondrial amidoxime reducing component 2
212230_at	0.00031598	7.80e-07	-1.23e+01	6.54062	-1.08	PLPP3	phospholipid phosphatase 3
219277_s_at	0.00032291	8.12e-07	-1.23e+01	6.50299	-1.12	OGDHL	oxoglutarate dehydrogenase-like
219181_at	0.00034123	8.73e-07	-1.22e+01	6.43375	-1.43	LIPG	lipase G, endothelial type
210992_x_at	0.00036352	9.48e-07	1.20e+01	6.35536	8.71e-01	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)
221676_s_at	0.00036352	9.94e-07	1.20e+01	6.30977	8.03e-01	CORO1C	coronin 1C
204641_at	0.00036352	1.01e-06	1.20e+01	6.29421	1.04	NEK2	NIMA related kinase 2
204288_s_at	0.00036352	1.02e-06	-1.19e+01	6.28666	-1.48	SORBS2	sorbin and SH3 domain containing 2
204719_at	0.00036352	1.03e-06	-1.19e+01	6.27269	-1.08	ABCA8	ATP binding cassette subfamily A member 8
221729_at	0.00036352	1.05e-06	1.19e+01	6.25992	8.76e-01	COL5A2	collagen type V alpha 2 chain
209368_at	0.00036352	1.05e-06	-1.19e+01	6.2582	-7.64e-01	EPHX2	epoxide hydrolase 2
209458_x_at	0.00036352	1.06e-06	-1.19e+01	6.24468	-1.45	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
211719_x_at	0.00036352	1.08e-06	1.19e+01	6.23358	1.17	FN1	fibronectin 1
214044_at	0.00037325	1.12e-06	-1.18e+01	6.19388	-6.44e-01	RYR2	ryanodine receptor 2
219274_at	0.0003746	1.14e-06	-1.18e+01	6.17622	-8.32e-01	TSPAN12	tetraspanin 12
203474_at	0.00037808	1.17e-06	-1.17e+01	6.15336	-6.80e-01	IQGAP2	IQ motif containing GTPase activating protein 2
214735_at	0.00038558	1.21e-06	-1.17e+01	6.1207	-8.16e-01	IPCEF1	interaction protein for cytohesin exchange factors 1
214414_x_at	0.0004204	1.36e-06	-1.15e+01	6.01087	-1.30	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
206069_s_at	0.0004204	1.36e-06	-1.15e+01	6.01047	-7.61e-01	ACADL	acyl-CoA dehydrogenase, long chain
206043_s_at	0.00042248	1.38e-06	-1.15e+01	5.99241	-6.22e-01	ATP2C2	ATPase secretory pathway Ca2+ transporting 2
211696_x_at	0.00042918	1.43e-06	-1.15e+01	5.96412	-1.19	HBB	hemoglobin subunit beta
204285_s_at	0.00043048	1.45e-06	1.14e+01	5.94826	1.27	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
218546_at	0.00043681	1.49e-06	-1.14e+01	5.92138	-1.13	C1orf115	chromosome 1 open reading frame 115
201563_at	0.00044564	1.55e-06	-1.13e+01	5.88018	-1.14	SORD	sorbitol dehydrogenase
217897_at	0.00044564	1.58e-06	-1.13e+01	5.86763	-7.84e-01	FXYD6	FXYD domain containing ion transport regulator 6
202238_s_at	0.00044564	1.58e-06	1.13e+01	5.86462	1.23	LOC101928916///NNMT	uncharacterized LOC101928916///nicotinamide N-methyltransferase
206513_at	0.00044754	1.63e-06	1.13e+01	5.83537	8.29e-01	AIM2	absent in melanoma 2
204755_x_at	0.00044754	1.64e-06	-1.13e+01	5.83078	-8.71e-01	HLF	HLF, PAR bZIP transcription factor
207828_s_at	0.00044754	1.65e-06	1.13e+01	5.82181	1.32	CENPF	centromere protein F
206529_x_at	0.00044754	1.67e-06	-1.13e+01	5.81268	-1.53	SLC26A4	solute carrier family 26 member 4
208228_s_at	0.00047491	1.79e-06	-1.12e+01	5.74205	-1.11	FGFR2	fibroblast growth factor receptor 2
211745_x_at	0.00047491	1.81e-06	-1.11e+01	5.73203	-1.42	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
209949_at	0.0004882	1.92e-06	1.11e+01	5.67441	7.21e-01	NCF2	neutrophil cytosolic factor 2
204800_s_at	0.0004882	1.93e-06	-1.11e+01	5.67299	-4.94e-01	DHRS12	dehydrogenase/reductase 12
206208_at	0.0004882	1.93e-06	-1.11e+01	5.67151	-1.11	CA4	carbonic anhydrase 4
213224_s_at	0.00050684	2.02e-06	-1.10e+01	5.62406	-6.69e-01	BBIP1	BBSome interacting protein 1
209360_s_at	0.00052785	2.16e-06	1.09e+01	5.55907	1.16	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
222073_at	0.00052785	2.18e-06	-1.09e+01	5.55221	-1.05	COL4A3	collagen type IV alpha 3 chain
214977_at	0.00052785	2.18e-06	-1.09e+01	5.55217	-1.67		
206332_s_at	0.00053857	2.25e-06	1.08e+01	5.522	7.57e-01	IFI16	interferon gamma inducible protein 16
220161_s_at	0.0005661	2.43e-06	-1.07e+01	5.44707	-1.15	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
202404_s_at	0.0005661	2.43e-06	1.07e+01	5.4444	1.20	COL1A2	collagen type I alpha 2 chain
210052_s_at	0.0005661	2.44e-06	1.07e+01	5.44224	1.01	TPX2	TPX2, microtubule nucleation factor
206407_s_at	0.00058316	2.54e-06	1.07e+01	5.40306	1.28	CCL13	C-C motif chemokine ligand 13
202237_at	0.00059907	2.66e-06	1.06e+01	5.35564	1.01	LOC101928916///NNMT	uncharacterized LOC101928916///nicotinamide N-methyltransferase
204018_x_at	0.00059907	2.68e-06	-1.06e+01	5.35166	-1.39	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
201890_at	0.00059907	2.69e-06	1.06e+01	5.34682	1.49	RRM2	ribonucleotide reductase regulatory subunit M2
201761_at	0.00063188	2.87e-06	1.05e+01	5.28284	1.05	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
222149_x_at	0.00063188	2.96e-06	-1.05e+01	5.25123	-7.34e-01	GOLGA8DP///GOLGA8F///GOLGA8CP///GOLGA8EP///GOLGA8G	golgin A8 family member D, pseudogene///golgin A8 family member F///golgin A8 family member C, pseudogene///golgin A8 family member E, pseudogene///golgin A8 family member G
201105_at	0.00063188	3.01e-06	1.05e+01	5.23687	7.92e-01	LGALS1	galectin 1
222077_s_at	0.00063188	3.01e-06	1.05e+01	5.23617	9.74e-01	RACGAP1	Rac GTPase activating protein 1
221833_at	0.00063188	3.02e-06	-1.05e+01	5.23211	-6.78e-01	LOC100507577///LONP2///SIAH1	uncharacterized LOC100507577///lon peptidase 2, peroxisomal///siah E3 ubiquitin protein ligase 1
213283_s_at	0.00063188	3.02e-06	-1.05e+01	5.23153	-5.93e-01	SALL2	spalt like transcription factor 2
209494_s_at	0.00063188	3.04e-06	-1.05e+01	5.22637	-6.02e-01	PATZ1	POZ/BTB and AT hook containing zinc finger 1
201292_at	0.00063188	3.06e-06	1.04e+01	5.21888	1.08	TOP2A	topoisomerase (DNA) II alpha
214323_s_at	0.00065216	3.19e-06	-1.04e+01	5.17873	-5.36e-01	UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)
203645_s_at	0.00067874	3.35e-06	1.03e+01	5.13039	1.05	CD163	CD163 molecule
206517_at	0.00069841	3.51e-06	-1.03e+01	5.08507	-7.68e-01	CDH16	cadherin 16
220858_at	0.00069841	3.51e-06	-1.03e+01	5.08445	-8.37e-01	SORBS2	sorbin and SH3 domain containing 2
202998_s_at	0.00070414	3.58e-06	1.02e+01	5.06512	9.80e-01	LOXL2	lysyl oxidase like 2
214598_at	0.00070414	3.60e-06	-1.02e+01	5.05892	-1.06	CLDN8	claudin 8
203276_at	0.00071425	3.69e-06	1.02e+01	5.03621	8.47e-01	LMNB1	lamin B1
202085_at	0.00072215	3.76e-06	-1.02e+01	5.01678	-5.86e-01	TJP2	tight junction protein 2
207789_s_at	0.00073181	3.84e-06	-1.02e+01	4.99518	-7.68e-01	DPP6	dipeptidyl peptidase like 6
217820_s_at	0.00073273	3.88e-06	1.01e+01	4.98551	6.83e-01	ENAH	enabled homolog (Drosophila)
219440_at	0.00073602	3.93e-06	-1.01e+01	4.97274	-8.16e-01	RAI2	retinoic acid induced 2
214053_at	0.00074549	4.07e-06	-1.01e+01	4.9385	-5.84e-01	ERBB4	erb-b2 receptor tyrosine kinase 4
204044_at	0.00074549	4.08e-06	1.01e+01	4.93686	6.25e-01	QPRT	quinolinate phosphoribosyltransferase
209116_x_at	0.00074549	4.08e-06	-1.01e+01	4.93544	-1.58	HBB	hemoglobin subunit beta
219978_s_at	0.00074954	4.17e-06	1.01e+01	4.91403	1.27	NUSAP1	nucleolar and spindle associated protein 1
218352_at	0.00074954	4.17e-06	-1.01e+01	4.91399	-5.34e-01	RCBTB1	RCC1 and BTB domain containing protein 1
203766_s_at	0.00075346	4.23e-06	-1.00e+01	4.90085	-1.05	LMOD1	leiomodin 1
202401_s_at	0.00076377	4.32e-06	-1.00e+01	4.8795	-5.39e-01	SRF	serum response factor
205221_at	0.00077494	4.42e-06	-9.99	4.85727	-1.27	HGD	homogentisate 1,2-dioxygenase
221868_at	0.00081335	4.67e-06	-9.92	4.80149	-5.26e-01	PAIP2B	poly(A) binding protein interacting protein 2B
221698_s_at	0.00081879	4.74e-06	9.90	4.78713	8.57e-01	CLEC7A	C-type lectin domain family 7 member A
200916_at	0.00082526	4.81e-06	9.88	4.77165	5.41e-01	TAGLN2	transgelin 2
220150_s_at	0.00085618	5.03e-06	-9.83	4.72748	-5.51e-01	FAM184A	family with sequence similarity 184 member A
218865_at	0.00088103	5.22e-06	-9.78	4.69112	-8.76e-01	MARC1	mitochondrial amidoxime reducing component 1
210055_at	0.00088103	5.26e-06	-9.78	4.68394	-1.97	TSHR	thyroid stimulating hormone receptor
213451_x_at	0.00090179	5.42e-06	-9.74	4.65329	-1.15	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
213188_s_at	0.00090363	5.47e-06	-9.73	4.64386	-4.89e-01	MINA	MYC induced nuclear antigen
203965_at	0.00092561	5.65e-06	-9.69	4.61256	-5.13e-01	USP20	ubiquitin specific peptidase 20
209469_at	0.00093794	5.77e-06	-9.67	4.59207	-1.01	GPM6A	glycoprotein M6A
213537_at	0.00094139	5.83e-06	9.65	4.58115	7.57e-01	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
215049_x_at	0.00095521	5.96e-06	9.63	4.55941	1.10	CD163	CD163 molecule
204042_at	0.00095586	6.01e-06	-9.62	4.55158	-7.97e-01	WASF3	WAS protein family member 3
203908_at	0.00095686	6.13e-06	-9.59	4.53035	-1.05	SLC4A4	solute carrier family 4 member 4
203699_s_at	0.00095686	6.15e-06	-9.59	4.52839	-1.50	DIO2	deiodinase, iodothyronine, type II
213626_at	0.00095686	6.18e-06	-9.58	4.52249	-5.27e-01	CBR4	carbonyl reductase 4
203362_s_at	0.00095686	6.18e-06	9.58	4.52242	1.02	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
203501_at	0.00097168	6.32e-06	-9.56	4.50015	-8.08e-01	CPQ	carboxypeptidase Q
213730_x_at	0.00099657	6.54e-06	9.52	4.46617	5.37e-01	TCF3	transcription factor 3
202800_at	0.00099657	6.57e-06	9.51	4.46119	6.71e-01	SLC1A3	solute carrier family 1 member 3
204084_s_at	0.00099995	6.64e-06	-9.50	4.45102	-5.56e-01	CLN5	ceroid-lipofuscinosis, neuronal 5
214752_x_at	0.00100699	6.77e-06	9.47	4.43186	5.47e-01	FLNA	filamin A
206498_at	0.00100699	6.78e-06	-9.47	4.43059	-8.49e-01	OCA2	OCA2 melanosomal transmembrane protein
210753_s_at	0.00100819	6.83e-06	-9.46	4.42275	-4.43e-01	EPHB1	EPH receptor B1
211161_s_at	0.00102612	7.04e-06	9.43	4.39303	8.22e-01	COL3A1	collagen type III alpha 1 chain
204619_s_at	0.00102612	7.05e-06	9.43	4.39194	1.07	VCAN	versican
221755_at	0.00102867	7.11e-06	9.42	4.38293	7.26e-01	EHBP1L1	EH domain binding protein 1 like 1
209841_s_at	0.00104623	7.28e-06	-9.39	4.35951	-9.01e-01	LRRN3	leucine rich repeat neuronal 3
208740_at	0.0010538	7.42e-06	-9.37	4.33958	-6.26e-01	SAP18	Sin3A associated protein 18
213129_s_at	0.0010538	7.42e-06	-9.37	4.33944	-6.94e-01	LOC101060817///GCSH	glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H
208966_x_at	0.00107008	7.59e-06	9.34	4.31758	7.71e-01	IFI16	interferon gamma inducible protein 16
63305_at	0.00107008	7.65e-06	-9.33	4.30918	-5.78e-01	PKNOX2	PBX/knotted 1 homeobox 2
218084_x_at	0.00107008	7.69e-06	9.33	4.3037	6.31e-01	FXYD5	FXYD domain containing ion transport regulator 5
202589_at	0.00107008	7.73e-06	9.32	4.29885	1.07	TYMS	thymidylate synthetase
209840_s_at	0.00107127	7.79e-06	-9.31	4.29153	-9.47e-01	LRRN3	leucine rich repeat neuronal 3
200661_at	0.00107157	7.84e-06	9.30	4.28507	6.56e-01	CTSA	cathepsin A
210471_s_at	0.00107547	7.92e-06	-9.29	4.2753	-7.05e-01	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
219202_at	0.00107838	8.05e-06	9.27	4.25822	5.98e-01	RHBDF2	rhomboid 5 homolog 2
212224_at	0.00107838	8.05e-06	-9.27	4.25818	-1.38	ALDH1A1	aldehyde dehydrogenase 1 family member A1
209815_at	0.00107838	8.08e-06	-9.27	4.2544	-6.88e-01	PTCH1	patched 1
203054_s_at	0.00109235	8.24e-06	-9.25	4.23549	-5.43e-01	TCTA	T-cell leukemia translocation altered
211395_x_at	0.00109883	8.33e-06	9.23	4.22359	7.32e-01	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)
206249_at	0.0011139	8.50e-06	-9.21	4.20398	-5.28e-01	MAP3K13	mitogen-activated protein kinase kinase kinase 13
213133_s_at	0.00113517	8.71e-06	-9.18	4.17909	-6.52e-01	LOC101060817///GCSH	glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H
202145_at	0.00114434	8.83e-06	9.17	4.16514	1.15	LY6E	lymphocyte antigen 6 complex, locus E
206167_s_at	0.00115992	9.01e-06	-9.14	4.14572	-7.16e-01	ARHGAP6	Rho GTPase activating protein 6
215442_s_at	0.00117247	9.16e-06	-9.12	4.12829	-1.50	TSHR	thyroid stimulating hormone receptor
219643_at	0.00117247	9.21e-06	-9.12	4.12333	-5.87e-01	LRP1B	LDL receptor related protein 1B
219597_s_at	0.00117559	9.29e-06	-9.11	4.11493	-1.41	DUOX1	dual oxidase 1
215184_at	0.00118209	9.39e-06	-9.10	4.10322	-1.12	DAPK2	death associated protein kinase 2
218306_s_at	0.00118209	9.44e-06	-9.09	4.09801	-3.95e-01	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
208454_s_at	0.0012303	9.96e-06	-9.03	4.04469	-7.76e-01	CPQ	carboxypeptidase Q
211699_x_at	0.0012303	1.00e-05	-9.02	4.03792	-1.40	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
219317_at	0.0012303	1.01e-05	-9.02	4.03479	-7.07e-01	POLI	DNA polymerase iota
221520_s_at	0.0012303	1.01e-05	9.02	4.03351	1.21	CDCA8	cell division cycle associated 8
202236_s_at	0.0012303	1.01e-05	9.01	4.02986	9.18e-01	SLC16A1	solute carrier family 16 member 1
214435_x_at	0.00124816	1.05e-05	8.97	3.99538	4.88e-01	RALA	RALA Ras like proto-oncogene A
204754_at	0.00124816	1.06e-05	-8.96	3.98325	-6.70e-01	HLF	HLF, PAR bZIP transcription factor
209803_s_at	0.00124816	1.06e-05	8.96	3.9814	7.11e-01	PHLDA2	pleckstrin homology like domain family A member 2
219877_at	0.00124816	1.06e-05	-8.96	3.97906	-8.49e-01	ZMAT4	zinc finger matrin-type 4
204438_at	0.00124816	1.06e-05	8.96	3.97903	9.37e-01	MRC1	mannose receptor, C type 1
208873_s_at	0.00124816	1.07e-05	-8.95	3.9765	-6.19e-01	REEP5	receptor accessory protein 5
201506_at	0.00124816	1.07e-05	8.95	3.97549	1.05	TGFBI	transforming growth factor beta induced
212310_at	0.00124816	1.08e-05	-8.94	3.96724	-4.05e-01	MIA3	MIA family member 3, ER export factor
51158_at	0.00124816	1.08e-05	-8.94	3.96613	-7.66e-01	FAM174B	family with sequence similarity 174 member B
215051_x_at	0.00124816	1.09e-05	8.93	3.95744	1.55	AIF1	allograft inflammatory factor 1
218856_at	0.00124816	1.09e-05	8.93	3.95493	1.15	TNFRSF21	TNF receptor superfamily member 21
206209_s_at	0.00124816	1.09e-05	-8.93	3.9513	-9.15e-01	CA4	carbonic anhydrase 4
218711_s_at	0.00124988	1.10e-05	-8.92	3.9425	-7.10e-01	SDPR	serum deprivation response
209242_at	0.00124988	1.10e-05	-8.91	3.93961	-7.23e-01	PEG3	paternally expressed 3
205479_s_at	0.00126173	1.12e-05	8.89	3.92216	1.19	PLAU	plasminogen activator, urokinase
221731_x_at	0.00126173	1.13e-05	8.89	3.91549	1.12	VCAN	versican
201641_at	0.00126173	1.13e-05	8.89	3.91483	1.08	BST2	bone marrow stromal cell antigen 2
202887_s_at	0.0012621	1.15e-05	8.87	3.90339	1.10	DDIT4	DNA damage inducible transcript 4
214349_at	0.0012621	1.15e-05	-8.87	3.89824	-1.05		
204061_at	0.0012621	1.15e-05	-8.87	3.89731	-6.26e-01	PRKX	protein kinase, X-linked
221730_at	0.0012621	1.16e-05	8.86	3.89455	9.33e-01	COL5A2	collagen type V alpha 2 chain
220518_at	0.00126909	1.17e-05	-8.85	3.88157	-4.38e-01	ABI3BP	ABI family member 3 binding protein
203365_s_at	0.00126909	1.18e-05	-8.84	3.87198	-1.18	MMP15	matrix metallopeptidase 15
204753_s_at	0.00126909	1.18e-05	-8.84	3.86983	-7.96e-01	HLF	HLF, PAR bZIP transcription factor
212226_s_at	0.00126909	1.18e-05	-8.84	3.86935	-1.10	PLPP3	phospholipid phosphatase 3
204924_at	0.00127191	1.19e-05	8.83	3.86226	1.09	TLR2	toll like receptor 2
205204_at	0.00127545	1.20e-05	-8.82	3.85224	-5.37e-01	NMB	neuromedin B
200859_x_at	0.00127545	1.22e-05	8.81	3.84377	5.77e-01	FLNA	filamin A
200821_at	0.00127545	1.22e-05	8.80	3.83738	4.66e-01	LAMP2	lysosomal associated membrane protein 2
209292_at	0.00127545	1.22e-05	-8.80	3.83674	-1.54	ID4	inhibitor of DNA binding 4, HLH protein
203760_s_at	0.00127545	1.22e-05	8.80	3.83557	7.66e-01	SLA	Src-like-adaptor
214180_at	0.00127893	1.23e-05	-8.79	3.8281	-5.08e-01	MAN1C1	mannosidase alpha class 1C member 1
207047_s_at	0.00128142	1.24e-05	-8.78	3.82144	-6.94e-01	CLCNKB///CLCNKA	chloride voltage-gated channel Kb///chloride voltage-gated channel Ka
213566_at	0.00128536	1.25e-05	8.77	3.81367	1.26	RNASE6	ribonuclease A family member k6
209773_s_at	0.00129754	1.28e-05	8.75	3.79058	1.01	RRM2	ribonucleotide reductase regulatory subunit M2
203700_s_at	0.00129754	1.28e-05	-8.75	3.78781	-1.27	DIO2	deiodinase, iodothyronine, type II
219368_at	0.00129754	1.29e-05	-8.74	3.78629	-7.56e-01	NAP1L2	nucleosome assembly protein 1 like 2
212148_at	0.00129754	1.29e-05	-8.74	3.78565	-8.63e-01	PBX1	PBX homeobox 1
210038_at	0.00130569	1.30e-05	-8.73	3.7741	-8.44e-01	PRKCQ	protein kinase C theta
202067_s_at	0.00130569	1.31e-05	8.73	3.77021	7.34e-01	LDLR	low density lipoprotein receptor
214857_at	0.00131874	1.33e-05	-8.71	3.75562	-5.14e-01	RPARP-AS1	RPARP antisense RNA 1
213416_at	0.00133216	1.35e-05	8.70	3.74086	6.82e-01	ITGA4	integrin subunit alpha 4
217625_x_at	0.00133585	1.35e-05	-8.69	3.73357	-5.53e-01	LINC00963	long intergenic non-protein coding RNA 963
209355_s_at	0.00134123	1.37e-05	-8.68	3.72503	-1.33	PLPP3	phospholipid phosphatase 3
121_at	0.00134292	1.37e-05	-8.67	3.7193	-8.25e-01	PAX8	paired box 8
201663_s_at	0.00135904	1.40e-05	8.65	3.70278	7.21e-01	SMC4	structural maintenance of chromosomes 4
