ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7976037	8.48e-08	6.13e-11	-32.0081881	15.51602	-5.2683601	TSHR///TSHR	thyroid stimulating hormone receptor///thyroid stimulating hormone receptor
7903959	8.48e-08	6.22e-11	-31.9588035	15.50405	-4.117457	PIFO	primary cilia formation
8081959	8.48e-08	6.37e-11	-31.8762458	15.48396	-4.4092066	STXBP5L	syntaxin binding protein 5 like
7983405	9.64e-08	7.53e-11	-31.3107064	15.34431	-5.5024719	DUOXA2	dual oxidase maturation factor 2
8068651	9.71e-08	7.93e-11	-31.1408356	15.30163	-5.0061126	PCP4	Purkinje cell protein 4
7979524	9.71e-08	8.17e-11	-31.0388427	15.27585	-3.8881739	TMEM30B	transmembrane protein 30B
7988380	9.73e-08	8.48e-11	-30.91608	15.24465	-3.5884092	DUOXA1	dual oxidase maturation factor 1
8147697	9.95e-08	8.98e-11	-30.7288643	15.19673	-3.5256199	GRHL2	grainyhead like transcription factor 2
8044143	1.02e-07	9.53e-11	-30.5330672	15.14615	-5.0581131	C2orf40	chromosome 2 open reading frame 40
7932453	1.19e-07	1.14e-10	-29.9418256	14.99056	-5.2109483	NEBL	nebulette
8092800	1.19e-07	1.18e-10	-29.8441455	14.96443	-4.1885229	ATP13A4	ATPase 13A4
8149685	1.24e-07	1.27e-10	-29.6112899	14.90165	-3.6366382	LGI3	leucine rich repeat LGI family member 3
8117547	1.48e-07	1.55e-10	-28.9764386	14.72688	-3.7523553	PRSS16	protease, serine 16
7945321	2.06e-07	2.28e-10	-27.8117833	14.39191	-3.9134256	GLB1L2	galactosidase beta 1 like 2
7965686	2.06e-07	2.30e-10	-27.7883939	14.38499	-4.0194301	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B
8142646	2.07e-07	2.36e-10	-27.7029022	14.35961	-3.4642236	IQUB	IQ motif and ubiquitin domain containing
8098439	2.09e-07	2.45e-10	-27.5957418	14.32764	-5.8087376	EPCAM	epithelial cell adhesion molecule
8037374	2.13e-07	2.57e-10	27.4592475	14.28668	3.3236884	PLAUR	plasminogen activator, urokinase receptor
8101031	2.25e-07	2.90e-10	-27.1039777	14.17875	-3.4395435	CDKL2	cyclin dependent kinase like 2
7942332	2.25e-07	2.94e-10	-27.0653366	14.16689	-4.2015865	FOLR1	folate receptor 1
7936734	2.25e-07	2.94e-10	-27.0576506	14.16453	-4.2484468	FGFR2	fibroblast growth factor receptor 2
7934789	2.25e-07	2.98e-10	-27.0261287	14.15484	-3.0508081	GRID1	glutamate ionotropic receptor delta type subunit 1
8067185	2.50e-07	3.38e-10	-26.6556961	14.03979	-4.0630378	BMP7	bone morphogenetic protein 7
8133360	2.60e-07	3.59e-10	-26.4853813	13.98617	-4.5279515	CLDN4	claudin 4
8157300	2.71e-07	3.83e-10	-26.3064611	13.92934	-3.7556033	BSPRY	B-box and SPRY domain containing
8069795	2.91e-07	4.20e-10	-26.0464443	13.84582	-4.3532578	CLDN8	claudin 8
8150419	2.98e-07	4.39e-10	-25.9187618	13.8044	-4.1027699	ZMAT4	zinc finger matrin-type 4
8001547	2.99e-07	4.50e-10	-25.8502091	13.78205	-3.3011355	PLLP	plasmolipin
8105899	2.99e-07	4.72e-10	-25.7214448	13.73986	-4.1022883	MARVELD2	MARVEL domain containing 2
8177498	2.99e-07	4.72e-10	-25.7214448	13.73986	-4.1022883	MARVELD2	MARVEL domain containing 2
7901229	2.99e-07	4.84e-10	-25.6517667	13.71691	-2.7093901	FAAH	fatty acid amide hydrolase
8037103	2.99e-07	4.86e-10	-25.6378328	13.71231	-3.2462994	GRIK5	glutamate ionotropic receptor kainate type subunit 5
7961580	3.19e-07	5.28e-10	-25.4137975	13.63792	-5.7748338	LMO3	LIM domain only 3
8147891	3.21e-07	5.41e-10	-25.344792	13.61483	-5.9967946	PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
8019541	4.31e-07	7.51e-10	-24.4666107	13.31361	-4.2053421	ZNF750	zinc finger protein 750
8157193	4.31e-07	7.54e-10	-24.4577078	13.31048	-4.507456	ZNF483	zinc finger protein 483
8021199	4.31e-07	7.65e-10	-24.4189866	13.29687	-3.0381929	MAPK4	mitogen-activated protein kinase 4
7996185	4.84e-07	8.74e-10	-24.0713464	13.17343	-2.8824791	MMP15	matrix metallopeptidase 15
8155734	4.87e-07	8.93e-10	-24.0161785	13.15363	-4.1490382	FAM189A2	family with sequence similarity 189 member A2
8039144	5.76e-07	1.07e-09	-23.5435193	12.98157	-3.073608	TMC4	transmembrane channel like 4
7901765	5.76e-07	1.11e-09	-23.4695725	12.95425	-3.3292122	HOOK1	hook microtubule tethering protein 1
8034084	5.76e-07	1.11e-09	-23.4638045	12.95211	-3.3588853	AP1M2	adaptor related protein complex 1 mu 2 subunit
8070567	5.80e-07	1.16e-09	-23.3395461	12.90595	-3.8803523	TFF3	trefoil factor 3
8137485	5.80e-07	1.17e-09	-23.3298802	12.90235	-4.0355385	DPP6	dipeptidyl peptidase like 6
8117120	5.80e-07	1.17e-09	-23.3294898	12.9022	-4.9205972	ID4	inhibitor of DNA binding 4, HLH protein
7985159	6.14e-07	1.27e-09	-23.1260971	12.82593	-5.2119299	CRABP1	cellular retinoic acid binding protein 1
7915500	6.14e-07	1.27e-09	-23.1127365	12.82089	-3.3681915	C1orf210	chromosome 1 open reading frame 210
7968678	6.15e-07	1.31e-09	-23.0383299	12.79275	-4.8172649	FREM2	FRAS1 related extracellular matrix protein 2
7921868	6.15e-07	1.31e-09	23.0381146	12.79267	3.8527374	FCGR3A	Fc fragment of IgG receptor IIIa
8163548	7.14e-07	1.55e-09	-22.63443	12.63801	-2.5764293	KIF12	kinesin family member 12
7983393	7.25e-07	1.59e-09	-22.5651866	12.61114	-3.5973255	SORD	sorbitol dehydrogenase
7937709	7.35e-07	1.64e-09	-22.4989246	12.58533	-3.42247	KRTAP5-6	keratin associated protein 5-6
8152506	7.62e-07	1.72e-09	-22.3789923	12.53836	-3.8622616	SAMD12	sterile alpha motif domain containing 12
8144705	7.69e-07	1.76e-09	-22.3265071	12.51771	-4.3864086	KIAA1456	KIAA1456
8106827	8.03e-07	1.86e-09	-22.1843943	12.46149	-3.0971957	ADGRV1	adhesion G protein-coupled receptor V1
8058591	8.03e-07	1.88e-09	-22.1575192	12.45081	-4.3226006	ACADL	acyl-CoA dehydrogenase, long chain
7952426	8.07e-07	1.93e-09	-22.1038412	12.42943	-3.161099	VSIG2	V-set and immunoglobulin domain containing 2
8097920	8.07e-07	1.94e-09	-22.0862581	12.42241	-3.5381322	LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
8009493	8.15e-07	1.99e-09	-22.0331219	12.40116	-5.8034476	KCNJ16	potassium voltage-gated channel subfamily J member 16
8158771	8.17e-07	2.01e-09	-21.9993244	12.38761	-4.6482392	AIF1L	allograft inflammatory factor 1 like
7960874	8.96e-07	2.24e-09	21.7506996	12.28715	3.3756313	C3AR1	complement component 3a receptor 1
7902235	9.08e-07	2.29e-09	-21.6925681	12.26346	-3.7772263	LRRC7	leucine rich repeat containing 7
8113483	9.22e-07	2.36e-09	-21.6281427	12.23711	-2.9629134	TMEM232	transmembrane protein 232
7934334	9.23e-07	2.39e-09	-21.5937861	12.22302	-2.7414637	CFAP70	cilia and flagella associated protein 70
8099476	9.23e-07	2.41e-09	-21.573073	12.21451	-3.0193162	PROM1	prominin 1
7994074	9.55e-07	2.53e-09	-21.4666579	12.17064	-2.6471596	SCNN1B	sodium channel epithelial 1 beta subunit
7946340	9.71e-07	2.60e-09	-21.4026338	12.14412	-3.567403	RIC3	RIC3 acetylcholine receptor chaperone
7898623	9.71e-07	2.64e-09	-21.3624788	12.12743	-2.9230806	UBXN10	UBX domain protein 10
8161270	9.71e-07	2.66e-09	-21.3504663	12.12244	-3.4691267	ANKRD18A	ankyrin repeat domain 18A
8095819	9.80e-07	2.71e-09	-21.3039164	12.10303	-2.6693999	FAM47E-STBD1///FAM47E	FAM47E-STBD1 readthrough///family with sequence similarity 47 member E
7910792	9.95e-07	2.78e-09	-21.2450847	12.07844	-3.7038888	RYR2	ryanodine receptor 2
7997593	1.12e-06	3.16e-09	-20.9555506	11.95619	-2.7852547	ATP2C2	ATPase secretory pathway Ca2+ transporting 2
8080511	1.15e-06	3.29e-09	-20.8599244	11.91537	-3.1254286	CACNA1D	calcium voltage-gated channel subunit alpha1 D
7965231	1.28e-06	3.71e-09	-20.5945276	11.80088	-5.1845705	MGAT4C	MGAT4 family member C
7985873	1.30e-06	3.81e-09	20.5369348	11.7758	3.1214335	TICRR	TOPBP1 interacting checkpoint and replication regulator
7958398	1.32e-06	3.93e-09	-20.4676358	11.74551	-3.0413211	WSCD2	WSC domain containing 2
7936201	1.32e-06	3.93e-09	-20.4648077	11.74428	-2.8792113	CFAP43	cilia and flagella associated protein 43
7899101	1.57e-06	4.72e-09	-20.0634481	11.5664	-2.8679725	CNKSR1	connector enhancer of kinase suppressor of Ras 1
7982757	1.66e-06	5.05e-09	19.9168401	11.50037	3.7006599	KNL1	kinetochore scaffold 1
8123929	1.68e-06	5.15e-09	-19.8734436	11.48071	-2.6901136	ERVFRD-1	endogenous retrovirus group FRD member 1
7901565	1.72e-06	5.38e-09	-19.7822717	11.43925	-5.9865895	DIO1	deiodinase, iodothyronine type I
8028266	1.72e-06	5.39e-09	-19.7756135	11.43622	-2.3636152	ZNF540	zinc finger protein 540
7950764	1.77e-06	5.60e-09	-19.695869	11.39976	-4.3839474	DLG2	discs large MAGUK scaffold protein 2
8126820	1.80e-06	5.72e-09	-19.6485359	11.37803	-4.4926669	ADGRF1	adhesion G protein-coupled receptor F1
7982889	1.83e-06	5.90e-09	19.5833421	11.34801	3.6367196	NUSAP1	nucleolar and spindle associated protein 1
8136095	1.84e-06	5.97e-09	-19.5580278	11.33632	-2.4174034	AHCYL2	adenosylhomocysteinase like 2
7924309	1.89e-06	6.19e-09	-19.4833257	11.30172	-3.8829573	ESRRG	estrogen related receptor gamma
8002218	1.97e-06	6.50e-09	-19.378506	11.25292	-2.6881365	ESRP2	epithelial splicing regulatory protein 2
8043071	2.11e-06	7.03e-09	-19.2151188	11.17622	-2.5856534	DNAH6	dynein axonemal heavy chain 6
8008588	2.13e-06	7.16e-09	-19.1778278	11.15861	-3.6737381	HLF	HLF, PAR bZIP transcription factor
7932721	2.25e-06	7.64e-09	-19.0434726	11.09483	-2.0934595	LRRC37A6P	leucine rich repeat containing 37 member A6, pseudogene
7970676	2.25e-06	7.71e-09	-19.0245942	11.08582	-3.3600504	SHISA2	shisa family member 2
8098549	2.28e-06	7.89e-09	-18.9753142	11.06227	-2.7523429	STOX2	storkhead box 2
7993453	2.35e-06	8.26e-09	-18.8833374	11.01812	-3.2084629	MPV17L	MPV17 mitochondrial inner membrane protein like
8058462	2.35e-06	8.29e-09	-18.8759888	11.01458	-3.1962296	MDH1B	malate dehydrogenase 1B
8027354	2.37e-06	8.43e-09	-18.8396259	10.99705	-2.9675494	RPSAP58	ribosomal protein SA pseudogene 58
7901272	2.37e-06	8.47e-09	-18.8314783	10.99312	-2.9262451	CYP4X1	cytochrome P450 family 4 subfamily X member 1
7942453	2.41e-06	8.70e-09	-18.775904	10.96624	-3.4574013	PLEKHB1	pleckstrin homology domain containing B1
7979307	2.49e-06	9.04e-09	18.6973114	10.92807	4.5452211	DLGAP5	DLG associated protein 5
7943319	2.49e-06	9.15e-09	-18.6744825	10.91695	-2.8259594	CNTN5	contactin 5
7896718	2.53e-06	9.35e-09	18.6296705	10.89507	3.2686181		
8086600	2.56e-06	9.54e-09	18.5882972	10.87481	3.6532179	CCR1	C-C motif chemokine receptor 1
8040223	2.57e-06	9.71e-09	18.5528742	10.85743	4.8865397	RRM2	ribonucleotide reductase regulatory subunit M2
7975772	2.57e-06	9.75e-09	-18.5441138	10.85313	-2.3089313	ZC2HC1C	zinc finger C2HC-type containing 1C
7951040	2.71e-06	1.04e-08	-18.4220138	10.79289	-3.2838921	GPR83	G protein-coupled receptor 83
8149629	2.91e-06	1.12e-08	-18.2629583	10.71374	-3.5839858	GFRA2	GDNF family receptor alpha 2
8149725	2.91e-06	1.14e-08	-18.2328967	10.69869	-4.0581459	PEBP4	phosphatidylethanolamine binding protein 4
7985522	2.91e-06	1.15e-08	-18.2228356	10.69365	-2.218594	ADAMTSL3	ADAMTS like 3
7896700	2.91e-06	1.15e-08	18.2124755	10.68845	3.2209601		
7944955	2.91e-06	1.16e-08	-18.2040049	10.6842	-3.1388874	PKNOX2	PBX/knotted 1 homeobox 2
8088866	3.07e-06	1.23e-08	-18.0813138	10.62237	-2.6176928	CNTN3	contactin 3
7931977	3.07e-06	1.24e-08	-18.0733391	10.61834	-3.0050264	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
8054166	3.11e-06	1.26e-08	-18.0317825	10.59728	-3.6013496	TSGA10///TSGA10	testis specific 10///testis specific 10
8082035	3.23e-06	1.32e-08	17.9404042	10.55078	3.19664	CD86	CD86 molecule
7981283	3.30e-06	1.36e-08	-17.8826331	10.52124	-3.1011883	SLC25A29	solute carrier family 25 member 29
7960158	3.30e-06	1.37e-08	-17.8706662	10.51511	-2.3835936	ZNF10	zinc finger protein 10
8016387	3.42e-06	1.43e-08	-17.7881987	10.47273	-3.9153434	PRR15L	proline rich 15 like
8007454	3.59e-06	1.51e-08	-17.6825199	10.41809	-2.3281465	RND2	Rho family GTPase 2
8025382	3.82e-06	1.62e-08	-17.5464259	10.34719	-3.1186506	CERS4	ceramide synthase 4
8141066	3.84e-06	1.64e-08	-17.5264059	10.33671	-3.0996302	PON3	paraoxonase 3
8018220	4.01e-06	1.72e-08	-17.430178	10.28614	-3.1139257	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C
8063043	4.01e-06	1.74e-08	17.4147374	10.27799	2.9426773	UBE2C	ubiquitin conjugating enzyme E2 C
8134018	4.16e-06	1.81e-08	-17.3341674	10.23537	-4.4117143	ZNF804B	zinc finger protein 804B
8148385	4.30e-06	1.89e-08	-17.2572506	10.19447	-5.9792064	TG	thyroglobulin
7965094	4.35e-06	1.93e-08	17.2204818	10.17485	3.4020485	E2F7	E2F transcription factor 7
7924058	4.46e-06	1.99e-08	-17.1602621	10.14261	-3.7251023	IRF6	interferon regulatory factor 6
7982070	4.46e-06	2.00e-08	-17.1457996	10.13485	-5.1278557	SNORD115-32	small nucleolar RNA, C/D box 115-32
8024900	4.46e-06	2.01e-08	17.1353329	10.12922	3.5239153	UHRF1	ubiquitin like with PHD and ring finger domains 1
8174201	4.46e-06	2.03e-08	-17.1255072	10.12394	-2.7082737	BEX1	brain expressed X-linked 1
7937020	4.50e-06	2.06e-08	17.0961033	10.10812	4.4505198	MKI67	marker of proliferation Ki-67
8095907	4.64e-06	2.14e-08	-17.0258767	10.07021	-4.0177375	FRAS1	Fraser extracellular matrix complex subunit 1
8033445	4.64e-06	2.15e-08	17.0135005	10.06351	2.6077118	CD209///CLEC4M	CD209 molecule///C-type lectin domain family 4 member M
7981460	4.71e-06	2.19e-08	-16.9769529	10.04369	-2.9127754	PPP1R13B	protein phosphatase 1 regulatory subunit 13B
8028311	4.86e-06	2.28e-08	-16.9056264	10.00488	-3.272924	SPINT2	serine peptidase inhibitor, Kunitz type 2
7905283	5.15e-06	2.43e-08	-16.7880827	9.94053	-2.3484957	ANXA9	annexin A9
7990345	5.15e-06	2.45e-08	16.7753564	9.93354	4.0847228	SEMA7A	semaphorin 7A (John Milton Hagen blood group)
8026806	5.16e-06	2.47e-08	16.7606591	9.92545	2.1671844	COLGALT1	collagen beta(1-O)galactosyltransferase 1
8027793	5.43e-06	2.62e-08	-16.6493455	9.86394	-2.1993766	LSR	lipolysis stimulated lipoprotein receptor
8168058	5.43e-06	2.64e-08	-16.6336445	9.85523	-2.4033003	FAM155B	family with sequence similarity 155 member B
7999674	5.43e-06	2.65e-08	-16.6314356	9.854	-4.1663365	MYH11	myosin heavy chain 11
8027241	5.92e-06	2.90e-08	-16.4639354	9.76048	-1.9129693	ZNF253	zinc finger protein 253
8042079	5.94e-06	2.93e-08	-16.4492043	9.7522	-1.743125	CCDC85A	coiled-coil domain containing 85A
8143949	5.96e-06	2.96e-08	-16.4317102	9.74237	-2.352461	CRYGN	crystallin gamma N
8156743	6.17e-06	3.08e-08	-16.3555523	9.69941	-4.6711213	FOXE1	forkhead box E1
8166925	6.17e-06	3.11e-08	-16.3389378	9.69001	-4.5302158	MAOA	monoamine oxidase A
7982052	6.17e-06	3.12e-08	-16.3367404	9.68876	-4.6300247	SNORD115-23///PWAR4	small nucleolar RNA, C/D box 115-23///Prader Willi/Angelman region RNA 4
8055496	6.28e-06	3.19e-08	-16.2955509	9.66541	-3.6512098	LRP1B	LDL receptor related protein 1B
8125149	6.28e-06	3.25e-08	-16.262377	9.64655	-1.772574	SLC44A4	solute carrier family 44 member 4
8178653	6.28e-06	3.25e-08	-16.262377	9.64655	-1.772574	SLC44A4	solute carrier family 44 member 4
8179861	6.28e-06	3.25e-08	-16.262377	9.64655	-1.772574	SLC44A4	solute carrier family 44 member 4
8045882	6.29e-06	3.27e-08	-16.2505266	9.63981	-2.8285103	DAPL1	death associated protein like 1
7988876	6.48e-06	3.39e-08	-16.1864457	9.60323	-3.2937626	MYO5C	myosin VC
8063187	6.51e-06	3.43e-08	-16.1679523	9.59265	-2.8877642	EYA2	EYA transcriptional coactivator and phosphatase 2
8043059	6.74e-06	3.58e-08	-16.088676	9.54713	-2.4061152	DNAH6	dynein axonemal heavy chain 6
8166690	6.74e-06	3.59e-08	-16.0876209	9.54652	-2.5780244	CFAP47	cilia and flagella associated protein 47
7975238	6.76e-06	3.62e-08	-16.0728561	9.53802	-4.4002952	PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1
8169235	6.83e-06	3.68e-08	-16.0448274	9.52185	-2.8985617	FRMPD3	FERM and PDZ domain containing 3
7915926	6.97e-06	3.78e-08	15.9976521	9.49457	2.4922956	STIL	SCL/TAL1 interrupting locus
8079931	7.04e-06	3.83e-08	-15.9707791	9.47899	-2.1910813	SLC38A3	solute carrier family 38 member 3
8134051	7.28e-06	3.99e-08	-15.902807	9.43945	-2.3856277	CFAP69	cilia and flagella associated protein 69
8061579	7.81e-06	4.31e-08	15.7669298	9.35987	4.4100997	TPX2	TPX2, microtubule nucleation factor
8067869	7.81e-06	4.32e-08	-15.7612349	9.35652	-2.6777779	RBM11	RNA binding motif protein 11
7901256	7.84e-06	4.36e-08	-15.7460979	9.3476	-1.8356216	CYP4B1	cytochrome P450 family 4 subfamily B member 1
8151101	8.12e-06	4.54e-08	15.6768904	9.30673	2.8437038	MYBL1	MYB proto-oncogene like 1
8165934	8.22e-06	4.62e-08	-15.6467068	9.28884	-2.6505259	SHROOM2	shroom family member 2
7949570	8.59e-06	4.89e-08	-15.5493519	9.23089	-1.8663846	GAL3ST3	galactose-3-O-sulfotransferase 3
7968650	8.59e-06	4.91e-08	-15.5446016	9.22805	-4.2090762	SERTM1	serine rich and transmembrane domain containing 1
8035789	8.59e-06	4.92e-08	-15.5394055	9.22495	-3.5265257	ZNF826P	zinc finger protein 826, pseudogene
8082974	8.59e-06	4.94e-08	-15.5338068	9.2216	-2.3396632	ESYT3	extended synaptotagmin 3
8088142	9.05e-06	5.25e-08	-15.4293959	9.15895	-3.0093478	CHDH	choline dehydrogenase
8059955	9.05e-06	5.25e-08	-15.4280918	9.15817	-2.1978734	RAB17	RAB17, member RAS oncogene family
7905929	9.84e-06	5.76e-08	-15.2734301	9.06453	-2.2432426	EFNA1	ephrin A1
7947548	9.84e-06	5.77e-08	-15.2697983	9.06232	-4.0128715	RAG2	recombination activating gene 2
7980636	9.89e-06	5.83e-08	-15.252839	9.05198	-1.9873662	EML5	echinoderm microtubule associated protein like 5
7920082	1.01e-05	5.98e-08	-15.2092978	9.0254	-3.3736789	RORC	RAR related orphan receptor C
8070194	1.03e-05	6.16e-08	15.1610494	8.99585	2.8321011	RUNX1	runt related transcription factor 1
8054872	1.03e-05	6.22e-08	-15.1441137	8.98545	-3.9433688	TFCP2L1	transcription factor CP2-like 1
7936050	1.03e-05	6.24e-08	-15.1400187	8.98294	-2.7203077	CYP17A1	cytochrome P450 family 17 subfamily A member 1
8043602	1.03e-05	6.26e-08	15.1342188	8.97937	3.5759264	NCAPH	non-SMC condensin I complex subunit H
8159501	1.03e-05	6.27e-08	-15.1319663	8.97799	-2.2159776	LCN12	lipocalin 12
8095110	1.06e-05	6.50e-08	-15.0708985	8.94037	-4.0513226	KIT	KIT proto-oncogene receptor tyrosine kinase
8127370	1.11e-05	6.80e-08	-14.9962716	8.89417	-3.3538496	KHDRBS2	KH RNA binding domain containing, signal transduction associated 2
8039257	1.11e-05	6.86e-08	14.9813265	8.88489	3.2466518	LAIR1	leukocyte associated immunoglobulin like receptor 1
8058765	1.12e-05	6.91e-08	14.9693543	8.87745	2.3426133	FN1	fibronectin 1
8106743	1.16e-05	7.19e-08	14.9042428	8.83687	3.80682	VCAN	versican
7996837	1.21e-05	7.59e-08	-14.8162653	8.78174	-5.8824998	CDH1	cadherin 1
8067270	1.23e-05	7.71e-08	14.7892275	8.76473	3.3832284	APCDD1L	APC down-regulated 1 like
8059413	1.24e-05	7.87e-08	14.7558442	8.74368	2.5577995	DOCK10	dedicator of cytokinesis 10
7938485	1.24e-05	7.88e-08	14.755145	8.74324	2.5438092	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
8043945	1.27e-05	8.08e-08	14.7132009	8.71672	2.129125	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
8123303	1.29e-05	8.34e-08	-14.6630971	8.68494	-2.0574912	PACRG	PARK2 coregulated
8063000	1.29e-05	8.39e-08	-14.6530423	8.67855	-3.8589594	WFDC2	WAP four-disulfide core domain 2
7961595	1.29e-05	8.42e-08	-14.6477078	8.67516	-4.089606	RERGL	RERG like
7980485	1.29e-05	8.45e-08	-14.6423109	8.67172	-4.6283094	DIO2	deiodinase, iodothyronine, type II
8056022	1.29e-05	8.45e-08	-14.6413193	8.67109	-3.3422519	CCDC148	coiled-coil domain containing 148
8056184	1.31e-05	8.61e-08	-14.6118556	8.65232	-2.9508193	ITGB6///ITGB6	integrin subunit beta 6///integrin subunit beta 6
8155214	1.38e-05	9.11e-08	14.5208709	8.59411	3.6935794	MELK	maternal embryonic leucine zipper kinase
7913385	1.49e-05	9.89e-08	-14.3892233	8.5092	-4.5028728	RAP1GAP	RAP1 GTPase activating protein
8129783	1.50e-05	9.97e-08	-14.3769086	8.50121	-2.6667593	MAP7	microtubule associated protein 7
7923578	1.50e-05	1.00e-07	-14.3717997	8.4979	-3.9870048	FMOD	fibromodulin
8051573	1.52e-05	1.02e-07	14.337923	8.47589	2.1222645	CDC42EP3	CDC42 effector protein 3
8008784	1.52e-05	1.02e-07	14.3358016	8.47451	3.1091312	PRR11	proline rich 11
7906400	1.52e-05	1.03e-07	14.3268547	8.46869	1.6624575	IFI16	interferon gamma inducible protein 16
8178095	1.53e-05	1.05e-07	14.2926623	8.4464	3.4701316	C2	complement component 2
8179331	1.53e-05	1.05e-07	14.2926623	8.4464	3.4701316	C2	complement component 2
8007949	1.53e-05	1.05e-07	-14.2924075	8.44624	-3.4363601	EFCAB13	EF-hand calcium binding domain 13
8041383	1.53e-05	1.05e-07	14.2922481	8.44613	3.4193922	LTBP1	latent transforming growth factor beta binding protein 1
8018264	1.53e-05	1.06e-07	-14.2829729	8.44008	-2.0201009	HID1	HID1 domain containing
8169603	1.53e-05	1.06e-07	-14.2756177	8.43527	-3.4204643	LONRF3	LON peptidase N-terminal domain and ring finger 3
7945045	1.53e-05	1.07e-07	-14.2689992	8.43095	-2.4287115	DDX25	DEAD-box helicase 25
8061564	1.54e-05	1.08e-07	-14.2553097	8.422	-3.6211064	ID1	inhibitor of DNA binding 1, HLH protein
8118324	1.54e-05	1.09e-07	14.2419641	8.41326	3.4700498	C2	complement component 2
8004510	1.54e-05	1.09e-07	14.2372011	8.41014	2.1439781	CD68	CD68 molecule
7898967	1.55e-05	1.10e-07	-14.2223563	8.40041	-2.3242669	NCMAP	non-compact myelin associated protein
8079237	1.56e-05	1.11e-07	14.2041056	8.38843	2.731834	KIF15	kinesin family member 15
8043835	1.62e-05	1.16e-07	-14.1426817	8.348	-3.1701362	C2orf15	chromosome 2 open reading frame 15
8167930	1.66e-05	1.19e-07	-14.0925991	8.31489	-1.8578947	FAAH2	fatty acid amide hydrolase 2
7909285	1.71e-05	1.23e-07	-14.0412159	8.28081	-2.0530337	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
8166730	1.71e-05	1.24e-07	14.0284689	8.27233	2.7481214	CYBB	cytochrome b-245 beta chain
7948455	1.71e-05	1.25e-07	14.0252101	8.27016	2.4179551	MS4A6A	membrane spanning 4-domains A6A
7900340	1.75e-05	1.28e-07	-13.9892204	8.24618	-3.854651	BMP8A	bone morphogenetic protein 8a
7906552	1.75e-05	1.29e-07	-13.9760496	8.23739	-3.5998184	CASQ1	calsequestrin 1
8140686	1.87e-05	1.38e-07	-13.8742877	8.16918	-4.9557211	SEMA3D	semaphorin 3D
