,Unnamed: 0,GeneID,padj,P.Value,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
185,185,5063,1.99e-10,1.6e-12,0.4267,-7.065567,-3.0148823,2290.0,PAK3,p21 (RAC1) activated kinase 3
193,193,140730,2.78e-10,2.33e-12,0.4486,-7.012935,-3.146173,300.55,RIMS4,regulating synaptic membrane exocytosis 4
194,194,23316,2.88e-10,2.43e-12,0.9576,-7.007531,-6.7105423,285.07,CUX2,cut like homeobox 2
195,195,1675,2.93e-10,2.49e-12,0.4325,-7.004071,-3.029503,347.61,CFD,complement factor D
198,198,744,3.14e-10,2.7e-12,0.6291,-6.992602,-4.3991582,1573.92,MPPED2,metallophosphoesterase domain containing 2
199,199,102724019,3.17e-10,2.74e-12,0.3699,-6.990348,-2.58549,161.57,LOC102724019,uncharacterized LOC102724019
200,200,160728,3.35e-10,2.91e-12,0.6311,-6.981849,-4.4060272,1884.3,SLC5A8,solute carrier family 5 member 8
203,203,28513,4.22e-10,3.73e-12,0.8299,-6.947168,-5.7657429,32.89,CDH19,cadherin 19
205,205,105372098,4.3e-10,3.83e-12,0.3045,-6.943286,-2.1144161,382.34,LOC105372098,uncharacterized LOC105372098
207,207,80157,4.74e-10,4.26e-12,0.4138,-6.928194,-2.8668576,498.13,CWH43,cell wall biogenesis 43 C-terminal homolog
210,210,6531,5.78e-10,5.27e-12,0.6391,-6.898055,-4.4084,26.37,SLC6A3,solute carrier family 6 member 3
214,214,552,6.4e-10,5.95e-12,0.5238,-6.880851,-3.6040528,899.3,AVPR1A,arginine vasopressin receptor 1A
218,218,50945,7.7e-10,7.3e-12,0.9589,-6.851718,-6.5698795,246.76,TBX22,T-box transcription factor 22
220,220,101927873,8.21e-10,7.85e-12,0.4155,-6.841342,-2.8425256,59.94,LINC01508,long intergenic non-protein coding RNA 1508
222,222,107984113,1.02e-09,9.89e-12,0.5968,-6.808073,-4.0630459,97.13,LOC107984113,uncharacterized LOC107984113
225,225,121601,1.09e-09,1.06e-11,0.5901,-6.797481,-4.0114552,63.76,ANO4,anoctamin 4
227,227,2167,1.11e-09,1.09e-11,0.7448,-6.793602,-5.0599736,226.61,FABP4,fatty acid binding protein 4
230,230,9162,1.22e-09,1.22e-11,0.5095,-6.778273,-3.4534513,4070.66,DGKI,diacylglycerol kinase iota
234,234,101930048,1.62e-09,1.65e-11,0.5401,-6.734374,-3.6375073,52.13,LOC101930048,replaced by ID 101930053
236,236,115111,1.73e-09,1.77e-11,0.5262,-6.723703,-3.5378356,37347.78,SLC26A7,solute carrier family 26 member 7
240,240,9630,1.76e-09,1.84e-11,0.3485,-6.717893,-2.34112,418.34,GNA14,G protein subunit alpha 14
241,241,27443,1.76e-09,1.84e-11,0.5392,-6.717887,-3.6223477,312.52,CECR2,CECR2 histone acetyl-lysine reader
243,243,401145,2.09e-09,2.22e-11,0.2396,-6.691012,-1.6032574,1116.61,CCSER1,coiled-coil serine rich protein 1
244,244,10894,2.09e-09,2.23e-11,0.5434,-6.690347,-3.6353662,715.44,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1
246,246,4147,2.1e-09,2.24e-11,0.3987,-6.689535,-2.6672789,7717.85,MATN2,matrilin 2
247,247,7802,2.3e-09,2.47e-11,0.2896,-6.675154,-1.933057,511.7,DNALI1,dynein axonemal light intermediate chain 1
249,249,201651,2.46e-09,2.66e-11,0.7435,-6.664191,-4.9550143,101.59,AADACP1,arylacetamide deacetylase pseudogene 1
251,251,27129,2.65e-09,2.9e-11,0.4496,-6.651652,-2.9906472,298.01,HSPB7,heat shock protein family B (small) member 7
254,254,8470,2.74e-09,3.02e-11,0.4345,-6.645437,-2.8873017,9833.53,SORBS2,sorbin and SH3 domain containing 2
260,260,149998,3.25e-09,3.66e-11,0.6879,-6.617062,-4.5519165,89.21,LIPI,lipase I
261,261,107984325,3.33e-09,3.77e-11,0.5677,-6.612668,-3.7537247,46.37,LOC107984325,uncharacterized LOC107984325
265,265,129804,3.58e-09,4.12e-11,0.2021,-6.59985,-1.3340555,1176.63,FBLN7,fibulin 7
266,266,54511,3.75e-09,4.33e-11,0.5196,-6.592158,-3.425551,32.0,HMGCLL1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1
269,269,4948,4.01e-09,4.69e-11,0.6508,-6.580512,-4.2824823,398.13,OCA2,OCA2 melanosomal transmembrane protein
274,274,105376003,4.55e-09,5.41e-11,0.9232,-6.559108,-6.0551548,85.87,LOC105376003,uncharacterized LOC105376003
277,277,100506124,4.64e-09,5.58e-11,0.2189,-6.554646,-1.4346596,122.74,LOC100506124,uncharacterized LOC100506124
279,279,121551,5.23e-09,6.34e-11,0.3897,-6.535568,-2.5468185,1036.23,ABTB3,ankyrin repeat and BTB domain containing 3
280,280,29842,5.28e-09,6.43e-11,0.5356,-6.533367,-3.4990328,5916.89,TFCP2L1,transcription factor CP2 like 1
282,282,1740,5.36e-09,6.56e-11,0.4076,-6.530365,-2.6615236,1423.2,DLG2,discs large MAGUK scaffold protein 2
283,283,57639,5.47e-09,6.72e-11,0.3082,-6.526773,-2.0117814,597.71,CCDC146,coiled-coil domain containing 146
286,286,4883,6.11e-09,7.61e-11,0.5571,-6.50806,-3.6253846,1753.79,NPR3,natriuretic peptide receptor 3
290,290,29118,6.72e-09,8.45e-11,0.409,-6.492323,-2.6555491,145.95,DDX25,DEAD-box helicase 25
292,292,105375387,6.88e-09,8.72e-11,0.7435,-6.487695,-4.8234439,37.78,LOC105375387,uncharacterized LOC105375387
299,299,83648,8.12e-09,1.05e-10,0.4679,-6.459005,-3.0221044,1766.57,FAM167A,family with sequence similarity 167 member A
309,309,100129129,1.07e-08,1.43e-10,0.8364,-6.41259,-5.3634906,29.97,TDH-AS1,TDH antisense RNA 1
312,312,8404,1.19e-08,1.61e-10,0.2357,-6.394526,-1.5072263,3808.36,SPARCL1,SPARC like 1
313,313,101954266,1.2e-08,1.62e-10,0.3218,-6.39333,-2.0575463,88.91,RNVU1-14,"RNA, variant U1 small nuclear 14"
315,315,79785,1.3e-08,1.78e-10,0.8048,-6.379442,-5.1342332,154.74,RERGL,RERG like
316,316,105374121,1.41e-08,1.93e-10,0.3967,-6.366612,-2.5257994,339.83,LOC105374121,uncharacterized LOC105374121
317,317,100189071,1.43e-08,1.96e-10,0.574,-6.364374,-3.6533235,249.73,TRI-AAT2-1,tRNA-Ile (anticodon AAT) 2-1
321,321,340533,1.47e-08,2.04e-10,0.3286,-6.358435,-2.0891849,129.72,NEXMIF,neurite extension and migration factor
322,322,55859,1.47e-08,2.05e-10,0.6067,-6.357537,-3.8573414,152.01,BEX1,brain expressed X-linked 1
323,323,101929743,1.51e-08,2.11e-10,0.6507,-6.353081,-4.134245,95.24,LINC01586,long intergenic non-protein coding RNA 1586
324,324,22925,1.55e-08,2.18e-10,0.6239,-6.347897,-3.9602339,15459.77,PLA2R1,phospholipase A2 receptor 1
325,325,440934,1.67e-08,2.35e-10,0.7661,-6.336455,-4.8546047,28.24,CT75,cancer/testis associated transcript 75
326,326,4653,1.7e-08,2.4e-10,1.0275,-6.333029,-6.5071159,204.16,MYOC,myocilin
328,328,105375655,1.72e-08,2.45e-10,0.3609,-6.329881,-2.284219,369.63,LOC105375655,uncharacterized LOC105375655
329,329,105370414,1.74e-08,2.49e-10,0.757,-6.327865,-4.7904039,96.61,LINC02286,long intergenic non-protein coding RNA 2286
330,330,105373895,1.98e-08,2.83e-10,0.7602,-6.307693,-4.7949302,54.47,LOC105373895,uncharacterized LOC105373895
331,331,164045,2.08e-08,2.98e-10,0.4388,-6.299607,-2.7642995,433.78,HFM1,helicase for meiosis 1
333,333,120,2.15e-08,3.1e-10,0.1501,-6.29351,-0.9446393,6112.72,ADD3,adducin 3
334,334,729171,2.22e-08,3.23e-10,0.7133,-6.28744,-4.4848884,154.58,ANKRD20A8P,"ankyrin repeat domain 20 family member A8, pseudogene"
341,341,26034,2.75e-08,4.06e-10,0.5506,-6.251522,-3.442368,3044.49,IPCEF1,interaction protein for cytohesin exchange factors 1
342,342,101929043,2.76e-08,4.09e-10,0.602,-6.250659,-3.7627137,207.38,DLG2-AS2,DLG2 antisense RNA 2
344,344,133690,2.82e-08,4.21e-10,0.8724,-6.246197,-5.4492665,42.77,CAPSL,calcyphosine like
345,345,105373480,2.82e-08,4.22e-10,1.1878,-6.245555,-7.4182463,24.78,LOC105373480,uncharacterized LOC105373480
347,347,948,2.92e-08,4.39e-10,0.4426,-6.239394,-2.7614399,2172.68,CD36,CD36 molecule
353,353,107987078,3.22e-08,4.94e-10,0.8394,-6.221138,-5.2222212,40.81,LOC107987078,uncharacterized LOC107987078
355,355,130132,3.32e-08,5.11e-10,0.2001,-6.21565,-1.2440334,232.96,RFTN2,raftlin family member 2
356,356,22941,3.43e-08,5.3e-10,0.3553,-6.209883,-2.206249,1351.82,SHANK2,SH3 and multiple ankyrin repeat domains 2
357,357,25802,4e-08,6.2e-10,0.4396,-6.185357,-2.7188895,1097.9,LMOD1,leiomodin 1
358,358,27330,4.04e-08,6.27e-10,0.4164,-6.183374,-2.5744813,1225.82,RPS6KA6,ribosomal protein S6 kinase A6
359,359,100302235,4.22e-08,6.58e-10,1.0142,-6.175752,-6.2633854,54.99,MIR1179,microRNA 1179
361,361,80332,4.25e-08,6.66e-10,0.3797,-6.173958,-2.344373,84.19,ADAM33,ADAM metallopeptidase domain 33
362,362,596,4.36e-08,6.85e-10,0.2401,-6.16949,-1.4815345,4964.95,BCL2,BCL2 apoptosis regulator
364,364,53942,4.62e-08,7.29e-10,0.7423,-6.159707,-4.5725851,323.66,CNTN5,contactin 5
365,365,79937,4.63e-08,7.33e-10,0.4863,-6.158713,-2.9951238,134.87,CNTNAP3,contactin associated protein family member 3
367,367,80036,4.69e-08,7.46e-10,0.6289,-6.15592,-3.8712678,200.21,TRPM3,transient receptor potential cation channel subfamily M member 3
370,370,107985164,4.79e-08,7.69e-10,0.842,-6.15127,-5.1791258,93.0,LOC107985164,uncharacterized LOC107985164
371,371,9024,5.07e-08,8.15e-10,0.3089,-6.141927,-1.8971608,62.8,BRSK2,BR serine/threonine kinase 2
374,374,2159,5.11e-08,8.29e-10,0.4299,-6.139325,-2.6394086,47.65,F10,coagulation factor X
377,377,101930053,5.73e-08,9.37e-10,0.58,-6.119808,-3.5497706,90.68,LOC101930053,uncharacterized LOC101930053
379,379,3776,5.95e-08,9.77e-10,0.4083,-6.113112,-2.4958628,562.03,KCNK2,potassium two pore domain channel subfamily K member 2
382,382,55728,6.54e-08,1.08e-09,0.1822,-6.096524,-1.1109496,1960.92,N4BP2,NEDD4 binding protein 2
385,385,83875,6.66e-08,1.11e-09,0.2527,-6.092595,-1.5396824,252.82,BCO2,beta-carotene oxygenase 2
388,388,7123,6.7e-08,1.13e-09,0.2314,-6.09025,-1.4090348,395.86,CLEC3B,C-type lectin domain family 3 member B
390,390,114880,6.94e-08,1.17e-09,0.2835,-6.083753,-1.7247766,179.31,OSBPL6,oxysterol binding protein like 6
391,391,10891,7.14e-08,1.21e-09,0.3325,-6.078362,-2.0209443,2835.14,PPARGC1A,PPARG coactivator 1 alpha
392,392,80177,7.14e-08,1.21e-09,0.2696,-6.078767,-1.6388269,509.21,MYCT1,MYC target 1
396,396,1770,7.98e-08,1.37e-09,0.4271,-6.05901,-2.5879347,121.75,DNAH9,dynein axonemal heavy chain 9
397,397,105379077,8.03e-08,1.38e-09,0.8613,-6.057465,-5.2171105,40.7,LOC105379077,uncharacterized LOC105379077
400,400,127003,8.49e-08,1.47e-09,0.3608,-6.047118,-2.1815549,63.0,CFAP276,cilia and flagella associated protein 276
405,405,56899,9.05e-08,1.59e-09,0.3289,-6.035106,-1.9848065,1556.81,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B
407,407,105378737,9.55e-08,1.68e-09,0.4793,-6.025637,-2.887913,158.01,LOC105378737,uncharacterized LOC105378737
408,408,102724744,9.6e-08,1.7e-09,0.5762,-6.024323,-3.4712854,38.93,LOC102724744,uncharacterized LOC102724744
411,411,344148,1.03e-07,1.83e-09,0.2565,-6.01253,-1.5419572,183.01,NCKAP5,NCK associated protein 5
412,412,54769,1.03e-07,1.83e-09,0.6283,-6.011813,-3.7773526,148.57,DIRAS2,DIRAS family GTPase 2
415,415,107983976,1.13e-07,2.04e-09,0.405,-5.994733,-2.4279043,363.0,LOC107983976,uncharacterized LOC107983976
416,416,6332,1.19e-07,2.15e-09,0.6451,-5.986273,-3.8617402,165.18,SCN7A,sodium voltage-gated channel alpha subunit 7
418,418,57161,1.2e-07,2.17e-09,0.3026,-5.984529,-1.8111415,1112.98,PELI2,pellino E3 ubiquitin protein ligase family member 2
425,425,1733,1.29e-07,2.38e-09,0.7302,-5.969722,-4.3591683,1836.45,DIO1,iodothyronine deiodinase 1
428,428,157739,1.4e-07,2.6e-09,0.6689,-5.955338,-3.9836779,43.33,TDH,L-threonine dehydrogenase (pseudogene)
429,429,102724579,1.41e-07,2.62e-09,0.631,-5.953976,-3.7572003,96.07,LOC102724579,uncharacterized LOC102724579
430,430,130106,1.48e-07,2.75e-09,0.6357,-5.94578,-3.7796881,29.62,CIB4,calcium and integrin binding family member 4
431,431,84125,1.48e-07,2.77e-09,0.4243,-5.944914,-2.5223685,220.29,LRRIQ1,leucine rich repeats and IQ motif containing 1
432,432,51705,1.49e-07,2.78e-09,0.3052,-5.94391,-1.8140186,887.27,EMCN,endomucin
435,435,100505474,1.56e-07,2.94e-09,0.779,-5.934959,-4.6232479,165.66,LINC01539,long intergenic non-protein coding RNA 1539
436,436,105370846,1.59e-07,3e-09,0.3215,-5.931553,-1.9067047,160.74,LOC105370846,uncharacterized LOC105370846
438,438,2066,1.61e-07,3.07e-09,0.4015,-5.928042,-2.3798534,854.76,ERBB4,erb-b2 receptor tyrosine kinase 4
439,439,202559,1.62e-07,3.09e-09,0.4627,-5.92695,-2.7424789,1219.86,KHDRBS2,"KH RNA binding domain containing, signal transduction associated 2"
440,440,84059,1.63e-07,3.11e-09,0.7806,-5.925474,-4.6252369,3631.97,ADGRV1,adhesion G protein-coupled receptor V1
442,442,107987187,1.79e-07,3.42e-09,0.8386,-5.909898,-4.9562127,82.79,LOC107987187,uncharacterized LOC107987187
448,448,7433,2.04e-07,3.98e-09,0.4008,-5.885221,-2.3588083,209.38,VIPR1,vasoactive intestinal peptide receptor 1
449,449,4988,2.04e-07,3.96e-09,0.5399,-5.885874,-3.1777573,128.77,OPRM1,opioid receptor mu 1
450,450,50937,2.04e-07,3.98e-09,0.449,-5.884817,-2.6425386,4081.32,CDON,"cell adhesion associated, oncogene regulated"
454,454,158038,2.1e-07,4.13e-09,0.9988,-5.878711,-5.8717333,442.91,LINGO2,leucine rich repeat and Ig domain containing 2
455,455,105371874,2.1e-07,4.12e-09,0.3356,-5.879293,-1.9729937,68.85,LOC105371874,uncharacterized LOC105371874
456,456,5592,2.17e-07,4.29e-09,0.3999,-5.872616,-2.3485227,906.51,PRKG1,protein kinase cGMP-dependent 1
459,459,285389,2.38e-07,4.74e-09,0.3371,-5.85618,-1.9742064,84.79,LINC02028,long intergenic non-protein coding RNA 2028
460,460,57484,2.42e-07,4.84e-09,0.5438,-5.852424,-3.1828398,1146.47,RNF150,ring finger protein 150
462,462,163175,2.46e-07,4.93e-09,0.3397,-5.849666,-1.9871337,49.84,LGI4,leucine rich repeat LGI family member 4
470,470,55576,2.81e-07,5.72e-09,0.3826,-5.82477,-2.2284022,167.24,STAB2,stabilin 2
471,471,285313,2.82e-07,5.77e-09,0.5268,-5.823373,-3.0678642,288.18,IGSF10,immunoglobulin superfamily member 10
474,474,346653,2.84e-07,5.84e-09,0.2086,-5.821152,-1.2144375,190.6,GARIN1A,golgi associated RAB2 interactor 1A
477,477,1288,2.94e-07,6.08e-09,0.5369,-5.814618,-3.121823,62.46,COL4A6,collagen type IV alpha 6 chain
478,478,123872,3.02e-07,6.25e-09,0.2898,-5.809834,-1.6835441,230.13,DNAAF1,dynein axonemal assembly factor 1
479,479,79668,3.03e-07,6.29e-09,0.1696,-5.80877,-0.9849519,5104.33,PARP8,poly(ADP-ribose) polymerase family member 8
480,480,221946,3.12e-07,6.5e-09,0.7721,-5.803333,-4.4806959,99.34,LOC221946,uncharacterized LOC221946
481,481,83604,3.12e-07,6.5e-09,0.3469,-5.803317,-2.0131576,969.47,TMEM47,transmembrane protein 47
482,482,400550,3.18e-07,6.64e-09,0.5086,-5.799855,-2.9496296,38.93,FENDRR,FOXF1 adjacent non-coding developmental regulatory RNA
483,483,83656,3.2e-07,6.73e-09,0.6035,-5.797629,-3.49872,67.36,FAM167A-AS1,FAM167A antisense RNA 1
488,488,79577,3.23e-07,6.83e-09,0.1307,-5.794968,-0.7576519,2267.02,CDC73,cell division cycle 73
489,489,2690,3.24e-07,6.86e-09,0.4483,-5.794294,-2.5974515,358.47,GHR,growth hormone receptor
490,490,105373717,3.25e-07,6.89e-09,0.6704,-5.793502,-3.8837926,283.63,LOC105373717,uncharacterized LOC105373717
493,493,5239,3.3e-07,7.06e-09,0.3919,-5.789578,-2.2688905,790.51,PGM5,phosphoglucomutase 5
494,494,79836,3.3e-07,7.06e-09,0.2827,-5.789397,-1.6366718,4212.5,LONRF3,LON peptidase N-terminal domain and ring finger 3
497,497,101928316,3.43e-07,7.4e-09,1.1256,-5.781677,-6.5079993,75.1,LINC02859,long intergenic non-protein coding RNA 2859
499,499,136332,3.56e-07,7.69e-09,0.4244,-5.775128,-2.4508104,203.83,LRGUK,leucine rich repeats and guanylate kinase domain containing
500,500,4137,3.59e-07,7.78e-09,0.3107,-5.773209,-1.7939697,99.38,MAPT,microtubule associated protein tau
501,501,102723699,3.64e-07,7.91e-09,0.4471,-5.77045,-2.5800908,23.2,LINC02284,long intergenic non-protein coding RNA 2284
502,502,100216545,3.77e-07,8.21e-09,0.1848,-5.764163,-1.0654035,997.05,KMT2E-AS1,KMT2E antisense RNA 1
503,503,105379003,3.84e-07,8.36e-09,0.5004,-5.761045,-2.8827643,52.93,LOC105379003,uncharacterized LOC105379003
504,504,93986,3.84e-07,8.39e-09,0.5594,-5.760421,-3.2224291,605.66,FOXP2,forkhead box P2
505,505,339778,3.84e-07,8.41e-09,0.5058,-5.760031,-2.9132657,49.67,FAM166C,family with sequence similarity 166 member C
506,506,100132813,3.87e-07,8.5e-09,0.5211,-5.758152,-3.0007178,27.78,SYBU-AS1,SYBU antisense RNA 1
508,508,54556,3.96e-07,8.72e-09,0.1234,-5.753985,-0.7099519,676.89,ING3,inhibitor of growth family member 3
510,510,126,3.97e-07,8.76e-09,0.7035,-5.75317,-4.0473526,47.36,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide"
514,514,1768,4.1e-07,9.12e-09,0.347,-5.746294,-1.9938576,1318.89,DNAH6,dynein axonemal heavy chain 6
515,515,10351,4.14e-07,9.26e-09,0.4648,-5.743822,-2.6698753,1702.44,ABCA8,ATP binding cassette subfamily A member 8
516,516,80258,4.14e-07,9.25e-09,0.4671,-5.74399,-2.683249,124.74,EFHC2,EF-hand domain containing 2
519,519,26033,4.18e-07,9.42e-09,0.3404,-5.740891,-1.9544054,174.94,ATRNL1,attractin like 1
520,520,9423,4.18e-07,9.4e-09,0.3062,-5.741125,-1.7581314,128.77,NTN1,netrin 1
522,522,116984,4.22e-07,9.53e-09,0.1829,-5.738888,-1.0498713,8808.72,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
523,523,2998,4.24e-07,9.6e-09,0.668,-5.737563,-3.8327419,189.63,GYS2,glycogen synthase 2
529,529,153770,4.83e-07,1.11e-08,0.2962,-5.71346,-1.6925105,49.27,PLAC8L1,PLAC8 like 1
530,530,284948,4.95e-07,1.14e-08,0.6767,-5.70886,-3.8629789,119.39,SH2D6,SH2 domain containing 6
531,531,101927422,4.98e-07,1.15e-08,0.4851,-5.707451,-2.7685833,86.02,GNA14-AS1,GNA14 antisense RNA 1
534,534,5629,5.1e-07,1.18e-08,0.6756,-5.70245,-3.8525425,1387.14,PROX1,prospero homeobox 1
535,535,3045,5.2e-07,1.21e-08,0.9735,-5.698873,-5.5479908,73.59,HBD,hemoglobin subunit delta
537,537,79789,5.22e-07,1.21e-08,0.3307,-5.697837,-1.8840025,1401.28,CLMN,calmin
538,538,100506885,5.23e-07,1.22e-08,0.3805,-5.696942,-2.1674505,474.01,LNC-LBCS,"lncRNA bladder and prostate cancer suppressor, hnRNPK interacting"
539,539,440104,5.28e-07,1.23e-08,0.216,-5.694987,-1.2303675,267.06,TMEM198B,transmembrane protein 198B (pseudogene)
540,540,57495,5.41e-07,1.26e-08,0.8952,-5.690748,-5.0943327,41.87,NWD2,NACHT and WD repeat domain containing 2
543,543,6503,5.43e-07,1.28e-08,0.3666,-5.689152,-2.0855499,9871.83,SLA,Src like adaptor
544,544,10720,5.44e-07,1.28e-08,0.6328,-5.688507,-3.5994844,43.56,UGT2B11,UDP glucuronosyltransferase family 2 member B11
547,547,11076,5.9e-07,1.4e-08,0.3818,-5.673467,-2.1660741,837.16,TPPP,tubulin polymerization promoting protein
548,548,64094,5.94e-07,1.41e-08,0.5372,-5.672154,-3.0470223,1731.9,SMOC2,SPARC related modular calcium binding 2
549,549,7288,6.2e-07,1.47e-08,0.8365,-5.664449,-4.7382389,36.37,TULP2,TUB like protein 2
550,550,27147,6.41e-07,1.53e-08,0.2505,-5.658437,-1.4173786,158.1,DENND2A,DENN domain containing 2A
551,551,185,6.69e-07,1.6e-08,0.6884,-5.650884,-3.889902,104.6,AGTR1,angiotensin II receptor type 1
552,552,6330,6.69e-07,1.6e-08,0.3292,-5.650354,-1.859907,703.51,SCN4B,sodium voltage-gated channel beta subunit 4
553,553,64641,6.79e-07,1.63e-08,0.3012,-5.647396,-1.7008239,284.21,EBF2,EBF transcription factor 2
556,556,100505495,6.79e-07,1.63e-08,0.2874,-5.646848,-1.622805,171.76,PCAT19,prostate cancer associated transcript 19
557,557,105374397,6.8e-07,1.64e-08,0.3887,-5.646226,-2.194631,45.74,LOC105374397,uncharacterized LOC105374397
558,558,10349,6.93e-07,1.68e-08,0.4295,-5.642488,-2.4232283,656.49,ABCA10,ATP binding cassette subfamily A member 10
560,560,26040,7.06e-07,1.71e-08,0.1674,-5.638725,-0.9442026,2999.17,SETBP1,SET binding protein 1
562,562,143903,7.08e-07,1.72e-08,0.456,-5.637975,-2.570799,500.16,LAYN,layilin
564,564,285220,7.1e-07,1.73e-08,0.6012,-5.636581,-3.3884573,164.31,EPHA6,EPH receptor A6
566,566,29119,7.27e-07,1.78e-08,0.5433,-5.631796,-3.0599146,30.95,CTNNA3,catenin alpha 3
568,568,221662,7.47e-07,1.84e-08,0.8124,-5.626295,-4.5708626,17.46,RBM24,RNA binding motif protein 24
569,569,687,7.47e-07,1.84e-08,0.2029,-5.626399,-1.1416609,2118.5,KLF9,KLF transcription factor 9
570,570,8643,7.68e-07,1.9e-08,0.3413,-5.620629,-1.918526,95.25,PTCH2,patched 2
571,571,288,7.68e-07,1.9e-08,0.2334,-5.620798,-1.3120117,4254.66,ANK3,ankyrin 3
574,574,1187,7.92e-07,1.97e-08,0.6657,-5.614615,-3.7376945,120.99,CLCNKA,chloride voltage-gated channel Ka
577,577,3293,8.07e-07,2.02e-08,0.3836,-5.610471,-2.1519161,233.93,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3
578,578,105374963,8.1e-07,2.03e-08,0.4783,-5.609595,-2.6833466,158.87,LOC105374963,uncharacterized LOC105374963
579,579,57528,8.18e-07,2.06e-08,0.6189,-5.607166,-3.4703897,563.77,KCTD16,potassium channel tetramerization domain containing 16
580,580,443,8.18e-07,2.06e-08,0.4462,-5.607304,-2.502204,78.52,ASPA,aspartoacylase
581,581,105378558,8.37e-07,2.11e-08,0.3332,-5.602981,-1.8668529,163.53,EBF3-AS1,EBF3 antisense RNA 1
582,582,201283,8.42e-07,2.12e-08,0.1546,-5.601766,-0.8657877,245.15,AMZ2P1,AMZ2 pseudogene 1
584,584,3708,8.89e-07,2.25e-08,0.4792,-5.591636,-2.679278,8263.16,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
585,585,10810,9.28e-07,2.35e-08,0.3535,-5.583804,-1.9738965,996.02,WASF3,WASP family member 3
586,586,55722,9.32e-07,2.37e-08,0.1159,-5.582853,-0.6473318,470.63,CEP72,centrosomal protein 72
587,587,83478,9.36e-07,2.38e-08,0.467,-5.581785,-2.6065941,1155.21,ARHGAP24,Rho GTPase activating protein 24
588,588,58494,9.37e-07,2.39e-08,0.2593,-5.581398,-1.4470417,571.29,JAM2,junctional adhesion molecule 2
